Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;66,37;128.763.082;1.122.464.712
Apr;10;2019;70,98;135.283.524;1.200.296.289
Apr;9;2019;68,37;90.506.705;1.156.098.279
Apr;8;2019;71,09;105.550.896;1.201.958.133
Apr;7;2019;69,81;92.938.041;1.180.056.140
Apr;6;2019;68,09;100.724.714;1.150.923.539
Apr;5;2019;69,16;95.806.843;1.168.869.216
Apr;4;2019;63,93;91.708.208;1.080.233.515
Apr;3;2019;65,71;114.825.438;1.110.192.057
Apr;2;2019;69,06;129.351.711;1.166.683.807
Apr;1;2019;59,97;118.227.704;1.013.053.254
Mar;31;2019;55,89;99.371.366;943.881.892
Mar;30;2019;53,45;88.272.936;902.642.485
Mar;29;2019;53,48;92.764.026;903.078.217
Mar;28;2019;53,90;95.017.107;909.978.168
Mar;27;2019;54,73;91.620.140;923.904.745
Mar;26;2019;52,94;91.009.789;893.581.796
Mar;25;2019;52,34;93.084.755;883.330.680
Mar;24;2019;53,74;83.963.837;906.925.110
Mar;23;2019;53,84;81.236.141;908.424.757
Mar;22;2019;53,92;87.593.948;909.701.082
Mar;21;2019;53,85;93.149.158;908.407.761
Mar;20;2019;55,88;102.750.635;942.482.083
Mar;19;2019;54,75;99.715.349;923.303.556
Mar;18;2019;53,49;116.998.432;901.892.931
Mar;17;2019;53,54;117.829.194;902.585.867
Mar;16;2019;54,64;201.675.917;921.004.516
Mar;15;2019;53,61;62.767.951;903.543.028
Mar;14;2019;52,35;63.362.753;882.322.576
Mar;13;2019;52,04;52.938.688;876.916.617
Mar;12;2019;51,47;60.080.877;867.231.672
Mar;11;2019;50,24;72.591.315;846.267.215
Mar;10;2019;50,95;65.452.521;858.202.872
Mar;9;2019;50,79;65.485.381;855.474.088
Mar;8;2019;50,02;74.197.398;842.429.743
Mar;7;2019;51,03;74.428.190;859.336.369
Mar;6;2019;50,85;72.310.829;856.197.377
Mar;5;2019;50,55;72.757.860;851.030.427
Mar;4;2019;48,49;68.874.657;816.321.458
Mar;3;2019;50,11;67.035.491;843.385.248
Mar;2;2019;49,98;63.274.675;841.185.581
Mar;1;2019;49,56;67.173.812;833.981.003
Feb;28;2019;49,12;69.184.623;826.452.334
Feb;27;2019;49,99;71.709.284;840.927.319
Feb;26;2019;49,41;69.794.817;831.009.502
Feb;25;2019;50,08;70.386.153;842.219.065
Feb;24;2019;49,01;63.487.790;824.146.428
Feb;23;2019;53,81;74.715.381;904.789.935
Feb;22;2019;52,64;67.853.125;884.989.938
Feb;21;2019;50,44;62.868.852;847.771.536
Feb;20;2019;52,11;62.975.748;875.814.899
Feb;19;2019;52,33;60.939.332;879.340.059
Feb;18;2019;51,69;59.009.590;868.564.574
Feb;17;2019;48,07;50.287.822;807.554.571
Feb;16;2019;46,92;47.450.869;788.079.701
Feb;15;2019;47,44;52.421.972;796.744.407
Feb;14;2019;46,86;59.162.579;786.960.327
Feb;13;2019;49,33;59.844.237;828.292.669
Feb;12;2019;49,05;52.799.179;823.516.951
Feb;11;2019;48,27;52.414.292;810.293.546
Feb;10;2019;49,83;52.351.662;836.265.589
Feb;9;2019;48,56;52.421.774;814.857.085
Feb;8;2019;48,12;58.034.756;807.372.051
Feb;7;2019;43,21;46.417.590;724.980.002
Feb;6;2019;43,14;48.141.805;723.735.081
Feb;5;2019;43,34;45.555.506;726.863.021
Feb;4;2019;42,80;44.862.786;717.705.755
Feb;3;2019;42,90;45.359.366;719.406.512
Feb;2;2019;43,39;46.606.594;727.418.402
Feb;1;2019;43,72;36.949.056;732.932.071
Jan;31;2019;43,66;33.200.067;731.848.375
Jan;30;2019;44,26;46.618.917;741.813.802
Jan;29;2019;43,71;50.419.054;732.410.825
Jan;28;2019;43,59;39.662.233;730.286.575
Jan;27;2019;46,58;37.895.260;780.207.473
Jan;26;2019;45,73;33.090.913;765.948.361
Jan;25;2019;46,89;34.838.080;785.243.218
Jan;24;2019;45,78;36.027.328;766.615.025
Jan;23;2019;44,88;32.608.467;751.394.884
Jan;22;2019;45,92;24.212.367;768.696.101
