Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;1,47;10.964.768;195.915.737
Apr;10;2019;1,62;15.524.734;215.602.222
Apr;9;2019;1,69;35.812.004;225.089.870
Apr;8;2019;1,60;27.627.125;212.807.892
Apr;7;2019;1,41;3.660.643;187.335.171
Apr;6;2019;1,39;5.700.911;185.464.208
Apr;5;2019;1,43;6.291.734;190.609.395
Apr;4;2019;1,32;7.772.702;175.622.270
Apr;3;2019;1,35;14.913.288;180.421.621
Apr;2;2019;1,44;24.050.493;191.471.608
Apr;1;2019;1,14;5.674.990;152.531.245
Mar;31;2019;1,10;7.048.764;146.449.233
Mar;30;2019;1,02;2.376.011;136.570.233
Mar;29;2019;1,03;2.352.551;137.130.277
Mar;28;2019;1,02;2.576.653;136.237.708
Mar;27;2019;1,02;4.225.430;135.947.949
Mar;26;2019;0,952994;2.719.520;126.984.871
Mar;25;2019;0,946152;3.344.862;126.073.072
Mar;24;2019;0,991631;2.203.929;132.133.131
Mar;23;2019;0,995926;1.501.446;132.705.384
Mar;22;2019;0,989313;1.841.326;131.824.297
Mar;21;2019;0,979849;2.815.444;130.563.233
Mar;20;2019;1,03;2.197.715;136.603.036
Mar;19;2019;1,01;2.018.469;134.960.841
Mar;18;2019;1,01;2.475.166;134.054.272
Mar;17;2019;1,04;2.775.243;138.010.621
Mar;16;2019;1,01;2.863.131;134.314.878
Mar;15;2019;1,01;3.261.375;134.542.211
Mar;14;2019;1,03;6.860.620;136.720.216
Mar;13;2019;0,978713;4.906.328;130.411.780
Mar;12;2019;0,997346;7.033.936;132.894.609
Mar;11;2019;0,912826;7.011.527;121.632.472
Mar;10;2019;0,975111;9.604.683;129.931.834
Mar;9;2019;0,915333;3.441.769;121.966.548
Mar;8;2019;0,872365;2.495.326;116.241.167
Mar;7;2019;0,881966;1.911.037;117.520.459
Mar;6;2019;0,876702;2.127.811;116.819.014
Mar;5;2019;0,886888;2.718.137;118.176.272
Mar;4;2019;0,863957;1.598.740;115.120.779
Mar;3;2019;0,885893;1.978.111;118.043.778
Mar;2;2019;0,906111;1.565.523;120.737.792
Mar;1;2019;0,890881;1.800.696;118.708.424
Feb;28;2019;0,865538;1.493.129;115.331.518
Feb;27;2019;0,874555;1.698.988;116.532.947
Feb;26;2019;0,884442;1.884.870;117.850.442
Feb;25;2019;0,882676;1.906.556;117.615.042
Feb;24;2019;0,863088;3.366.230;115.004.976
Feb;23;2019;0,960390;1.848.912;127.970.319
Feb;22;2019;0,921064;1.694.203;122.730.161
Feb;21;2019;0,900225;1.581.422;119.953.422
Feb;20;2019;0,903127;5.105.237;120.340.141
Feb;19;2019;0,924409;3.953.413;123.175.955
Feb;18;2019;0,906443;1.878.819;120.782.007
Feb;17;2019;0,857893;1.184.804;114.312.758
Feb;16;2019;0,841101;857.271;112.075.329
Feb;15;2019;0,838324;1.299.895;111.705.297
Feb;14;2019;0,830455;1.631.860;110.656.655
Feb;13;2019;0,855427;2.896.670;113.984.238
Feb;12;2019;0,877479;2.551.995;116.922.631
Feb;11;2019;0,807298;773.213;107.571.065
Feb;10;2019;0,835568;1.189.331;111.338.059
Feb;9;2019;0,840153;905.230;111.948.979
Feb;8;2019;0,856788;1.952.131;114.165.489
Feb;7;2019;0,766554;1.233.784;102.142.045
Feb;6;2019;0,763436;1.686.956;101.726.566
Feb;5;2019;0,780204;3.653.907;103.960.866
Feb;4;2019;0,803908;1.440.275;107.119.317
Feb;3;2019;0,814509;2.118.699;108.531.864
Feb;2;2019;0,828668;1.568.686;110.418.612
Feb;1;2019;0,859926;1.609.335;114.583.661
Jan;31;2019;0,845482;1.784.250;112.659.058
Jan;30;2019;0,880915;2.129.979;117.380.475
Jan;29;2019;0,862610;2.436.744;114.941.367
Jan;28;2019;0,900257;3.504.549;119.957.661
