Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;1,25;7.849.726;56.657.828
Apr;10;2019;1,26;8.386.287;57.146.891
Apr;9;2019;1,14;5.026.458;51.974.504
Apr;8;2019;1,14;4.967.501;51.687.281
Apr;7;2019;1,23;5.891.951;56.115.859
Apr;6;2019;1,23;4.714.269;55.863.580
Apr;5;2019;1,23;4.063.720;55.849.228
Apr;4;2019;1,23;5.435.005;55.793.549
Apr;3;2019;1,20;8.493.549;54.554.827
Apr;2;2019;1,16;8.505.197;52.858.346
Apr;1;2019;1,08;7.211.237;49.221.616
Mar;31;2019;0,944593;3.829.474;42.978.983
Mar;30;2019;0,947171;4.324.308;43.096.287
Mar;29;2019;0,970980;4.887.502;44.179.591
Mar;28;2019;0,936887;3.459.318;42.628.337
Mar;27;2019;0,947776;3.195.126;43.123.786
Mar;26;2019;0,877708;5.446.737;39.935.718
Mar;25;2019;0,904024;3.818.913;41.133.103
Mar;24;2019;0,941213;5.589.387;42.825.200
Mar;23;2019;0,919521;4.781.457;41.838.215
Mar;22;2019;0,846340;2.507.657;38.508.455
Mar;21;2019;0,860980;7.274.928;39.174.595
Mar;20;2019;0,878234;3.149.588;39.959.649
Mar;19;2019;0,822047;2.772.168;37.403.130
Mar;18;2019;0,832995;2.490.591;37.901.287
Mar;17;2019;0,871409;2.257.103;39.649.095
Mar;16;2019;0,852261;2.731.601;38.777.858
Mar;15;2019;0,829101;6.860.622;37.724.094
Mar;14;2019;0,795086;4.103.776;36.176.433
Mar;13;2019;0,782746;3.674.969;35.614.955
Mar;12;2019;0,816909;8.044.712;37.169.339
Mar;11;2019;0,804173;10.880.024;36.589.877
Mar;10;2019;0,698344;2.596.574;31.774.635
Mar;9;2019;0,689585;4.041.814;31.376.107
Mar;8;2019;0,633854;3.562.879;28.840.366
Mar;7;2019;0,647280;3.509.304;29.451.255
Mar;6;2019;0,631851;3.532.058;28.749.224
Mar;5;2019;0,634865;3.000.046;28.886.352
Mar;4;2019;0,595162;1.946.873;27.079.849
Mar;3;2019;0,620971;2.700.894;28.254.167
Mar;2;2019;0,625022;1.517.199;28.438.503
Mar;1;2019;0,631536;1.591.940;28.734.883
Feb;28;2019;0,628480;1.874.751;28.595.842
Feb;27;2019;0,621983;1.897.851;28.300.225
Feb;26;2019;0,614809;2.864.651;27.973.809
Feb;25;2019;0,644058;2.138.218;29.304.635
Feb;24;2019;0,599175;4.295.172;27.262.451
Feb;23;2019;0,662432;6.241.478;30.140.658
Feb;22;2019;0,616343;3.505.838;28.043.624
Feb;21;2019;0,575951;1.566.232;26.205.779
Feb;20;2019;0,601973;1.663.346;27.389.791
Feb;19;2019;0,594928;2.330.078;27.069.246
Feb;18;2019;0,615544;2.976.971;28.007.265
Feb;17;2019;0,582282;3.646.188;26.493.822
Feb;16;2019;0,565051;3.960.184;25.709.823
Feb;15;2019;0,548992;1.957.975;24.979.128
Feb;14;2019;0,535515;2.189.104;24.365.929
Feb;13;2019;0,540528;2.263.380;24.594.041
Feb;12;2019;0,545080;1.782.758;24.801.161
Feb;11;2019;0,546943;939.823;24.885.895
Feb;10;2019;0,534551;2.538.748;24.322.081
Feb;9;2019;0,543861;2.639.154;24.745.681
Feb;8;2019;0,548717;4.443.982;24.966.631
Feb;7;2019;0,511752;2.119.381;23.284.736
Feb;6;2019;0,505729;2.303.336;23.010.673
Feb;5;2019;0,517384;2.054.824;23.540.988
Feb;4;2019;0,515571;2.225.339;23.458.481
Feb;3;2019;0,506046;2.140.262;23.025.092
Feb;2;2019;0,530767;935.923;24.149.878
Feb;1;2019;0,528222;3.186.722;24.034.089
Jan;31;2019;0,523357;9.487.647;23.812.722
Jan;30;2019;0,532639;7.114.094;24.235.052
Jan;29;2019;0,526835;3.994.539;23.971.001
Jan;28;2019;0,535474;2.896.424;24.364.084
Jan;27;2019;0,565581;3.713.342;25.733.941
Jan;26;2019;0,545240;3.404.517;24.808.414
Jan;25;2019;0,553178;1.240.624;25.169.620
Jan;24;2019;0,559687;900.870;25.465.741
Jan;23;2019;0,557867;1.263.458;25.382.929
Jan;22;2019;0,563124;1.006.356;25.622.137
Jan;21;2019;0,558425;1.092.743;25.408.321
