Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,065208;31.883.163;586.874.613
Apr;10;2019;0,072415;24.773.046;651.734.279
Apr;09;2019;0,072656;34.628.838;653.902.253
Apr;08;2019;0,075291;30.132.202;677.621.481
Apr;07;2019;0,071999;15.739.737;647.987.654
Apr;06;2019;0,069751;34.609.022;627.759.286
Apr;05;2019;0,071564;23.400.749;644.078.702
Apr;04;2019;0,066709;31.160.161;600.377.339
Apr;03;2019;0,069937;38.531.010;629.432.068
Apr;02;2019;0,070932;35.666.214;638.389.717
Apr;01;2019;0,056945;14.897.742;512.506.334
Mar;31;2019;0,055265;15.530.838;497.387.524
Mar;30;2019;0,053398;14.122.990;480.583.227
Mar;29;2019;0,055429;21.341.062;498.865.059
Mar;28;2019;0,051965;12.932.991;467.688.709
Mar;27;2019;0,051224;13.227.360;461.014.384
Mar;26;2019;0,049547;12.354.579;445.918.502
Mar;25;2019;0,049632;11.937.533;446.691.659
Mar;24;2019;0,051021;13.603.665;459.187.259
Mar;23;2019;0,051007;13.215.010;459.061.811
Mar;22;2019;0,049716;14.213.821;447.441.579
Mar;21;2019;0,048868;22.475.893;439.811.564
Mar;20;2019;0,050611;18.752.857;455.497.068
Mar;19;2019;0,049258;15.613.557;443.321.880
Mar;18;2019;0,049827;15.853.128;448.441.740
Mar;17;2019;0,050603;16.824.395;455.426.312
Mar;16;2019;0,050016;19.148.386;450.140.388
Mar;15;2019;0,050429;23.778.758;453.861.099
Mar;14;2019;0,048697;29.413.702;438.275.591
Mar;13;2019;0,046442;18.939.376;417.980.227
Mar;12;2019;0,046249;18.691.805;416.237.705
Mar;11;2019;0,044462;37.413.828;400.156.271
Mar;10;2019;0,045059;18.719.288;405.534.517
Mar;09;2019;0,046267;27.028.743;416.402.517
Mar;08;2019;0,041929;13.015.816;377.364.643
Mar;07;2019;0,042386;15.566.571;381.474.730
Mar;06;2019;0,042228;14.881.472;380.054.107
Mar;05;2019;0,042094;14.925.167;378.845.718
Mar;04;2019;0,040436;13.859.419;363.926.986
Mar;03;2019;0,043347;13.745.863;390.123.986
Mar;02;2019;0,042825;12.623.226;385.423.805
Mar;01;2019;0,043109;14.676.124;387.981.308
Feb;28;2019;0,042750;13.525.664;384.752.534
Feb;27;2019;0,043582;14.082.383;392.241.711
Feb;26;2019;0,044063;13.433.289;396.564.928
Feb;25;2019;0,043547;15.295.524;391.920.959
Feb;24;2019;0,042929;21.460.846;386.361.143
Feb;23;2019;0,047801;21.980.228;430.206.587
Feb;22;2019;0,044441;15.513.301;399.968.382
Feb;21;2019;0,043460;15.666.800;391.139.804
Feb;20;2019;0,044323;15.718.785;398.906.223
Feb;19;2019;0,043981;17.727.681;395.825.867
Feb;18;2019;0,042741;17.570.778;384.671.362
Feb;17;2019;0,041873;13.677.292;376.859.106
Feb;16;2019;0,041751;13.364.705;375.760.647
Feb;15;2019;0,041630;21.632.313;374.669.462
Feb;14;2019;0,042446;18.250.078;382.013.125
Feb;13;2019;0,040850;12.329.476;367.649.067
Feb;12;2019;0,039138;9.874.271;352.241.013
Feb;11;2019;0,039283;10.435.682;353.545.618
Feb;10;2019;0,040109;11.827.729;360.979.002
Feb;09;2019;0,039952;14.057.309;359.563.783
Feb;08;2019;0,039833;15.285.657;358.497.356
Feb;07;2019;0,037563;17.825.189;338.068.198
Feb;06;2019;0,035005;11.949.594;315.043.173
Feb;05;2019;0,036265;12.218.498;326.384.902
Feb;04;2019;0,038755;12.628.607;348.795.397
Feb;03;2019;0,039265;13.814.930;353.382.892
Feb;02;2019;0,041045;12.296.752;369.403.167
Feb;01;2019;0,040987;17.758.629;368.880.644
Jan;31;2019;0,040334;26.221.193;363.002.865
Jan;30;2019;0,047139;15.781.608;424.252.008
Jan;29;2019;0,047115;14.331.906;424.037.347
Jan;28;2019;0,048040;16.638.243;432.359.440
Jan;27;2019;0,052715;12.643.508;474.438.962
Jan;26;2019;0,054662;10.856.043;491.958.643
Jan;25;2019;0,055549;11.390.899;499.941.300
Jan;24;2019;0,056152;10.904.448;505.366.054
Jan;23;2019;0,055676;12.311.221;501.079.737
Jan;22;2019;0,056353;11.795.877;507.181.330
Jan;21;2019;0,055968;14.334.329;503.711.722
Jan;20;2019;0,055942;13.786.963;503.473.664
Jan;19;2019;0,057758;14.172.196;519.820.232
Jan;18;2019;0,056908;13.198.962;512.174.232
Jan;17;2019;0,057213;17.060.016;514.919.425
Jan;16;2019;0,056755;13.668.910;510.792.669
Jan;15;2019;0,056211;12.234.124;505.899.173
Jan;14;2019;0,058036;14.311.834;522.324.346
Jan;13;2019;0,054842;13.730.909;493.580.947
Jan;12;2019;0,057357;12.659.881;516.212.678
Jan;11;2019;0,058317;17.180.296;524.853.900
Jan;10;2019;0,056417;14.425.591;507.750.826
Jan;09;2019;0,064733;12.185.857;582.601.231
Jan;08;2019;0,064316;12.724.025;578.840.193
Jan;07;2019;0,065016;10.170.895;585.145.475
Jan;06;2019;0,066627;12.431.049;599.643.071
Jan;05;2019;0,064621;10.895.288;581.589.546
Jan;04;2019;0,065011;9.660.265;585.099.826
Jan;03;2019;0,064862;9.188.572;583.754.024
Jan;02;2019;0,067139;10.799.551;604.254.087
Jan;01;2019;0,066118;9.577.379;595.065.819
Dec;31;2018;0,064102;11.832.022;576.915.716
Dec;30;2018;0,068802;10.314.116;619.220.628
Dec;29;2018;0,067019;8.404.123;603.170.551
Dec;28;2018;0,069135;9.333.601;622.217.572
Dec;27;2018;0,063909;6.717.168;575.180.268
Dec;26;2018;0,071264;7.269.788;641.379.859
Dec;25;2018;0,070561;9.188.046;635.048.440
Dec;24;2018;0,076336;12.179.753;687.025.033
Dec;23;2018;0,073960;9.139.343;665.642.998
Dec;22;2018;0,074596;9.704.740;671.364.943
Dec;21;2018;0,074230;12.720.965;668.074.213
Dec;20;2018;0,075855;13.023.048;682.690.657
Dec;19;2018;0,068731;15.342.849;618.578.497
Dec;18;2018;0,066843;9.524.092;601.583.799
Dec;17;2018;0,065965;9.731.338;593.684.347
Dec;16;2018;0,060641;8.691.281;545.768.096
Dec;15;2018;0,057956;9.923.474;521.605.650
Dec;14;2018;0,061412;9.538.505;552.705.019
Dec;13;2018;0,066463;8.278.743;598.165.492
Dec;12;2018;0,069779;7.972.054;628.012.308
Dec;11;2018;0,069996;8.370.350;629.961.796
Dec;10;2018;0,072058;9.689.051;648.523.173
Dec;09;2018;0,074326;9.907.334;668.936.747
Dec;08;2018;0,071005;11.074.067;639.047.611
Dec;07;2018;0,071667;13.754.854;645.003.769
Dec;06;2018;0,069511;11.174.836;625.600.713
Dec;05;2018;0,076157;11.247.304;685.412.105
Dec;04;2018;0,076882;14.109.572;691.938.550
Dec;03;2018;0,074001;10.730.317;666.006.644
Dec;02;2018;0,077903;8.489.827;701.127.573
Dec;01;2018;0,078068;9.893.071;702.613.316
Nov;30;2018;0,075112;11.573.693;676.010.119
Nov;29;2018;0,079262;12.073.464;713.361.099
Nov;28;2018;0,081634;18.838.200;734.706.000
Nov;27;2018;0,075314;14.762.700;677.827.800
Nov;26;2018;0,068575;10.389.600;617.170.500
Nov;25;2018;0,069288;11.720.700;623.595.600
Nov;24;2018;0,068447;8.682.560;616.025.700
Nov;23;2018;0,077746;9.620.690;699.714.900
Nov;22;2018;0,080825;9.877.160;727.424.100
Nov;21;2018;0,082232;10.536.100;740.090.700
Nov;20;2018;0,076943;15.514.900;692.488.800
Nov;19;2018;0,083032;14.219.800;747.283.500
Nov;18;2018;0,093266;8.278.510;839.390.400
Nov;17;2018;0,092022;8.335.980;828.194.400
Nov;16;2018;0,094393;11.352.800;849.532.500
Nov;15;2018;0,094374;15.942.500;849.361.500
Nov;14;2018;0,096901;24.596.900;872.106.300
Nov;13;2018;0,107914;49.941.600;971.226.000
Nov;12;2018;0,110267;54.388.800;992.403.000
Nov;11;2018;0,093025;5.025.650;837.228.600
Nov;10;2018;0,093953;4.670.230;845.573.400
Nov;09;2018;0,091976;4.507.740;827.786.700
Nov;08;2018;0,092901;7.216.590;836.107.200
Nov;07;2018;0,096777;6.175.600;870.992.100
Nov;06;2018;0,097527;6.086.660;869.958.900
Nov;05;2018;0,093785;5.466.800;844.064.100
Nov;04;2018;0,094866;6.239.750;853.795.800
Nov;03;2018;0,093227;5.212.130;839.046.600
Nov;02;2018;0,093405;6.452.350;840.643.200
Nov;01;2018;0,091188;5.694.120;820.688.400
Oct;31;2018;0,090650;5.823.560;815.849.100
Oct;30;2018;0,090141;6.293.660;811.265.400
Oct;29;2018;0,088051;7.547.050;792.455.400
Oct;28;2018;0,093372;6.614.640;840.345.300
Oct;27;2018;0,092071;7.248.360;828.638.100
Oct;26;2018;0,095688;6.181.500;861.188.400
Oct;25;2018;0,096578;6.415.390;869.205.600
Oct;24;2018;0,098556;5.797.520;887.007.600
Oct;23;2018;0,099103;6.293.010;891.928.800
Oct;22;2018;0,100248;7.941.450;902.232.000
Oct;21;2018;0,099496;9.284.350;895.462.200
Oct;20;2018;0,095594;5.803.020;860.346.900
Oct;19;2018;0,094048;4.486.360;846.433.800
Oct;18;2018;0,094429;5.713.860;849.858.300
Oct;17;2018;0,095693;6.777.360;861.236.100
Oct;16;2018;0,096036;5.933.020;864.324.000
Oct;15;2018;0,096544;8.983.920;868.893.300
Oct;14;2018;0,092250;6.469.280;830.249.100
Oct;13;2018;0,092983;5.774.730;836.846.100
Oct;12;2018;0,091883;8.396.600;826.943.400
Oct;11;2018;0,090627;11.788.600;815.643.900
Oct;10;2018;0,103666;8.673.840;932.994.000
Oct;09;2018;0,107320;8.406.010;965.880.000
Oct;08;2018;0,108959;8.069.000;980.631.000
Oct;07;2018;0,105833;7.801.600;952.497.000
Oct;06;2018;0,103371;7.307.280;930.339.000
Oct;05;2018;0,106169;9.076.300;955.521.000
Oct;04;2018;0,103695;12.692.900;933.255.000
Oct;03;2018;0,101770;12.248.400;915.930.000
Oct;02;2018;0,104127;25.389.700;937.143.000
Oct;01;2018;0,103602;16.363.300;932.418.000
Sep;30;2018;0,096895;8.313.120;872.053.200
Sep;29;2018;0,096353;7.817.790;867.179.700
Sep;28;2018;0,094895;8.652.180;854.055.900
Sep;27;2018;0,097578;13.131.400;878.200.200
Sep;26;2018;0,093172;10.023.000;838.545.300
Sep;25;2018;0,092639;12.077.100;833.751.900
Sep;24;2018;0,096280;10.963.100;866.520.900
Sep;23;2018;0,101613;12.179.900;914.517.000
Sep;22;2018;0,096509;12.194.600;868.579.200
Sep;21;2018;0,100771;21.589.200;906.939.000
Sep;20;2018;0,090092;11.271.300;810.830.700
Sep;19;2018;0,085788;9.419.740;772.092.000
Sep;18;2018;0,087725;7.478.720;789.525.000
Sep;17;2018;0,085188;7.826.780;766.689.300
Sep;16;2018;0,090831;8.121.900;817.482.600
Sep;15;2018;0,089957;6.582.210;809.613.000
Sep;14;2018;0,090421;8.444.770;813.788.100
Sep;13;2018;0,092770;11.337.200;834.925.500
Sep;12;2018;0,088594;12.052.900;797.341.500
Sep;11;2018;0,088286;10.264.000;794.573.100
Sep;10;2018;0,093991;8.961.900;845.921.700
Sep;09;2018;0,097558;8.878.470;878.023.800
Sep;08;2018;0,097587;9.723.850;878.285.700
Sep;07;2018;0,101322;11.874.600;911.898.000
Sep;06;2018;0,102768;16.004.800;924.912.000
Sep;05;2018;0,100319;20.672.800;902.871.000
Sep;04;2018;0,121660;31.248.700;1.094.940.000
Sep;03;2018;0,114363;18.725.100;1.029.267.000
Sep;02;2018;0,112539;15.500.000;1.012.851.000
Sep;01;2018;0,110948;17.338.000;998.532.000
Aug;31;2018;0,105418;11.746.200;948.762.000
Aug;30;2018;0,105531;10.220.700;949.779.000
Aug;29;2018;0,108696;11.326.000;978.264.000
Aug;28;2018;0,112397;11.261.900;1.011.573.000
Aug;27;2018;0,108468;8.538.600;976.212.000
Aug;26;2018;0,104082;7.517.650;936.738.000
Aug;25;2018;0,103236;6.160.390;929.124.000
Aug;24;2018;0,102461;9.292.420;922.149.000
Aug;23;2018;0,098128;6.689.960;883.151.100
Aug;22;2018;0,096242;9.540.850;866.176.200
Aug;21;2018;0,100922;8.337.340;908.298.000
Aug;20;2018;0,101544;10.686.100;913.896.000
Aug;19;2018;0,108493;10.372.600;976.437.000
Aug;18;2018;0,106006;16.739.300;954.054.000
Aug;17;2018;0,116570;20.738.400;1.049.130.000
Aug;16;2018;0,103615;15.657.900;932.535.000
Aug;15;2018;0,105987;14.086.000;953.883.000
Aug;14;2018;0,106928;13.822.000;962.352.000
Aug;13;2018;0,106654;13.027.400;959.886.000
Aug;12;2018;0,107473;9.037.430;967.257.000
Aug;11;2018;0,107485;10.335.900;967.365.000
Aug;10;2018;0,114891;10.508.000;1.034.019.000
Aug;09;2018;0,125105;12.863.300;1.125.945.000
Aug;08;2018;0,118885;12.849.700;1.069.965.000
Aug;07;2018;0,135605;8.261.620;1.220.445.000
Aug;06;2018;0,141726;8.035.690;1.275.534.000
Aug;05;2018;0,146821;6.728.400;1.321.389.000
Aug;04;2018;0,145128;9.886.410;1.306.152.000
Aug;03;2018;0,151513;19.982.400;1.363.617.000
Aug;02;2018;0,153436;17.144.800;1.380.924.000
Aug;01;2018;0,159747;9.670.310;1.437.723.000
Jul;31;2018;0,162639;12.578.900;1.463.751.000
Jul;30;2018;0,172133;11.081.100;1.549.197.000
Jul;29;2018;0,176913;30.564.100;1.592.217.000
Jul;28;2018;0,178612;31.418.800;1.607.508.000
Jul;27;2018;0,177132;12.345.200;1.594.188.000
Jul;26;2018;0,177147;11.039.800;1.594.323.000
Jul;25;2018;0,181259;12.801.100;1.631.331.000
Jul;24;2018;0,180833;14.058.000;1.627.497.000
Jul;23;2018;0,174577;18.119.400;1.571.193.000
Jul;22;2018;0,170339;8.241.640;1.533.051.000
Jul;21;2018;0,171085;8.850.900;1.539.765.000
Jul;20;2018;0,169545;12.371.200;1.525.905.000
Jul;19;2018;0,187322;15.740.300;1.685.898.000
