Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;11,24;316.529.973;730.876.453
Apr;10;2019;12,48;264.481.028;810.996.447
Apr;9;2019;12,19;257.000.755;792.655.383
Apr;8;2019;12,70;310.219.064;825.317.681
Apr;7;2019;12,90;264.198.390;838.234.869
Apr;6;2019;13,08;264.946.611;850.512.085
Apr;5;2019;13,54;334.393.237;880.053.909
Apr;4;2019;12,83;525.976.539;834.225.623
Apr;3;2019;12,15;713.988.466;789.824.031
Apr;2;2019;11,52;554.561.782;749.068.362
Apr;1;2019;10,00;329.156.999;650.294.919
Mar;31;2019;9,96;302.469.057;647.384.058
Mar;30;2019;9,85;357.435.989;640.464.208
Mar;29;2019;9,81;329.601.231;637.684.574
Mar;28;2019;9,29;254.939.830;603.864.991
Mar;27;2019;9,40;306.046.445;611.111.938
Mar;26;2019;8,98;277.103.933;583.781.472
Mar;25;2019;9,01;283.144.186;585.376.071
Mar;24;2019;9,19;277.997.571;597.121.064
Mar;23;2019;9,42;251.277.165;612.098.597
Mar;22;2019;9,23;297.369.881;600.207.837
Mar;21;2019;9,04;299.041.688;587.353.173
Mar;20;2019;9,40;313.948.902;610.708.158
Mar;19;2019;9,31;265.459.635;604.901.902
Mar;18;2019;9,22;359.608.160;599.587.331
Mar;17;2019;9,29;284.618.106;603.828.092
Mar;16;2019;9,52;289.565.478;618.921.004
Mar;15;2019;9,32;240.911.036;606.052.175
Mar;14;2019;9,38;328.168.530;609.381.363
Mar;13;2019;9,02;299.672.755;586.399.822
Mar;12;2019;8,90;268.597.663;578.336.320
Mar;11;2019;8,78;313.082.304;570.864.962
Mar;10;2019;8,87;290.220.064;576.572.176
Mar;9;2019;9,02;297.585.392;586.274.320
Mar;8;2019;8,86;326.617.088;575.866.976
Mar;7;2019;9,25;307.951.799;600.947.847
Mar;6;2019;8,81;282.146.719;572.348.107
Mar;5;2019;8,84;301.955.652;574.908.500
Mar;4;2019;8,29;314.165.465;538.561.512
Mar;3;2019;8,71;226.822.878;566.062.627
Mar;2;2019;8,82;259.087.758;573.273.850
Mar;1;2019;9,02;260.838.267;586.247.389
Feb;28;2019;8,94;240.794.894;581.139.519
Feb;27;2019;8,98;296.811.753;583.591.214
Feb;26;2019;9,15;335.598.444;594.461.410
Feb;25;2019;9,37;318.263.212;608.786.824
Feb;24;2019;9,08;546.178.687;590.106.576
Feb;23;2019;10,18;358.802.825;661.889.387
Feb;22;2019;8,80;188.250.575;571.862.702
Feb;21;2019;8,64;227.003.933;561.902.748
Feb;20;2019;9,21;239.088.321;598.402.688
Feb;19;2019;9,02;264.778.436;586.130.568
Feb;18;2019;8,85;232.315.948;575.503.154
Feb;17;2019;8,39;258.499.649;545.230.967
Feb;16;2019;7,96;173.410.185;517.689.602
Feb;15;2019;8,13;164.623.226;528.755.366
Feb;14;2019;7,95;147.559.333;516.765.560
Feb;13;2019;8,30;159.400.724;539.727.161
Feb;12;2019;8,25;191.455.559;536.226.580
Feb;11;2019;8,13;180.322.479;528.362.887
Feb;10;2019;7,96;159.699.885;517.438.261
Feb;9;2019;7,66;122.279.806;498.134.612
Feb;8;2019;7,60;161.363.179;494.187.454
Feb;7;2019;6,92;98.062.942;449.883.575
Feb;6;2019;6,86;113.960.942;445.958.917
Feb;5;2019;7,07;112.713.128;459.642.249
Feb;4;2019;7,09;104.145.001;460.594.124
Feb;3;2019;7,02;113.281.405;456.476.196
Feb;2;2019;7,23;118.178.032;469.944.267
Feb;1;2019;7,03;110.514.792;457.113.160
Jan;31;2019;6,93;126.570.197;450.552.499
Jan;30;2019;7,11;127.490.778;462.269.051
Jan;29;2019;7,05;128.674.508;458.435.139
Jan;28;2019;6,98;138.166.064;453.945.209
Jan;27;2019;7,42;120.602.207;482.255.538
Jan;26;2019;7,53;93.847.643;489.725.391
Jan;25;2019;7,59;106.034.923;493.431.170
Jan;24;2019;7,74;95.665.449;502.977.301
Jan;23;2019;7,58;98.520.101;492.474.942
Jan;22;2019;7,71;132.491.494;500.896.220
Jan;21;2019;7,58;116.729.955;492.617.156
Jan;20;2019;7,59;155.380.342;493.449.297
