Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;2,01;93.298.888;282.092.645
Apr;10;2019;2,24;81.981.239;314.463.862
Apr;9;2019;2,25;87.034.949;316.058.646
Apr;8;2019;2,34;113.856.945;328.808.820
Apr;7;2019;2,35;102.619.989;328.879.158
Apr;6;2019;2,34;118.508.715;327.956.898
Apr;5;2019;2,47;151.318.213;346.375.676
Apr;4;2019;2,13;129.214.952;299.208.236
Apr;3;2019;2,01;132.414.174;281.468.449
Apr;2;2019;2,08;123.714.345;292.358.292
Apr;1;2019;1,84;71.562.650;257.519.504
Mar;31;2019;1,85;67.077.907;259.343.981
Mar;30;2019;1,89;102.468.031;264.762.343
Mar;29;2019;1,98;110.529.284;278.276.202
Mar;28;2019;1,76;72.411.552;247.419.195
Mar;27;2019;1,81;85.901.606;253.301.752
Mar;26;2019;1,65;69.430.220;230.715.494
Mar;25;2019;1,67;75.193.773;234.345.148
Mar;24;2019;1,74;81.160.662;243.432.907
Mar;23;2019;1,79;84.731.394;251.613.651
Mar;22;2019;1,67;58.118.781;234.150.738
Mar;21;2019;1,56;75.173.608;218.837.401
Mar;20;2019;1,56;55.908.288;219.347.702
Mar;19;2019;1,51;45.926.680;211.365.320
Mar;18;2019;1,50;36.720.113;210.295.391
Mar;17;2019;1,52;36.196.131;212.863.208
Mar;16;2019;1,54;46.587.086;216.263.786
Mar;15;2019;1,52;75.193.611;213.537.593
Mar;14;2019;1,51;84.500.873;212.412.631
Mar;13;2019;1,43;55.290.380;200.362.960
Mar;12;2019;1,45;67.358.881;203.378.954
Mar;11;2019;1,35;61.954.418;188.834.007
Mar;10;2019;1,39;69.420.683;194.855.288
Mar;9;2019;1,36;61.807.400;191.223.422
Mar;8;2019;1,26;39.848.587;176.470.457
Mar;7;2019;1,25;38.419.909;174.763.391
Mar;6;2019;1,25;35.518.321;175.365.422
Mar;5;2019;1,24;35.866.379;173.787.836
Mar;4;2019;1,16;147.620.177;162.134.247
Mar;3;2019;1,25;31.931.178;174.668.253
Mar;2;2019;1,28;36.224.173;180.056.684
Mar;1;2019;1,33;37.980.949;186.841.383
Feb;28;2019;1,31;39.251.706;183.910.619
Feb;27;2019;1,33;41.304.214;186.319.572
Feb;26;2019;1,35;46.088.839;188.980.939
Feb;25;2019;1,33;48.828.980;186.374.124
Feb;24;2019;1,33;69.410.124;187.100.085
Feb;23;2019;1,34;44.860.523;187.782.375
Feb;22;2019;1,31;35.298.125;183.048.538
Feb;21;2019;1,32;44.188.759;185.064.436
Feb;20;2019;1,33;46.379.965;186.914.154
Feb;19;2019;1,30;45.987.734;181.763.163
Feb;18;2019;1,31;48.842.570;184.272.098
Feb;17;2019;1,22;45.448.157;171.571.032
Feb;16;2019;1,22;39.307.645;170.916.548
Feb;15;2019;1,14;32.903.775;159.571.264
Feb;14;2019;1,13;28.927.385;157.796.888
Feb;13;2019;1,14;32.180.757;160.260.562
Feb;12;2019;1,16;35.769.001;162.770.027
Feb;11;2019;1,15;40.084.272;161.918.198
Feb;10;2019;1,19;46.084.278;167.279.846
Feb;9;2019;1,15;33.203.990;161.542.619
Feb;8;2019;1,15;44.474.319;160.624.246
Feb;7;2019;1,04;37.191.979;145.198.352
Feb;6;2019;1,02;30.106.992;143.487.872
Feb;5;2019;1,08;36.140.606;151.450.188
Feb;4;2019;1,11;36.779.666;155.565.365
Feb;3;2019;1,10;31.917.647;154.252.251
Feb;2;2019;1,10;24.571.340;154.775.730
Feb;1;2019;1,09;23.568.253;153.332.190
Jan;31;2019;1,09;21.318.364;153.435.977
Jan;30;2019;1,14;34.712.014;159.435.661
Jan;29;2019;1,11;29.485.455;155.996.516
Jan;28;2019;1,12;30.125.583;156.837.220
Jan;27;2019;1,18;34.769.493;165.223.237
Jan;26;2019;1,25;29.147.952;174.629.477
Jan;25;2019;1,25;28.230.371;175.274.913
Jan;24;2019;1,27;33.525.966;177.411.379
Jan;23;2019;1,28;34.046.645;179.077.999
Jan;22;2019;1,30;34.292.931;182.169.399
Jan;21;2019;1,28;34.986.326;179.215.104
Jan;20;2019;1,27;42.350.450;177.594.133
Jan;19;2019;1,31;37.763.114;183.820.048
Jan;18;2019;1,28;33.869.874;179.765.257
Jan;17;2019;1,31;32.756.642;183.493.609
Jan;16;2019;1,28;28.067.293;179.679.536
Jan;15;2019;1,24;31.468.074;174.488.384
Jan;14;2019;1,30;27.036.149;181.818.708
Jan;13;2019;1,20;25.255.337;168.702.346
Jan;12;2019;1,30;24.670.045;182.698.000
Jan;11;2019;1,31;26.655.202;183.101.186
Jan;10;2019;1,28;32.484.274;180.176.352
Jan;9;2019;1,53;27.260.830;214.276.859
Jan;8;2019;1,50;30.829.957;210.187.076
Jan;7;2019;1,49;26.418.926;208.904.214
Jan;6;2019;1,58;38.151.567;221.751.316
Jan;5;2019;1,51;40.015.078;211.253.729
Jan;4;2019;1,48;42.369.429;207.472.529
Jan;3;2019;1,46;34.089.456;205.446.345
Jan;2;2019;1,53;41.520.879;214.000.707
Jan;1;2019;1,43;35.937.624;200.782.172
Dec;31;2018;1,35;35.845.432;189.463.833
Dec;30;2018;1,42;36.130.806;199.283.833
Dec;29;2018;1,47;33.575.307;206.088.336
Dec;28;2018;1,47;30.251.721;206.654.839
Dec;27;2018;1,32;32.173.186;184.914.806
Dec;26;2018;1,49;36.215.492;208.991.367
Dec;25;2018;1,48;37.234.003;207.694.348
Dec;24;2018;1,60;55.619.766;225.018.503
Dec;23;2018;1,66;36.814.115;233.250.933
Dec;22;2018;1,57;30.933.747;219.669.662
Dec;21;2018;1,49;39.135.083;209.122.611
Dec;20;2018;1,64;55.437.269;230.513.386
Dec;19;2018;1,36;41.089.959;191.428.023
Dec;18;2018;1,34;39.316.389;187.599.696
Dec;17;2018;1,27;35.416.210;178.137.988
