Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;1,33;118.739.892;657.548.465
Apr;10;2019;1,50;88.594.866;741.606.382
Apr;9;2019;1,45;77.615.887;719.802.849
Apr;8;2019;1,52;118.084.140;750.159.162
Apr;7;2019;1,54;100.341.457;760.764.526
Apr;6;2019;1,57;89.624.101;776.192.242
Apr;5;2019;1,63;96.967.872;804.456.443
Apr;4;2019;1,58;190.209.185;783.837.502
Apr;3;2019;1,47;177.308.061;725.204.215
Apr;2;2019;1,47;151.776.935;724.968.616
Apr;1;2019;1,32;74.712.016;654.537.430
Mar;31;2019;1,30;48.922.362;644.458.753
Mar;30;2019;1,29;81.100.521;638.872.537
Mar;29;2019;1,24;60.256.896;615.265.819
Mar;28;2019;1,24;52.882.502;611.343.325
Mar;27;2019;1,27;73.025.534;629.385.401
Mar;26;2019;1,18;73.219.357;584.898.571
Mar;25;2019;1,20;71.628.406;593.640.206
Mar;24;2019;1,25;74.787.320;619.262.884
Mar;23;2019;1,27;78.999.412;628.556.705
Mar;22;2019;1,29;104.614.618;638.744.163
Mar;21;2019;1,30;212.388.196;642.632.806
Mar;20;2019;1,33;149.861.573;659.202.764
Mar;19;2019;1,14;47.799.361;564.901.727
Mar;18;2019;1,10;76.646.025;543.328.357
Mar;17;2019;1,13;59.744.996;558.794.092
Mar;16;2019;1,08;61.577.321;536.074.132
Mar;15;2019;1,01;29.739.811;500.762.079
Mar;14;2019;1,00;45.955.354;495.819.590
Mar;13;2019;1,02;93.765.301;331.372.844
Mar;12;2019;0,968863;61.350.604;314.189.126
Mar;11;2019;0,917168;33.205.647;297.425.323
Mar;10;2019;0,967023;35.019.367;313.592.610
Mar;9;2019;0,988571;43.312.445;320.580.295
Mar;8;2019;0,984335;68.017.487;319.206.731
Mar;7;2019;1,01;84.259.967;328.146.110
Mar;6;2019;0,907934;34.481.626;294.430.731
Mar;5;2019;0,930181;55.182.922;301.645.164
Mar;4;2019;0,804437;33.210.096;260.868.236
Mar;3;2019;0,883259;17.253.950;286.429.088
Mar;2;2019;0,889252;26.518.232;288.372.384
Mar;1;2019;0,937784;32.241.050;304.110.777
Feb;28;2019;0,908656;47.839.334;294.665.081
Feb;27;2019;0,907885;47.895.275;294.414.925
Feb;26;2019;0,921805;65.900.002;298.928.905
Feb;25;2019;0,987130;155.036.742;320.113.153
Feb;24;2019;1,00;335.437.476;324.547.851
Feb;23;2019;0,969874;167.007.892;314.517.020
Feb;22;2019;0,818406;69.347.419;265.398.206
Feb;21;2019;0,736148;38.403.857;238.722.847
Feb;20;2019;0,754407;41.135.823;244.644.138
Feb;19;2019;0,686168;44.532.431;222.515.226
Feb;18;2019;0,680919;40.491.042;220.812.789
Feb;17;2019;0,645875;44.588.702;209.448.560
Feb;16;2019;0,629809;90.286.780;204.238.727
Feb;15;2019;0,675509;115.754.805;219.058.598
Feb;14;2019;0,570682;11.844.322;185.064.482
Feb;13;2019;0,579721;21.146.488;187.995.795
Feb;12;2019;0,580775;17.029.336;188.337.678
Feb;11;2019;0,581001;13.197.624;188.410.954
Feb;10;2019;0,587508;17.880.504;190.520.796
Feb;9;2019;0,578419;23.094.154;187.573.521
Feb;8;2019;0,563916;19.743.466;182.870.325
Feb;7;2019;0,518084;10.383.352;168.007.595
Feb;6;2019;0,515018;12.190.440;167.013.551
Feb;5;2019;0,528030;10.019.259;171.232.881
Feb;4;2019;0,535084;8.224.638;173.520.398
Feb;3;2019;0,537689;11.667.054;174.365.401
Feb;2;2019;0,552761;9.445.255;179.253.083
Feb;1;2019;0,544251;12.967.855;176.493.386
Jan;31;2019;0,536120;17.291.686;173.856.502
Jan;30;2019;0,555713;22.488.233;180.210.401
Jan;29;2019;0,547090;19.507.220;177.413.871
Jan;28;2019;0,562218;25.517.881;182.319.684
Jan;27;2019;0,603862;20.416.669;195.824.327
Jan;26;2019;0,613176;26.284.465;198.844.632
Jan;25;2019;0,616777;28.818.207;200.012.640
Jan;24;2019;0,598279;14.578.266;194.013.867
Jan;23;2019;0,597230;19.265.061;193.673.577
Jan;22;2019;0,605992;20.443.961;196.515.040
Jan;21;2019;0,585009;16.633.175;189.710.594
Jan;20;2019;0,598911;19.730.045;194.218.876
Jan;19;2019;0,621395;20.158.809;201.509.984
Jan;18;2019;0,608001;15.130.640;197.166.658
Jan;17;2019;0,626477;23.738.518;203.158.120
Jan;16;2019;0,625577;33.862.091;202.866.186
Jan;15;2019;0,590946;26.153.636;191.635.848
Jan;14;2019;0,611438;27.539.117;198.281.161
Jan;13;2019;0,574982;23.177.490;186.459.074
Jan;12;2019;0,618352;34.352.648;200.523.398
Jan;11;2019;0,639593;51.840.805;207.411.461
Jan;10;2019;0,595887;42.849.547;193.238.052
Jan;9;2019;0,720768;31.281.391;233.735.511
Jan;8;2019;0,642589;17.439.496;187.067.901
Jan;7;2019;0,628132;12.670.348;182.859.134
Jan;6;2019;0,654306;14.883.455;190.478.731
Jan;5;2019;0,627474;12.045.376;182.667.722
Jan;4;2019;0,611206;11.397.349;177.931.636
Jan;3;2019;0,606526;12.536.845;176.569.460
Jan;2;2019;0,645164;15.800.570;187.817.527
Jan;1;2019;0,607312;9.285.487;176.798.158
Dec;31;2018;0,591902;9.531.769;172.311.979
Dec;30;2018;0,621715;13.915.822;180.991.087
Dec;29;2018;0,611469;19.535.513;178.008.219
Dec;28;2018;0,629880;23.013.077;183.367.983
Dec;27;2018;0,561115;30.370.230;163.349.371
Dec;26;2018;0,642670;23.423.575;187.091.409
Dec;25;2018;0,668273;31.544.738;194.544.849
Dec;24;2018;0,776952;36.804.341;226.182.937
Dec;23;2018;0,751968;23.271.084;218.909.829
Dec;22;2018;0,744247;33.030.377;216.662.115
Dec;21;2018;0,712238;52.022.707;207.343.844
Dec;20;2018;0,673239;38.453.559;195.990.632
Dec;19;2018;0,619668;42.723.981;180.395.222
Dec;18;2018;0,692782;45.151.380;201.679.937
Dec;17;2018;0,582424;29.837.865;169.552.877
Dec;16;2018;0,461815;6.737.397;134.441.540
Dec;15;2018;0,457601;7.936.413;133.215.038
Dec;14;2018;0,475800;6.684.644;138.512.862
Dec;13;2018;0,510253;7.402.194;148.542.668
Dec;12;2018;0,537882;6.678.815;156.585.988
Dec;11;2018;0,529892;5.688.026;154.260.041
Dec;10;2018;0,544461;9.804.184;158.501.157
Dec;9;2018;0,575431;10.297.700;167.517.238
Dec;8;2018;0,556947;14.283.221;162.136.233
Dec;7;2018;0,556562;18.455.110;162.024.091
Dec;6;2018;0,559528;30.720.429;162.887.364
Dec;5;2018;0,667061;28.130.029;194.191.987
Dec;4;2018;0,737364;29.430.767;214.658.515
Dec;3;2018;0,751746;28.880.291;218.845.074
Dec;2;2018;0,818625;37.769.901;238.314.715
Dec;1;2018;0,817206;35.547.262;237.901.586
Nov;30;2018;0,778429;34.972.517;226.613.141
Nov;29;2018;0,828594;36.468.929;241.216.813
Nov;28;2018;0,866758;46.681.400;252.327.019
Nov;27;2018;0,769898;25.284.600;224.129.535
Nov;26;2018;0,771633;70.828.700;224.634.621
Nov;25;2018;0,861179;51.930.300;250.702.883
Nov;24;2018;0,900998;22.505.300;262.294.827
Nov;23;2018;0,986993;22.352.600;287.329.337
