Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,999872;119.904.112;107.105.391
Apr;10;2019;0,999599;104.633.041;110.031.661
Apr;9;2019;0,999263;68.687.118;110.493.839
Apr;8;2019;0,997705;89.753.725;106.051.565
Apr;7;2019;0,999504;70.038.223;107.460.178
Apr;6;2019;1,00;83.508.151;107.876.625
Apr;5;2019;1,00;74.688.581;107.451.942
Apr;4;2019;1,00;92.533.727;110.766.994
Apr;3;2019;1,00;156.158.438;111.997.007
Apr;2;2019;0,997618;173.453.585;111.057.285
Apr;1;2019;1,00;64.407.270;115.398.412
Mar;31;2019;1,00;50.312.218;118.271.807
Mar;30;2019;1,00;61.562.607;118.176.473
Mar;29;2019;1,00;65.961.700;118.055.431
Mar;28;2019;1,01;49.066.881;120.163.990
Mar;27;2019;1,01;62.009.065;121.692.375
Mar;26;2019;1,02;47.405.788;120.899.667
Mar;25;2019;1,01;55.622.554;120.688.608
Mar;24;2019;1,01;49.244.332;119.850.518
Mar;23;2019;1,01;54.047.482;120.353.913
Mar;22;2019;1,01;54.384.456;120.252.319
Mar;21;2019;1,01;61.260.525;120.647.035
Mar;20;2019;1,01;56.545.380;118.567.333
Mar;19;2019;1,02;62.530.162;121.622.190
Mar;18;2019;1,01;67.074.913;120.999.729
Mar;17;2019;1,01;50.370.188;118.380.015
Mar;16;2019;1,01;91.777.344;119.513.241
Mar;15;2019;1,01;78.038.027;119.702.050
Mar;14;2019;1,02;79.462.384;120.144.634
Mar;13;2019;1,01;46.830.157;118.924.217
Mar;12;2019;1,01;105.133.905;112.874.871
Mar;11;2019;1,01;131.380.605;113.190.704
Mar;10;2019;1,01;62.366.399;113.028.680
Mar;9;2019;1,01;63.680.041;112.817.971
Mar;8;2019;1,01;67.484.194;113.208.164
Mar;7;2019;1,01;52.108.050;112.968.458
Mar;6;2019;1,01;54.981.836;113.160.110
Mar;5;2019;1,01;58.443.786;113.199.759
Mar;4;2019;1,01;58.185.765;113.182.560
Mar;3;2019;1,01;43.237.405;113.064.533
Mar;2;2019;1,01;50.541.038;113.038.481
Mar;1;2019;1,01;45.497.635;115.141.642
Feb;28;2019;1,02;68.087.479;116.243.139
Feb;27;2019;1,01;68.231.634;116.892.941
Feb;26;2019;1,01;62.870.307;117.549.925
Feb;25;2019;1,02;83.456.177;117.882.272
Feb;24;2019;1,02;120.160.861;118.286.899
Feb;23;2019;1,01;78.762.236;117.878.603
Feb;22;2019;1,02;68.332.642;114.657.114
Feb;21;2019;1,02;71.455.761;115.056.750
Feb;20;2019;1,02;68.474.600;114.916.462
Feb;19;2019;1,01;85.876.572;115.366.331
Feb;18;2019;1,01;88.170.693;115.823.940
Feb;17;2019;1,02;79.195.020;116.024.836
Feb;16;2019;1,01;69.454.603;115.878.882
Feb;15;2019;1,01;69.168.484;115.926.766
Feb;14;2019;1,01;70.286.857;117.427.622
Feb;13;2019;1,01;75.710.292;117.884.396
Feb;12;2019;1,02;66.897.125;119.474.539
Feb;11;2019;1,01;60.894.838;120.632.705
Feb;10;2019;1,01;60.588.494;122.169.630
Feb;9;2019;1,01;70.656.331;122.240.029
Feb;8;2019;1,01;77.932.965;122.427.876
Feb;7;2019;1,01;55.389.898;122.957.868
Feb;6;2019;1,01;66.612.057;121.685.324
Feb;5;2019;1,01;57.839.333;122.125.792
Feb;4;2019;1,01;56.430.944;122.969.514
Feb;3;2019;1,01;61.128.427;123.568.534
Feb;2;2019;1,01;66.571.596;124.226.620
Feb;1;2019;1,01;66.351.040;125.331.635
Jan;31;2019;1,01;63.835.356;128.894.022
Jan;30;2019;1,01;61.165.409;130.367.487
Jan;29;2019;1,01;64.274.527;132.074.842
Jan;28;2019;1,01;81.225.721;134.545.279
Jan;27;2019;1,01;62.041.279;136.081.435
Jan;26;2019;1,01;57.025.801;136.284.416
Jan;25;2019;1,01;64.553.143;137.262.593
Jan;24;2019;1,01;58.509.985;140.116.187
Jan;23;2019;1,01;64.335.453;136.535.608
Jan;22;2019;1,01;71.132.403;138.484.083
Jan;21;2019;1,01;66.016.072;140.676.736
Jan;20;2019;1,01;80.719.641;142.533.369
Jan;19;2019;1,01;82.498.547;142.078.525
Jan;18;2019;1,01;67.797.317;137.296.316
Jan;17;2019;1,01;80.292.383;138.759.638
Jan;16;2019;1,01;86.720.785;134.903.982
Jan;15;2019;1,01;92.772.671;140.506.943
Jan;14;2019;1,01;87.373.904;138.131.373
Jan;13;2019;1,01;82.549.915;133.829.058
Jan;12;2019;1,01;76.338.236;133.983.809
Jan;11;2019;1,01;94.477.347;133.976.728
Jan;10;2019;1,01;128.065.159;132.657.226
Jan;9;2019;1,01;97.829.441;131.797.197
Jan;8;2019;1,01;74.631.450;132.005.458
Jan;7;2019;1,01;69.302.133;130.340.827
Jan;6;2019;1,01;76.748.596;132.866.268
Jan;5;2019;1,01;74.534.618;132.606.089
Jan;4;2019;1,01;77.033.641;131.211.457
Jan;3;2019;1,01;70.773.486;132.718.599
Jan;2;2019;1,02;76.694.503;139.176.073
Jan;1;2019;1,01;58.620.345;142.588.094
Dec;31;2018;1,01;64.503.606;142.870.626
Dec;30;2018;1,01;65.239.914;146.573.176
Dec;29;2018;1,02;66.809.144;148.004.003
Dec;28;2018;1,01;68.623.954;146.538.234
Dec;27;2018;1,01;74.856.344;151.285.518
Dec;26;2018;1,01;76.162.954;154.610.511
Dec;25;2018;1,01;85.478.395;156.669.483
Dec;24;2018;1,01;98.368.760;156.867.777
Dec;23;2018;1,01;63.077.108;157.759.200
Dec;22;2018;1,01;50.942.026;158.059.430
Dec;21;2018;1,01;82.363.314;158.311.352
Dec;20;2018;1,01;98.795.360;151.123.084
Dec;19;2018;1,02;78.807.604;151.009.728
Dec;18;2018;1,01;68.149.406;150.998.250
Dec;17;2018;1,01;67.463.034;153.014.000
Dec;16;2018;1,01;47.420.643;155.053.941
Dec;15;2018;1,01;50.477.028;154.885.033
Dec;14;2018;1,00;54.644.968;154.623.179
Dec;13;2018;1,00;54.471.748;156.280.505
Dec;12;2018;1,01;51.519.505;160.345.391
Dec;11;2018;1,01;53.707.872;166.536.782
Dec;10;2018;1,01;56.767.019;173.047.678
Dec;9;2018;1,02;65.237.815;176.367.943
Dec;8;2018;1,02;80.419.852;176.680.302
Dec;7;2018;1,00;98.954.585;170.418.118
Dec;6;2018;1,01;78.747.045;166.516.606
Dec;5;2018;1,01;80.548.956;161.948.237
Dec;4;2018;1,01;83.771.293;175.434.869
Dec;3;2018;1,01;74.156.306;185.856.039
Dec;2;2018;1,01;67.325.338;167.865.500
Dec;1;2018;1,02;65.507.289;168.225.538
Nov;30;2018;1,01;85.826.958;162.916.906
Nov;29;2018;1,01;67.964.671;144.085.542
Nov;28;2018;1,01;67.908.400;135.280.581
Nov;27;2018;1,01;52.772.500;137.536.983
Nov;26;2018;1,01;53.641.400;137.677.470
Nov;25;2018;1,02;45.581.800;141.951.721
Nov;24;2018;1,01;40.724.900;140.834.377
Nov;23;2018;1,01;43.726.600;141.969.813
Nov;22;2018;1,02;35.518.200;140.841.893
Nov;21;2018;1,01;42.087.400;138.131.322
Nov;20;2018;1,01;70.244.400;134.910.533
Nov;19;2018;1,01;61.090.200;135.665.623
Nov;18;2018;1,01;51.855.500;136.123.401
Nov;17;2018;1,00;49.010.700;134.769.116
Nov;16;2018;1,01;51.347.600;134.250.307
Nov;15;2018;1,01;60.039.800;131.560.843
Nov;14;2018;1,01;72.003.800;131.297.592
Nov;13;2018;1,01;47.528.500;133.482.198
Nov;12;2018;1,00;43.124.500;132.305.019
Nov;11;2018;0,998750;45.203.500;135.138.421
Nov;10;2018;1,00;34.089.900;135.254.042
Nov;9;2018;1,00;46.708.600;135.371.397
Nov;8;2018;0,999982;50.134.300;134.599.181
Nov;7;2018;0,996607;58.709.200;135.417.480
Nov;6;2018;0,996409;56.682.400;134.074.292
Nov;5;2018;0,995909;50.824.900;133.417.495
Nov;4;2018;0,981596;56.330.100;130.600.298
Nov;3;2018;0,998166;41.278.200;132.804.919
Nov;2;2018;0,999300;44.779.500;132.331.435
Nov;1;2018;1,01;30.620.400;112.559.941
Oct;31;2018;0,998539;40.036.600;108.437.569
Oct;30;2018;1,00;27.944.200;112.028.558
Oct;29;2018;1,01;24.948.600;107.540.393
Oct;28;2018;1,01;20.093.500;96.787.701
Oct;27;2018;1,01;26.526.700;96.716.552
Oct;26;2018;1,01;18.251.500;96.833.851
Oct;25;2018;1,01;21.052.100;97.179.017
Oct;24;2018;1,01;15.514.100;79.373.507
Oct;23;2018;1,01;19.929.900;79.390.775
Oct;22;2018;1,01;19.751.400;41.809.490
Oct;21;2018;1,01;14.796.700;41.978.939
Oct;20;2018;1,01;10.019.600;41.846.453
Oct;19;2018;1,01;17.583.200;42.006.765
Oct;18;2018;1,01;20.209.700;41.925.778
Oct;17;2018;1,01;16.751.300;63.840.659
Oct;16;2018;1,02;18.049.200;50.848.167
Oct;15;2018;1,02;26.404.800;36.458.481
Oct;14;2018;1,02;25.629.000;24.191.381
Oct;13;2018;1,01;16.169.700;23.975.535
Oct;12;2018;1,01;31.630.200;21.357.075
Oct;11;2018;1,01;52.747.000;13.446.463
Oct;10;2018;1,01;4.300.970;13.364.203
Oct;9;2018;1,01;12.885.600;13.363.539
Oct;8;2018;1,02;14.762.500;-
Oct;7;2018;1,01;12.880.100;-
Oct;6;2018;1,00;12.614.100;-
Oct;5;2018;1,00;11.916.300;-
Oct;4;2018;1,00;3.735.650;-
Oct;3;2018;1,00;2.526.330;-
Oct;2;2018;1,00;3.671.040;-
Oct;1;2018;0,997613;10.192.600;-
Sep;30;2018;1,00;24.168.200;-
Sep;29;2018;0,998921;12.641.400;-
Sep;28;2018;1,00;14.445.200;-
Sep;27;2018;0,997747;18.084.600;-
Apr;18;2019;1,00;73.997.682;108.038.630
Apr;17;2019;1,00;77.577.095;110.231.293
Apr;16;2019;1,00;64.506.997;109.620.504
Apr;15;2019;1,00;84.944.553;109.066.915
Apr;14;2019;0,998419;49.637.430;109.858.535
Apr;13;2019;1,00;52.335.702;107.681.009
Apr;12;2019;1,00;78.170.139;107.537.240
