Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;1,59;14.191.471;84.540.445
Apr;10;2019;1,55;5.760.759;82.654.623
Apr;9;2019;1,61;6.034.190;85.636.606
Apr;8;2019;1,62;6.752.116;86.271.760
Apr;7;2019;1,66;4.946.910;88.558.776
Apr;6;2019;1,61;7.272.391;85.679.408
Apr;5;2019;1,66;5.763.944;88.638.676
Apr;4;2019;1,59;5.383.571;84.672.054
Apr;3;2019;1,63;7.046.048;86.826.710
Apr;2;2019;1,74;9.811.546;92.674.148
Apr;1;2019;1,59;7.909.498;84.737.370
Mar;31;2019;1,55;4.869.330;82.749.399
Mar;30;2019;1,52;3.600.036;80.946.669
Mar;29;2019;1,49;3.404.602;79.421.262
Mar;28;2019;1,50;3.530.181;80.137.548
Mar;27;2019;1,50;5.873.549;79.975.497
Mar;26;2019;1,43;3.522.972;76.362.628
Mar;25;2019;1,40;1.856.894;74.620.680
Mar;24;2019;1,44;2.184.434;76.457.293
Mar;23;2019;1,43;1.497.334;76.333.643
Mar;22;2019;1,41;1.071.477;75.291.882
Mar;21;2019;1,40;2.146.650;74.335.769
Mar;20;2019;1,46;1.361.504;77.489.227
Mar;19;2019;1,47;1.700.088;78.082.405
Mar;18;2019;1,48;2.507.099;78.568.132
Mar;17;2019;1,45;1.779.620;77.250.262
Mar;16;2019;1,46;3.796.044;77.488.604
Mar;15;2019;1,41;8.793.603;75.350.624
Mar;14;2019;1,44;6.717.768;76.745.611
Mar;13;2019;1,29;3.444.103;68.514.830
Mar;12;2019;1,32;5.899.767;70.305.754
Mar;11;2019;1,24;1.785.622;65.814.989
Mar;10;2019;1,28;1.997.929;68.142.906
Mar;9;2019;1,27;1.390.442;67.499.778
Mar;8;2019;1,22;1.196.806;65.011.678
Mar;7;2019;1,25;2.948.671;66.766.131
Mar;6;2019;1,23;1.587.422;65.601.675
Mar;5;2019;1,24;2.296.276;66.229.470
Mar;4;2019;1,21;5.781.605;64.244.322
Mar;3;2019;1,26;1.510.076;66.892.805
Mar;2;2019;1,20;1.869.875;63.836.258
Mar;1;2019;1,20;1.131.777;63.656.693
Feb;28;2019;1,17;1.312.198;62.561.508
Feb;27;2019;1,19;1.734.321;63.433.078
Feb;26;2019;1,22;2.111.770;64.950.616
Feb;25;2019;1,18;2.220.438;62.633.982
Feb;24;2019;1,15;1.739.839;61.101.187
Feb;23;2019;1,31;1.461.938;69.734.232
Feb;22;2019;1,28;1.712.489;68.415.398
Feb;21;2019;1,32;807.579;70.298.632
Feb;20;2019;1,37;1.388.995;72.707.547
Feb;19;2019;1,35;1.757.447;71.720.204
Feb;18;2019;1,36;2.436.357;72.440.133
Feb;17;2019;1,32;5.078.531;70.330.193
Feb;16;2019;1,25;2.563.274;66.348.995
Feb;15;2019;1,24;1.929.283;65.994.373
Feb;14;2019;1,21;2.112.216;64.257.023
Feb;13;2019;1,22;4.145.421;64.966.224
Feb;12;2019;1,23;2.825.973;65.242.109
Feb;11;2019;1,24;4.687.352;66.077.031
Feb;10;2019;1,30;2.663.102;69.264.802
Feb;9;2019;1,29;2.441.091;68.669.092
Feb;8;2019;1,26;3.992.544;67.123.842
Feb;7;2019;1,18;1.848.738;62.753.050
Feb;6;2019;1,18;2.853.778;62.584.636
Feb;5;2019;1,18;1.396.580;62.619.319
Feb;4;2019;1,20;1.396.252;63.649.204
Feb;3;2019;1,19;987.330;63.203.241
Feb;2;2019;1,22;915.365;64.829.382
Feb;1;2019;1,20;1.098.432;63.682.104
Jan;31;2019;1,19;1.926.829;63.488.554
Jan;30;2019;1,23;3.129.265;65.299.023
Jan;29;2019;1,20;1.141.673;64.167.656
Jan;28;2019;1,24;1.288.042;66.055.721
Jan;27;2019;1,31;1.011.134;69.581.323
Jan;26;2019;1,36;2.337.482;72.419.705
Jan;25;2019;1,32;696.339;70.494.429
Jan;24;2019;1,32;1.787.136;70.451.113
Jan;23;2019;1,30;1.122.209;69.068.646
Jan;22;2019;1,32;1.605.463;70.378.877
Jan;21;2019;1,34;1.353.163;71.327.591
Jan;20;2019;1,30;846.304;69.407.587
Jan;19;2019;1,37;841.054;72.714.896
Jan;18;2019;1,33;1.601.657;70.971.275
Jan;17;2019;1,34;1.152.525;71.606.245
Jan;16;2019;1,34;1.574.126;71.395.259
Jan;15;2019;1,31;1.836.131;69.575.839
Jan;14;2019;1,39;3.027.074;74.261.014
Jan;13;2019;1,33;6.525.254;71.068.838
Jan;12;2019;1,32;874.457;70.188.714
Jan;11;2019;1,30;815.112;69.145.294
Jan;10;2019;1,29;1.704.028;68.829.192
Jan;9;2019;1,53;1.001.530;81.670.154
Jan;8;2019;1,52;1.138.279;81.023.886
Jan;7;2019;1,55;1.425.694;82.788.438
Jan;6;2019;1,57;1.362.894;83.855.311
Jan;5;2019;1,50;2.960.876;80.005.337
Jan;4;2019;1,48;1.076.645;78.705.256
Jan;3;2019;1,48;656.984;78.879.610
Jan;2;2019;1,56;836.064;82.910.972
Jan;1;2019;1,49;1.019.652;79.608.544
Dec;31;2018;1,48;1.978.286;78.896.954
Dec;30;2018;1,60;858.919;85.407.631
Dec;29;2018;1,54;955.965;82.026.763
Dec;28;2018;1,58;808.750;84.384.097
Dec;27;2018;1,41;884.621;74.987.452
Dec;26;2018;1,62;2.012.139;86.530.456
Dec;25;2018;1,74;9.787.069;92.619.544
Dec;24;2018;1,80;4.591.721;95.905.242
Dec;23;2018;1,55;1.733.572;82.510.823
Dec;22;2018;1,53;686.433;81.693.831
Dec;21;2018;1,48;1.741.482;78.644.266
Dec;20;2018;1,60;2.536.561;85.267.000
Dec;19;2018;1,41;3.453.758;75.260.525
