Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,060188;6.772.275;87.271.792
Apr;10;2019;0,068858;4.957.820;99.833.626
Apr;9;2019;0,068192;4.533.836;98.859.058
Apr;8;2019;0,071630;7.752.988;103.832.987
Apr;7;2019;0,076239;7.758.885;110.501.997
Apr;6;2019;0,075176;7.162.843;108.950.373
Apr;5;2019;0,078715;9.768.426;114.067.805
Apr;4;2019;0,078666;17.210.689;113.985.133
Apr;3;2019;0,065964;16.687.101;95.571.829
Apr;2;2019;0,060490;10.060.034;87.632.848
Apr;1;2019;0,058831;4.821.083;85.427.439
Mar;31;2019;0,061960;12.432.715;89.961.723
Mar;30;2019;0,054584;4.140.436;79.244.626
Mar;29;2019;0,053951;3.413.393;78.318.379
Mar;28;2019;0,052481;2.412.284;76.178.210
Mar;27;2019;0,055330;2.801.418;80.306.125
Mar;26;2019;0,051164;3.683.443;74.251.647
Mar;25;2019;0,053428;3.029.696;77.528.142
Mar;24;2019;0,055591;4.815.502;80.658.954
Mar;23;2019;0,059952;7.702.163;86.976.200
Mar;22;2019;0,052201;2.961.259;75.725.131
Mar;21;2019;0,051820;6.369.767;75.164.074
Mar;20;2019;0,055160;10.288.732;80.000.907
Mar;19;2019;0,050136;4.235.643;72.708.184
Mar;18;2019;0,049664;3.949.190;72.017.155
Mar;17;2019;0,046255;1.233.595;67.068.167
Mar;16;2019;0,046280;2.987.024;67.097.924
Mar;15;2019;0,050342;1.320.700;71.037.111
Mar;14;2019;0,049279;2.961.876;69.530.403
Mar;13;2019;0,049177;4.839.105;69.379.426
Mar;12;2019;0,058637;8.763.294;82.719.193
Mar;11;2019;0,060804;13.923.875;85.766.794
Mar;10;2019;0,057917;8.288.571;81.686.650
Mar;9;2019;0,056159;28.349.579;79.200.419
Mar;8;2019;0,048765;34.645.212;68.766.197
Mar;7;2019;0,034280;3.056.272;48.456.059
Mar;6;2019;0,031911;2.509.783;45.101.548
Mar;5;2019;0,032317;2.597.616;45.671.127
Mar;4;2019;0,031259;5.833.033;44.172.144
Mar;3;2019;0,034313;4.132.187;48.482.825
Mar;2;2019;0,031531;2.370.993;44.548.568
Mar;1;2019;0,031299;3.974.830;44.215.780
Feb;28;2019;0,031377;2.611.861;44.322.285
Feb;27;2019;0,029327;1.426.403;41.422.189
Feb;26;2019;0,029742;1.888.209;42.004.539
Feb;25;2019;0,029219;1.944.076;41.261.446
Feb;24;2019;0,029123;5.590.307;41.121.113
Feb;23;2019;0,033106;6.323.272;46.740.872
Feb;22;2019;0,030681;1.860.804;43.313.578
Feb;21;2019;0,028827;761.195;40.692.631
Feb;20;2019;0,029738;1.466.977;41.975.817
Feb;19;2019;0,029214;1.442.298;41.231.784
Feb;18;2019;0,029958;2.330.867;42.277.125
Feb;17;2019;0,028931;1.358.112;40.823.561
Feb;16;2019;0,028090;1.122.189;39.633.064
Feb;15;2019;0,026677;1.384.708;37.635.542
Feb;14;2019;0,027604;815.878;38.939.491
Feb;13;2019;0,027693;990.868;39.060.785
Feb;12;2019;0,028985;1.513.420;31.811.327
Feb;11;2019;0,029533;890.903;32.408.268
Feb;10;2019;0,030678;1.105.096;33.966.837
Feb;9;2019;0,031155;1.480.741;34.490.768
Feb;8;2019;0,030291;2.839.665;33.530.011
Feb;7;2019;0,027937;1.128.534;30.920.494
Feb;6;2019;0,027799;1.027.554;30.764.838
Feb;5;2019;0,030515;492.178;33.766.810
Feb;4;2019;0,030258;662.656;33.478.123
Feb;3;2019;0,030342;1.499.034;33.566.801
Feb;2;2019;0,030778;2.313.836;34.044.416
Feb;1;2019;0,031509;2.498.980;34.849.211
Jan;31;2019;0,033484;3.306.361;37.028.307
Jan;30;2019;0,035802;1.357.066;39.586.635
Jan;29;2019;0,036159;2.394.264;39.975.505
Jan;28;2019;0,036735;3.351.419;40.608.128
Jan;27;2019;0,039374;2.033.531;43.456.935
Jan;26;2019;0,039935;1.382.314;44.075.905
Jan;25;2019;0,039443;1.699.648;43.532.567
Jan;24;2019;0,040358;1.855.255;44.543.051
Jan;23;2019;0,041412;3.687.645;45.706.513
Jan;22;2019;0,042989;2.612.584;47.445.930
Jan;21;2019;0,046061;5.597.735;50.837.294
Jan;20;2019;0,041845;7.158.827;46.183.783
Jan;19;2019;0,039727;4.754.724;43.845.765
Jan;18;2019;0,037519;426.428;41.408.902
Jan;17;2019;0,039712;1.474.971;43.829.237
Jan;16;2019;0,039279;1.534.298;43.351.282
Jan;15;2019;0,039795;1.844.876;-
Jan;14;2019;0,042205;2.361.067;-
Jan;13;2019;0,042190;5.623.335;-
Jan;12;2019;0,040324;2.740.686;-
Jan;11;2019;0,037694;1.254.545;-
Jan;10;2019;0,037101;5.576.057;-
Jan;9;2019;0,039848;1.372.199;-
Jan;8;2019;0,038667;1.368.524;-
Jan;7;2019;0,039518;2.087.386;-
Jan;6;2019;0,041778;2.030.768;-
Jan;5;2019;0,039513;1.998.419;-
Jan;4;2019;0,039533;1.254.680;-
Jan;3;2019;0,039250;1.009.923;-
Jan;2;2019;0,042243;1.028.366;-
Jan;1;2019;0,042596;873.103;-
Dec;31;2018;0,041213;24.794.532;-
Dec;30;2018;0,043175;12.892.000;-
Dec;29;2018;0,041826;1.698.411;-
Dec;28;2018;0,045575;2.060.133;-
Dec;27;2018;0,041818;1.910.685;-
Dec;26;2018;0,044686;2.272.609;-
Dec;25;2018;0,044754;3.333.262;-
Dec;24;2018;0,054677;6.846.243;-
Dec;23;2018;0,055206;3.470.772;-
Dec;22;2018;0,056579;3.051.575;-
Dec;21;2018;0,059288;4.792.499;-
Dec;20;2018;0,057990;4.302.025;-
Dec;19;2018;0,055579;3.564.942;-
Dec;18;2018;0,055802;2.993.020;-
Dec;17;2018;0,052719;3.389.326;-
Dec;16;2018;0,048052;1.530.825;-
Dec;15;2018;0,047097;613.800;-
Dec;14;2018;0,047069;810.559;-
Dec;13;2018;0,047520;864.308;-
Dec;12;2018;0,049030;1.048.307;-
Dec;11;2018;0,048114;1.061.953;-
Dec;10;2018;0,049467;2.886.201;-
Dec;9;2018;0,050744;2.968.563;-
Dec;8;2018;0,048011;2.466.548;-
Dec;7;2018;0,048849;3.736.075;-
Dec;6;2018;0,051344;4.235.278;-
Dec;5;2018;0,060617;2.740.546;-
Dec;4;2018;0,065111;2.383.035;-
Dec;3;2018;0,068390;5.161.594;-
Dec;2;2018;0,074101;6.955.295;-
Dec;1;2018;0,076317;2.865.631;-
Nov;30;2018;0,072128;5.045.903;-
Nov;29;2018;0,079333;5.744.617;-
Nov;28;2018;0,079057;6.053.950;-
Nov;27;2018;0,063872;1.564.040;-
Nov;26;2018;0,061617;1.530.530;-
Nov;25;2018;0,066624;1.949.220;-
Nov;24;2018;0,066881;3.351.340;-
Nov;23;2018;0,072681;4.817.410;-
Nov;22;2018;0,071726;5.853.800;-
Nov;21;2018;0,080817;3.591.350;-
Nov;20;2018;0,073746;4.271.530;-
Nov;19;2018;0,085460;4.801.960;-
Nov;18;2018;0,110490;1.241.110;-
Nov;17;2018;0,109232;2.559.560;-
Nov;16;2018;0,112331;5.807.790;-
Nov;15;2018;0,118178;5.502.690;-
Nov;14;2018;0,121702;8.709.870;-
Nov;13;2018;0,141205;4.385.270;-
Nov;12;2018;0,152213;5.962.480;-
Nov;11;2018;0,154993;10.121.600;-
Nov;10;2018;0,145842;4.730.430;-
Nov;9;2018;0,148138;10.778.800;-
Nov;8;2018;0,137617;2.039.840;-
Nov;7;2018;0,141633;2.182.250;-
Nov;6;2018;0,141871;2.350.040;-
Nov;5;2018;0,142925;3.012.180;-
Nov;4;2018;0,145190;2.599.820;-
Nov;3;2018;0,149238;1.843.030;-
Nov;2;2018;0,152085;1.475.130;-
Nov;1;2018;0,149616;2.856.650;-
Oct;31;2018;0,146675;2.279.380;-
Oct;30;2018;0,148647;5.434.350;-
Oct;29;2018;0,151301;4.651.790;-
Oct;28;2018;0,158507;6.111.180;-
Oct;27;2018;0,156465;10.327.400;-
Oct;26;2018;0,158817;6.537.690;-
Oct;25;2018;0,173051;2.303.420;-
Oct;24;2018;0,180719;2.882.520;-
Oct;23;2018;0,178775;4.846.780;-
Oct;22;2018;0,183892;4.612.140;-
Oct;21;2018;0,176640;6.483.130;-
Oct;20;2018;0,179983;5.781.510;-
Oct;19;2018;0,161424;3.438.900;-
Oct;18;2018;0,164977;6.670.050;-
Oct;17;2018;0,155509;3.079.390;-
Oct;16;2018;0,151391;4.253.710;-
Oct;15;2018;0,145750;7.565.540;-
Oct;14;2018;0,144876;4.695.260;-
Oct;13;2018;0,137166;3.886.470;-
Oct;12;2018;0,133814;4.111.000;-
Oct;11;2018;0,135203;3.330.430;-
Oct;10;2018;0,170687;3.475.420;-
Oct;9;2018;0,171321;2.456.740;-
Oct;8;2018;0,172892;3.527.260;-
Oct;7;2018;0,165174;2.727.270;-
Oct;6;2018;0,169009;2.424.470;-
Oct;5;2018;0,173968;2.555.680;-
Oct;4;2018;0,174759;3.003.070;-
Oct;3;2018;0,176655;11.196.200;-
Oct;2;2018;0,191570;8.085.910;-
Oct;1;2018;0,185321;5.512.890;-
Sep;30;2018;0,188451;6.371.600;-
Sep;29;2018;0,186830;14.214.000;-
Sep;28;2018;0,192127;13.972.700;-
Sep;27;2018;0,197344;9.388.690;-
Sep;26;2018;0,193094;5.839.180;-
Sep;25;2018;0,202805;7.775.610;-
Sep;24;2018;0,214658;13.536.800;-
Sep;23;2018;0,219551;8.028.750;-
Sep;22;2018;0,218955;7.102.490;-
Sep;21;2018;0,231323;9.776.610;-
Sep;20;2018;0,212580;6.435.190;-
Sep;19;2018;0,201936;3.377.700;-
Sep;18;2018;0,200992;10.957.600;-
Sep;17;2018;0,201742;5.298.330;-
Sep;16;2018;0,218676;2.863.360;-
Sep;15;2018;0,220667;3.797.940;-
Sep;14;2018;0,209170;11.905.200;-
Sep;13;2018;0,209795;8.754.950;-
Sep;12;2018;0,202168;4.202.070;-
Sep;11;2018;0,208653;8.447.690;-
Sep;10;2018;0,220107;4.511.670;-
Sep;9;2018;0,200510;4.731.070;-
Sep;8;2018;0,213946;4.005.810;-
Sep;7;2018;0,253937;4.634.380;-
Sep;6;2018;0,265871;9.217.200;-
Sep;5;2018;0,265688;10.877.900;-
Sep;4;2018;0,354842;7.023.540;-
Sep;3;2018;0,348069;12.722.400;-
Sep;2;2018;0,377711;7.797.310;-
Sep;1;2018;0,384228;8.314.490;-
Aug;31;2018;0,375957;6.044.350;-
Aug;30;2018;0,368231;7.176.570;-
Aug;29;2018;0,388656;11.134.000;-
Aug;28;2018;0,395010;7.428.580;-
Aug;27;2018;0,372293;6.436.150;-
Aug;26;2018;0,359883;7.266.580;-
Aug;25;2018;0,377404;6.879.680;-
Aug;24;2018;0,367411;6.280.890;-
Aug;23;2018;0,365608;18.387.000;-
Aug;22;2018;0,340444;14.818.400;-
Aug;21;2018;0,362881;12.053.500;-
Aug;20;2018;0,350593;3.948.110;-
Aug;19;2018;0,428308;3.877.660;-
Aug;18;2018;0,407785;10.763.400;-
Aug;17;2018;0,496089;8.469.360;-
Aug;16;2018;0,323388;2.642.820;-
Aug;15;2018;0,316772;2.906.260;-
Aug;14;2018;0,334969;3.159.900;-
Aug;13;2018;0,340204;4.855.610;-
Aug;12;2018;0,395209;7.648.050;-
Aug;11;2018;0,363445;4.826.850;-
Aug;10;2018;0,408680;3.659.000;-
Aug;9;2018;0,455178;6.322.700;-
Aug;8;2018;0,438919;8.572.120;-
Aug;7;2018;0,559717;6.931.910;-
Aug;6;2018;0,616320;16.886.000;-
Aug;5;2018;0,625195;10.222.400;-
Aug;4;2018;0,609928;20.648.600;-
Aug;3;2018;0,720745;15.794.500;-
Aug;2;2018;0,748530;10.859.400;-
Aug;1;2018;0,806731;13.226.000;-
Jul;31;2018;0,859141;22.201.000;-
Jul;30;2018;1,01;40.336.600;-
Jul;29;2018;0,946706;8.873.310;-
Jul;28;2018;0,985431;35.593.200;-
Jul;27;2018;0,883668;13.256.100;-
Jul;26;2018;0,841482;10.579.600;-
Jul;25;2018;0,901953;24.910.500;-
Jul;24;2018;0,914003;41.655.400;-
Jul;23;2018;0,900112;32.784.000;-
Jul;22;2018;0,900018;43.528.000;-
Jul;21;2018;0,712699;25.107.500;-
Jul;20;2018;0,758730;22.863.300;-
Jul;19;2018;0,944224;37.734.300;-
Jul;18;2018;0,927360;65.882.400;-
Jul;17;2018;1,13;85.167.200;-
Jul;16;2018;1,26;42.443.600;-
Jul;15;2018;1,21;107.645.000;-
Jul;14;2018;1,03;13.415.400;-
Jul;13;2018;1,03;34.260.400;-
Jul;12;2018;0,997809;47.345.900;-
Jul;11;2018;1,13;95.055.696;-
Jul;10;2018;1,15;86.944.800;-
Jul;9;2018;1,39;137.468.992;-
Jul;8;2018;1,32;74.752.704;-
Jul;7;2018;1,25;61.922.300;-
Jul;6;2018;1,09;207.364.000;-
Jul;5;2018;1,40;245.227.008;-
Apr;18;2019;0,054758;2.950.006;79.454.834
Apr;17;2019;0,055368;2.397.539;80.332.174
Apr;16;2019;0,055719;3.231.547;80.833.649
Apr;15;2019;0,056906;3.877.780;82.546.967
Apr;14;2019;0,060725;2.251.555;88.079.150
Apr;13;2019;0,059347;2.381.659;86.070.929
Apr;12;2019;0,061177;4.081.511;88.714.234
