Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;25,69;40.966;72.219.665
Apr;10;2019;27,09;41.504;76.152.796
Apr;9;2019;26,53;39.946;74.592.063
Apr;8;2019;27,48;33.242;77.258.981
Apr;7;2019;25,97;3.070;73.006.614
Apr;6;2019;24,24;1.920;68.152.721
Apr;5;2019;25,48;43.508;71.631.269
Apr;4;2019;24,91;110.720;70.041.669
Apr;3;2019;22,07;79.406;61.813.197
Apr;2;2019;22,41;98.144;62.765.766
Apr;1;2019;19,22;84.617;53.810.411
Mar;31;2019;16,88;80.332;47.257.955
Mar;30;2019;16,92;80.019;47.368.589
Mar;29;2019;16,91;80.207;47.342.596
Mar;28;2019;16,68;78.647;46.711.302
Mar;27;2019;16,81;76.488;47.079.775
Mar;26;2019;16,19;79.807;45.325.949
Mar;25;2019;17,43;74.216;48.804.022
Mar;24;2019;17,68;86.302;49.495.150
Mar;23;2019;17,81;81.674;49.961.496
Mar;22;2019;17,63;81.958;49.461.886
Mar;21;2019;17,58;80.142;49.312.827
Mar;20;2019;18,18;76.926;51.013.361
Mar;19;2019;17,88;82.661;50.170.844
Mar;18;2019;18,11;81.235;50.810.695
Mar;17;2019;18,13;86.547;50.856.759
Mar;16;2019;18,21;83.878;51.095.757
Mar;15;2019;17,58;83.263;49.325.482
Mar;14;2019;17,42;58.771;48.864.305
Mar;13;2019;17,13;78.853;48.047.327
Mar;12;2019;17,09;77.340;47.928.270
Mar;11;2019;17,13;84.542;48.055.724
Mar;10;2019;15,31;72.465;42.956.170
Mar;9;2019;15,49;71.476;43.456.192
Mar;8;2019;15,15;71.227;42.499.080
Mar;7;2019;15,36;74.939;43.081.141
Mar;6;2019;14,68;613.827;41.171.544
Mar;5;2019;14,62;616.149;41.016.561
Mar;4;2019;13,79;659.333;38.680.174
Mar;3;2019;13,01;602.308;36.487.934
Mar;2;2019;13,15;552.678;36.886.069
Mar;1;2019;13,24;577.218;37.155.587
Feb;28;2019;13,21;592.444;37.047.451
Feb;27;2019;13,17;534.183;36.949.121
Feb;26;2019;11,70;478.724;32.814.416
Feb;25;2019;11,91;510.837;33.407.634
Feb;24;2019;10,47;437.975;29.381.908
Feb;23;2019;11,80;464.682;33.100.825
Feb;22;2019;11,19;455.524;31.387.788
Feb;21;2019;8,97;360.593;25.165.674
Feb;20;2019;9,15;347.565;25.666.392
Feb;19;2019;9,72;406.951;27.267.883
Feb;18;2019;8,26;330.608;23.182.267
Feb;17;2019;7,41;299.018;20.781.118
Feb;16;2019;7,04;298.189;19.753.200
Feb;15;2019;6,99;279.579;19.614.253
Feb;14;2019;6,96;297.714;19.519.798
Feb;13;2019;7,01;303.407;19.664.513
Feb;12;2019;7,03;263.836;19.732.397
Feb;11;2019;6,98;285.774;19.584.741
Feb;10;2019;6,41;279.855;17.993.722
Feb;9;2019;6,25;272.687;17.524.612
Feb;8;2019;6,24;136.840;17.514.097
Feb;7;2019;5,51;62.675;15.444.957
Feb;6;2019;5,03;53.234;14.107.641
Feb;5;2019;5,11;56.382;14.332.152
Feb;4;2019;5,14;67.001;14.419.144
Feb;3;2019;4,53;48.966;12.713.977
Feb;2;2019;4,69;33.085;13.160.945
Feb;1;2019;4,59;45.828;12.863.248
Jan;31;2019;4,54;49.442;12.728.766
Jan;30;2019;4,58;52.445;12.837.168
Jan;29;2019;4,52;55.219;12.678.335
Jan;28;2019;4,55;51.554;12.752.700
Jan;27;2019;4,82;49.916;13.510.380
Jan;26;2019;4,92;55.749;13.795.330
Jan;25;2019;4,90;54.230;13.748.740
Jan;24;2019;4,92;58.982;13.805.898
Jan;23;2019;4,67;33.296;13.093.224
Jan;22;2019;4,69;29.457;13.165.742
Jan;21;2019;4,58;2.107;12.847.978
Jan;20;2019;4,63;1.812;12.991.396
Jan;19;2019;4,74;1.242;13.289.297
Jan;18;2019;4,47;2.175;12.543.557
Jan;17;2019;4,85;1.731;13.604.386
Jan;16;2019;4,55;1.317;12.762.822
Jan;15;2019;4,44;1.409;12.457.185
Jan;14;2019;4,71;1.292;13.215.069
Jan;13;2019;4,28;1.236;11.896.724
Jan;12;2019;4,60;1.620;12.789.469
Jan;11;2019;4,51;1.380;12.559.182
Jan;10;2019;4,29;2.015;11.923.774
Jan;9;2019;5,01;944;13.929.046
Jan;8;2019;5,01;1.789;13.935.797
Jan;7;2019;5,00;6.450;13.895.233
Jan;6;2019;4,78;1.750;13.296.531
Jan;5;2019;4,74;1.613;13.177.520
Jan;4;2019;4,72;1.684;13.117.872
Jan;3;2019;4,58;1.528;12.736.264
Jan;2;2019;4,76;1.699;13.245.488
Jan;1;2019;4,25;1.416;11.819.269
Dec;31;2018;4,09;1.886;11.388.754
Dec;30;2018;4,24;1.153;11.787.273
Dec;29;2018;4,19;1.460;11.662.524
Dec;28;2018;3,61;-;10.040.612
Dec;27;2018;3,61;-;10.040.612
Dec;26;2018;4,03;1.877;11.217.518
Dec;25;2018;3,97;867;11.042.857
Dec;24;2018;4,29;728;11.934.846
Dec;23;2018;3,96;663;11.019.156
Dec;22;2018;3,55;1.542;9.874.968
Dec;21;2018;3,34;2.204;9.291.353
Dec;20;2018;3,54;2.988;9.858.864
Dec;19;2018;2,70;904;7.497.323
Dec;18;2018;2,63;1.342;6.526.633
Dec;17;2018;2,57;1.380;6.376.194
Dec;16;2018;2,26;1.210;5.608.536
Dec;15;2018;2,24;1.585;5.555.349
Dec;14;2018;2,15;2.606;5.339.104
Dec;13;2018;1,95;2.907;4.851.077
Dec;12;2018;0,182789;-;453.766
Dec;11;2018;0,182789;-;453.766
Dec;10;2018;0,183249;5;454.908
Dec;9;2018;0,518390;-;1.286.879
Dec;8;2018;0,518390;-;1.286.879
Dec;7;2018;0,518390;-;1.286.879
Dec;6;2018;0,518390;-;1.286.879
Dec;5;2018;0,518390;-;1.286.879
Dec;4;2018;0,518390;-;1.286.879
Dec;3;2018;0,504123;1.960;1.251.461
Dec;2;2018;0,580700;3.925;1.441.560
Dec;1;2018;2,68;964;6.646.151
Nov;30;2018;2,56;639;6.343.121
Nov;29;2018;2,68;1.012;6.641.410
Nov;28;2018;2,76;970;6.844.291
Nov;27;2018;2,48;1.022;6.144.091
Nov;26;2018;2,47;467;6.129.320
Nov;25;2018;2,64;951;6.563.327
Nov;24;2018;2,62;748;6.497.716
Nov;23;2018;2,90;1.250;7.193.919
Nov;22;2018;2,90;755;7.210.676
Nov;21;2018;3,09;902;7.658.659
Nov;20;2018;2,91;2.245;7.233.986
Nov;19;2018;2,75;1.035;6.828.403
Nov;18;2018;3,28;1.066;8.139.410
Nov;17;2018;3,25;1.251;8.065.930
Nov;16;2018;3,27;1.258;8.109.447
Nov;15;2018;3,37;1.447;8.355.036
Nov;14;2018;3,34;1.270;8.297.493
Nov;13;2018;3,81;1.562;9.452.205
Nov;12;2018;3,92;1.686;9.732.871
Nov;11;2018;3,92;1.491;9.742.900
Nov;10;2018;3,92;1.450;9.731.530
Nov;9;2018;3,89;1.535;9.649.535
Nov;8;2018;3,82;2.377;9.491.924
Nov;7;2018;3,90;1.892;9.684.835
Nov;6;2018;3,90;1.771;9.668.997
Nov;5;2018;3,77;1.625;9.363.383
Nov;4;2018;3,73;2.497;9.252.690
Nov;3;2018;3,63;400;9.022.294
Nov;2;2018;3,59;1.848;8.907.729
Nov;1;2018;3,61;1.807;8.973.737
Oct;31;2018;3,52;1.723;8.729.489
Oct;30;2018;3,57;1.783;8.854.456
Oct;29;2018;3,56;1.815;8.833.553
Oct;28;2018;3,69;-;9.155.726
Oct;27;2018;3,68;1.397;9.129.064
Oct;26;2018;3,67;6.763;9.101.037
Oct;25;2018;3,19;1.950;7.907.972
Oct;24;2018;3,19;2.299;7.925.125
Oct;23;2018;3,21;1.444;7.963.554
Oct;22;2018;3,20;1.505;7.943.148
Oct;21;2018;3,28;1.310;8.153.610
Oct;20;2018;3,25;1.775;8.063.845
Oct;19;2018;3,21;1.892;7.961.593
Oct;18;2018;3,23;1.839;8.011.242
Oct;17;2018;3,27;1.799;8.119.849
Oct;16;2018;3,37;2.000;8.355.409
Oct;15;2018;3,39;1.708;8.405.082
Oct;14;2018;3,08;1.645;7.652.726
Oct;13;2018;3,12;1.721;7.757.386
Oct;12;2018;3,08;2.182;7.633.636
Oct;11;2018;3,02;1.703;7.507.825
Oct;10;2018;3,53;1.201;8.766.800
Oct;9;2018;3,63;1.802;9.002.286
Oct;8;2018;3,58;2.010;8.882.929
Oct;7;2018;3,53;1.835;8.762.307
Oct;6;2018;3,51;1.930;8.717.524
Oct;5;2018;3,47;2.113;8.610.803
Oct;4;2018;3,41;2.391;8.473.126
Oct;3;2018;3,40;2.020;8.430.801
Oct;2;2018;3,52;2.605;8.743.614
Oct;1;2018;3,57;2.949;8.861.977
Sep;30;2018;3,59;2.674;8.914.481
Sep;29;2018;3,50;2.793;8.700.370
Sep;28;2018;3,45;2.405;8.570.662
Sep;27;2018;3,47;2.447;8.624.332
Sep;26;2018;3,50;2.504;8.691.954
Sep;25;2018;3,43;2.548;8.507.310
Sep;24;2018;3,58;2.645;8.898.097
Sep;23;2018;3,73;2.965;9.265.972
Sep;22;2018;3,69;2.678;9.170.472
Sep;21;2018;3,75;2.916;9.308.670
Sep;20;2018;3,37;2.695;8.373.828
Sep;19;2018;3,26;2.785;8.083.853
Sep;18;2018;3,16;3.255;7.854.500
Sep;17;2018;3,17;3.060;7.879.175
Sep;16;2018;3,42;1.744;8.486.978
Sep;15;2018;3,46;1.383;8.584.241
Sep;14;2018;3,24;1.331;8.055.404
Sep;13;2018;3,29;1.414;8.165.824
Sep;12;2018;2,93;1.468;7.280.681
Sep;11;2018;2,96;1.682;7.354.733
