Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,062021;27.381.326;204.876.354
Apr;10;2019;0,067383;19.674.375;222.105.013
Apr;9;2019;0,068867;24.224.628;226.507.849
Apr;8;2019;0,067433;22.594.536;221.310.946
Apr;7;2019;0,067948;43.198.774;222.510.770
Apr;6;2019;0,066921;55.385.970;218.666.781
Apr;5;2019;0,060139;17.890.237;196.079.410
Apr;4;2019;0,060452;26.672.283;196.671.920
Apr;3;2019;0,058837;53.001.870;190.988.878
Apr;2;2019;0,063569;45.610.183;205.895.685
Apr;1;2019;0,064099;33.939.276;207.159.633
Mar;31;2019;0,060668;21.218.748;195.634.583
Mar;30;2019;0,062324;27.864.933;200.528.511
Mar;29;2019;0,064377;34.943.523;206.677.879
Mar;28;2019;0,066527;82.195.693;213.101.289
Mar;27;2019;0,059034;35.758.540;188.678.569
Mar;26;2019;0,051966;46.967.041;165.714.876
Mar;25;2019;0,056064;73.075.864;178.381.405
Mar;24;2019;0,056817;127.916.875;180.371.350
Mar;23;2019;0,053853;58.706.708;170.577.911
Mar;22;2019;0,043870;46.740.117;138.637.709
Mar;21;2019;0,046866;95.897.466;147.771.014
Mar;20;2019;0,039723;41.010.387;124.959.547
Mar;19;2019;0,034404;34.229.366;107.981.490
Mar;18;2019;0,031354;15.067.371;98.186.976
Mar;17;2019;0,028538;5.821.526;89.160.637
Mar;16;2019;0,028302;8.011.898;88.220.923
Mar;15;2019;0,029179;14.744.352;90.746.143
Mar;14;2019;0,025502;7.976.377;79.129.479
Mar;13;2019;0,025632;21.116.950;79.349.822
Mar;12;2019;0,025484;12.289.998;78.707.259
Mar;11;2019;0,024778;16.558.247;76.347.841
Mar;10;2019;0,027427;24.679.571;84.317.074
Mar;9;2019;0,030034;26.312.077;92.118.833
Mar;8;2019;0,033325;68.202.973;101.973.692
Mar;7;2019;0,034730;59.823.974;106.027.441
Mar;6;2019;0,026361;25.744.035;80.285.104
Mar;5;2019;0,023370;25.200.649;71.007.504
Mar;4;2019;0,024238;76.163.205;73.469.947
Mar;3;2019;0,023709;32.568.065;71.695.046
Mar;2;2019;0,019413;36.664.456;58.566.748
Mar;1;2019;0,015754;14.160.717;47.413.821
Feb;28;2019;0,013282;17.628.822;39.877.165
Feb;27;2019;0,012849;14.540.840;38.486.859
Feb;26;2019;0,011729;6.459.726;35.046.589
Feb;25;2019;0,010695;2.444.822;31.880.041
Feb;24;2019;0,010354;2.690.246;30.790.569
Feb;23;2019;0,011416;3.113.393;33.867.292
Feb;22;2019;0,011877;5.872.781;35.150.474
Feb;21;2019;0,010710;2.416.433;31.617.871
Feb;20;2019;0,011260;1.675.500;33.160.926
Feb;19;2019;0,011003;2.502.679;32.326.955
Feb;18;2019;0,010941;1.936.619;32.064.538
Feb;17;2019;0,010548;1.778.191;30.839.074
Feb;16;2019;0,010288;1.473.654;30.004.661
Feb;15;2019;0,010529;1.640.861;30.632.965
Feb;14;2019;0,010443;1.245.546;30.308.451
Feb;13;2019;0,010464;1.403.110;30.293.203
Feb;12;2019;0,010714;2.900.832;30.940.750
Feb;11;2019;0,010753;3.047.214;30.976.609
Feb;10;2019;0,011280;2.745.999;32.414.635
Feb;9;2019;0,011593;4.971.821;33.231.731
Feb;8;2019;0,011006;2.682.088;31.467.955
Feb;7;2019;0,010251;3.633.361;29.236.183
Feb;6;2019;0,010251;3.295.598;29.162.557
Feb;5;2019;0,009998;2.389.627;28.373.660
Feb;4;2019;0,010207;3.106.804;28.893.815
Feb;3;2019;0,010698;1.202.529;30.206.480
Feb;2;2019;0,011050;1.081.377;31.121.556
Feb;1;2019;0,011032;1.531.531;30.991.508
Jan;31;2019;0,010923;3.286.185;30.608.194
Jan;30;2019;0,011955;1.726.899;33.415.238
Jan;29;2019;0,011544;1.602.223;32.183.626
Jan;28;2019;0,011767;2.791.105;32.720.998
Jan;27;2019;0,012353;2.108.046;34.260.786
Jan;26;2019;0,012907;1.911.389;35.705.979
Jan;25;2019;0,012953;3.254.171;35.739.298
Jan;24;2019;0,013300;3.054.967;36.603.721
Jan;23;2019;0,013483;11.422.799;37.011.628
Jan;22;2019;0,014259;11.874.502;39.037.873
Jan;21;2019;0,012373;1.436.338;33.785.979
Jan;20;2019;0,012197;2.187.262;33.218.437
Jan;19;2019;0,012813;1.723.002;34.803.409
Jan;18;2019;0,012653;3.156.691;34.280.847
Jan;17;2019;0,012885;3.016.271;34.816.899
Jan;16;2019;0,012506;1.924.059;33.703.723
Jan;15;2019;0,012020;1.872.288;32.307.752
Jan;14;2019;0,012695;2.367.532;34.029.190
Jan;13;2019;0,011832;3.716.168;31.631.090
Jan;12;2019;0,012671;1.584.330;33.785.329
Jan;11;2019;0,012656;1.396.210;33.654.288
Jan;10;2019;0,012651;3.060.671;33.550.460
Jan;9;2019;0,015104;2.836.628;39.947.917
Jan;8;2019;0,015207;2.843.606;40.110.751
Jan;7;2019;0,014825;2.673.679;38.997.329
Jan;6;2019;0,014517;3.201.935;38.082.577
Jan;5;2019;0,013942;2.984.715;36.474.211
Jan;4;2019;0,013268;968.357;34.616.180
Jan;3;2019;0,013219;1.177.551;34.395.303
Jan;2;2019;0,014041;2.050.072;36.432.531
Jan;1;2019;0,013566;951.795;35.104.146
Dec;31;2018;0,012825;1.081.308;33.093.960
Dec;30;2018;0,013597;1.488.052;34.988.985
Dec;29;2018;0,013842;1.898.798;35.519.551
