Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,132243;896.519;64.064.939
Apr;10;2019;0,153028;957.232;74.134.303
Apr;9;2019;0,148132;922.630;71.762.435
Apr;8;2019;0,152050;1.022.118;73.660.479
Apr;7;2019;0,152061;1.158.552;73.665.868
Apr;6;2019;0,149742;870.992;72.542.420
Apr;5;2019;0,152874;865.694;74.059.968
Apr;4;2019;0,156676;913.458;75.901.785
Apr;3;2019;0,166130;1.236.099;80.481.704
Apr;2;2019;0,135216;897.422;65.505.499
Apr;1;2019;0,126232;665.867;61.152.930
Mar;31;2019;0,126963;934.165;61.507.038
Mar;30;2019;0,130413;778.067;63.178.651
Mar;29;2019;0,129921;750.892;62.940.179
Mar;28;2019;0,128572;818.452;62.286.831
Mar;27;2019;0,131278;1.107.114;63.597.667
Mar;26;2019;0,132208;1.050.756;64.048.373
Mar;25;2019;0,131144;1.006.267;63.532.906
Mar;24;2019;0,139165;707.533;67.418.710
Mar;23;2019;0,140945;692.505;68.280.842
Mar;22;2019;0,141847;742.673;68.717.893
Mar;21;2019;0,140262;583.424;67.949.923
Mar;20;2019;0,148176;688.785;71.783.932
Mar;19;2019;0,148657;757.303;72.016.996
Mar;18;2019;0,148132;915.431;71.762.686
Mar;17;2019;0,137746;226.194;66.731.193
Mar;16;2019;0,141374;263.020;68.488.489
Mar;15;2019;0,134270;263.503;65.046.989
Mar;14;2019;0,137452;505.755;66.588.684
Mar;13;2019;0,149099;769.242;72.230.958
Mar;12;2019;0,166901;782.783;80.855.362
Mar;11;2019;0,163415;2.145.948;79.166.408
Mar;10;2019;0,110062;2.767.015;53.319.640
Mar;9;2019;0,114824;1.715.006;55.626.597
Mar;8;2019;0,115026;979.977;55.724.159
Mar;7;2019;0,113623;1.216.082;55.044.544
Mar;6;2019;0,114193;876.904;55.321.011
Mar;5;2019;0,113444;1.182.761;54.958.028
Mar;4;2019;0,116403;498.177;56.391.420
Mar;3;2019;0,136347;452.787;66.053.092
Mar;2;2019;0,116695;276.284;56.532.705
Mar;1;2019;0,117988;434.239;57.159.448
Feb;28;2019;0,116637;293.228;56.504.898
Feb;27;2019;0,124339;404.430;60.236.018
Feb;26;2019;0,128161;586.372;62.087.768
Feb;25;2019;0,124398;505.073;60.264.833
Feb;24;2019;0,122794;873.304;59.487.614
Feb;23;2019;0,140426;1.181.258;68.029.393
Feb;22;2019;0,138480;1.204.300;67.086.599
Feb;21;2019;0,141664;757.007;68.629.259
Feb;20;2019;0,138564;1.004.268;67.127.434
Feb;19;2019;0,148953;761.265;72.160.371
Feb;18;2019;0,145722;1.397.149;70.594.783
Feb;17;2019;0,143157;1.823.036;69.352.200
Feb;16;2019;0,145049;1.617.609;70.268.784
Feb;15;2019;0,142312;1.762.534;68.943.070
Feb;14;2019;0,151295;1.909.629;73.294.911
Feb;13;2019;0,154804;1.859.509;74.994.648
Feb;12;2019;0,143768;1.797.244;69.648.303
Feb;11;2019;0,144715;1.823.826;70.107.224
Feb;10;2019;0,158188;1.870.509;76.634.103
Feb;9;2019;0,159688;1.941.901;77.360.752
Feb;8;2019;0,157804;1.813.208;76.448.116
Feb;7;2019;0,140573;1.375.586;68.100.768
Feb;6;2019;0,143834;1.528.750;69.680.283
Feb;5;2019;0,149024;1.410.153;72.194.774
Feb;4;2019;0,142087;1.004.069;68.833.948
Feb;3;2019;0,160184;1.629.911;77.600.997
Feb;2;2019;0,161760;1.700.873;78.364.806
Feb;1;2019;0,163268;1.791.919;79.095.058
Jan;31;2019;0,172274;1.791.118;83.458.022
Jan;30;2019;0,172360;1.863.358;83.499.618
Jan;29;2019;0,192988;2.601.963;93.493.105
Jan;28;2019;0,218096;3.210.726;105.656.592
Jan;27;2019;0,202242;3.067.538;97.976.324
Jan;26;2019;0,224756;3.271.940;108.882.928
Jan;25;2019;0,228163;2.915.744;110.533.358
Jan;24;2019;0,222888;2.533.501;107.978.270
Jan;23;2019;0,224953;2.308.245;108.978.418
Jan;22;2019;0,221304;3.249.893;107.210.517
Jan;21;2019;0,221659;3.159.191;107.382.502
Jan;20;2019;0,221352;2.760.412;107.233.880
Jan;19;2019;0,214300;2.644.589;103.817.585
Jan;18;2019;0,190318;2.833.252;92.199.564
Jan;17;2019;0,203688;2.835.529;98.676.858
Jan;16;2019;0,210566;2.960.332;102.008.604
Jan;15;2019;0,216858;2.969.899;105.056.806
Jan;14;2019;0,221887;2.318.801;107.493.146
Jan;13;2019;0,184948;1.847.205;89.598.103
Jan;12;2019;0,186792;2.643.716;90.491.579
Jan;11;2019;0,202079;2.774.520;97.897.083
Jan;10;2019;0,193589;3.035.939;93.784.261
Jan;9;2019;0,237447;3.493.026;115.031.384
Jan;8;2019;0,258775;3.601.456;125.363.594
Jan;7;2019;0,259324;2.906.276;125.629.660
Jan;6;2019;0,275129;3.868.784;133.286.059
Jan;5;2019;0,257743;4.021.836;124.863.587
Jan;4;2019;0,248345;4.173.801;120.310.827
Jan;3;2019;0,268940;4.280.100;130.287.785
Jan;2;2019;0,246156;4.324.989;119.250.465
Jan;1;2019;0,256234;4.167.798;124.132.713
Dec;31;2018;0,215131;3.189.520;104.220.232
Dec;30;2018;0,182443;2.727.988;88.384.693
Dec;29;2018;0,189694;3.050.303;91.897.386
Dec;28;2018;0,195038;3.037.918;94.486.058
Dec;27;2018;0,193673;3.171.036;93.824.928
Dec;26;2018;0,197650;2.836.894;95.751.323
Dec;25;2018;0,196776;2.325.740;95.328.328
Dec;24;2018;0,204792;3.349.503;99.211.479
Dec;23;2018;0,193868;2.759.541;93.919.377
Dec;22;2018;0,197550;3.308.415;95.703.060
Dec;21;2018;0,196858;4.281.992;95.367.944
Dec;20;2018;0,209631;4.329.896;101.555.496
Dec;19;2018;0,200313;3.795.139;97.041.596
Dec;18;2018;0,196286;3.926.296;95.090.571
Dec;17;2018;0,179283;3.039.528;86.853.857
Dec;16;2018;0,137963;2.344.934;66.836.347
Dec;15;2018;0,107356;2.223.904;52.008.754
Dec;14;2018;0,114955;2.681.422;55.690.026
Dec;13;2018;0,103127;1.437.462;49.959.896
Dec;12;2018;0,108400;3.780.271;52.514.216
Dec;11;2018;0,128152;1.873.514;62.083.078
Dec;10;2018;0,122692;2.475.444;59.437.943
Dec;9;2018;0,138418;2.528.532;67.056.720
Dec;8;2018;0,135203;2.843.508;65.499.121
Dec;7;2018;0,134321;2.618.808;65.071.582
Dec;6;2018;0,124829;2.606.152;54.231.859
Dec;5;2018;0,138442;2.308.159;60.146.203
Dec;4;2018;0,142001;2.783.942;61.692.475
Dec;3;2018;0,145970;1.322.768;63.416.733
Dec;2;2018;0,149942;1.874.124;65.142.111
Dec;1;2018;0,152733;1.670.546;66.355.042
Nov;30;2018;0,144264;1.919.417;62.675.684
Nov;29;2018;0,154399;1.848.255;67.078.720
Nov;28;2018;0,153953;1.491.590;66.884.881
Nov;27;2018;0,146681;1.293.640;63.725.560
Nov;26;2018;0,147833;3.518.450;64.226.047
Nov;25;2018;0,173303;2.813.340;75.291.488
Nov;24;2018;0,159426;2.156.760;61.291.326
Nov;23;2018;0,161129;1.702.400;61.946.044
Nov;22;2018;0,149161;2.104.210;57.344.946
Nov;21;2018;0,157565;1.579.100;60.575.864
Nov;20;2018;0,148513;2.701.500;57.095.823
Nov;19;2018;0,169800;1.972.400;65.279.610
Nov;18;2018;0,190814;2.802.950;73.358.442
Nov;17;2018;0,173106;1.945.740;66.550.602
Nov;16;2018;0,168457;2.810.690;64.763.294
Nov;15;2018;0,169030;2.051.300;64.983.584
Nov;14;2018;0,169693;1.909.800;65.238.474
Nov;13;2018;0,191821;2.983.820;73.745.583
Nov;12;2018;0,204716;2.688.780;78.703.066
Nov;11;2018;0,207262;2.452.800;79.681.876
Nov;10;2018;0,229659;2.161.160;88.292.403
Nov;9;2018;0,205052;3.567.880;68.579.641
Nov;8;2018;0,209425;3.147.130;70.042.191
Nov;7;2018;0,189427;1.716.020;63.353.860
