Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,330984;1.641.951.210;13.832.528.016
Apr;10;2019;0,354792;1.213.341.089;14.827.516.669
Apr;09;2019;0,349462;1.076.688.924;14.604.743.889
Apr;08;2019;0,358234;1.513.421.926;14.971.342.083
Apr;07;2019;0,359856;1.398.086.395;15.021.731.305
Apr;06;2019;0,354405;1.440.643.534;14.794.185.026
Apr;05;2019;0,361803;2.359.353.481;15.103.004.666
Apr;04;2019;0,332513;1.599.115.419;13.880.340.561
Apr;03;2019;0,342234;2.544.122.431;14.286.134.859
Apr;02;2019;0,351499;2.400.198.268;14.672.900.148
Apr;01;2019;0,312747;836.123.225;13.043.585.711
Mar;31;2019;0,309229;652.757.652;12.896.872.922
Mar;30;2019;0,310632;929.122.633;12.955.391.175
Mar;29;2019;0,307929;854.583.316;12.842.645.325
Mar;28;2019;0,309246;677.929.379;12.897.607.540
Mar;27;2019;0,312465;781.951.318;13.031.827.698
Mar;26;2019;0,305060;761.000.017;12.722.986.423
Mar;25;2019;0,304055;750.245.385;12.681.109.120
Mar;24;2019;0,308992;649.754.894;12.874.448.652
Mar;23;2019;0,312359;611.853.725;13.014.768.156
Mar;22;2019;0,311541;687.711.343;12.980.675.768
Mar;21;2019;0,312718;824.129.023;13.029.696.678
Mar;20;2019;0,319610;794.566.633;13.316.885.397
Mar;19;2019;0,319281;672.954.616;13.228.510.122
Mar;18;2019;0,317440;692.176.696;13.152.224.850
Mar;17;2019;0,317612;530.234.054;13.159.356.178
Mar;16;2019;0,320468;759.396.360;13.277.693.053
Mar;15;2019;0,315052;636.037.517;13.053.269.086
Mar;14;2019;0,312955;706.966.032;12.966.405.951
Mar;13;2019;0,314098;827.163.024;13.013.743.791
Mar;12;2019;0,310201;581.106.367;12.852.289.140
Mar;11;2019;0,311065;671.951.311;12.888.076.063
Mar;10;2019;0,313107;620.043.949;12.972.692.491
Mar;09;2019;0,313826;763.946.051;13.002.493.406
Mar;08;2019;0,310087;680.461.375;12.847.588.532
Mar;07;2019;0,314766;716.447.226;13.041.438.381
Mar;06;2019;0,317031;750.399.371;13.135.275.499
Mar;05;2019;0,316507;786.832.982;13.113.543.971
Mar;04;2019;0,305133;647.905.632;12.642.316.836
Mar;03;2019;0,312554;548.503.372;12.949.767.221
Mar;02;2019;0,315126;604.560.086;13.056.329.959
Mar;01;2019;0,317312;752.723.591;13.146.898.194
Feb;28;2019;0,315078;734.041.245;13.033.383.006
Feb;27;2019;0,313106;716.326.029;12.951.843.120
Feb;26;2019;0,319477;881.257.178;13.215.356.893
Feb;25;2019;0,328510;1.060.838.440;13.589.015.145
Feb;24;2019;0,301443;1.117.884.486;12.469.397.085
Feb;23;2019;0,332620;638.747.256;13.759.017.838
Feb;22;2019;0,321904;570.898.964;13.315.770.282
Feb;21;2019;0,321291;634.536.385;13.272.215.549
Feb;20;2019;0,332880;777.173.685;13.750.925.866
Feb;19;2019;0,323768;1.135.384.190;13.374.527.524
Feb;18;2019;0,321568;887.187.377;13.251.207.948
Feb;17;2019;0,303370;427.237.164;12.501.307.770
Feb;16;2019;0,301703;379.011.431;12.432.602.528
Feb;15;2019;0,301759;426.310.729;12.434.893.660
Feb;14;2019;0,301909;418.928.960;12.441.105.391
Feb;13;2019;0,304284;494.653.115;12.538.960.413
Feb;12;2019;0,305190;472.806.810;12.576.315.747
Feb;11;2019;0,302741;474.495.062;12.475.397.374
Feb;10;2019;0,309909;495.640.831;12.758.715.490
Feb;09;2019;0,311284;461.638.795;12.815.309.888
Feb;08;2019;0,311683;683.014.535;12.831.745.667
Feb;07;2019;0,291618;368.034.283;12.005.682.182
Feb;06;2019;0,290727;456.205.130;11.969.011.802
Feb;05;2019;0,299239;424.722.760;12.319.438.868
Feb;04;2019;0,300198;418.384.497;12.358.907.415
Feb;03;2019;0,302352;438.357.004;12.445.862.137
Feb;02;2019;0,310912;429.425.320;12.798.226.062
Feb;01;2019;0,308517;564.486.615;12.699.646.520
Jan;31;2019;0,310036;780.304.474;12.762.148.539
Jan;30;2019;0,320461;753.787.392;13.191.291.588
Jan;29;2019;0,289558;454.631.055;11.919.217.295
Jan;28;2019;0,294863;584.796.818;12.137.576.987
Jan;27;2019;0,309439;362.599.965;12.737.591.539
Jan;26;2019;0,314235;346.413.648;12.935.008.078
Jan;25;2019;0,317165;360.076.505;13.016.563.843
Jan;24;2019;0,317598;344.960.253;13.034.332.606
Jan;23;2019;0,316492;375.671.478;12.988.961.767
Jan;22;2019;0,319491;434.125.854;13.112.032.408
Jan;21;2019;0,320790;363.940.431;13.165.341.827
Jan;20;2019;0,321177;407.205.881;13.181.215.054
Jan;19;2019;0,331001;420.070.097;13.584.427.087
Jan;18;2019;0,324277;376.280.714;13.308.451.031
Jan;17;2019;0,329353;433.446.502;13.516.769.990
Jan;16;2019;0,329701;438.731.638;13.531.060.365
Jan;15;2019;0,327179;429.283.720;13.427.555.274
Jan;14;2019;0,333766;545.540.174;13.697.899.741
Jan;13;2019;0,317863;452.358.902;13.045.216.854
Jan;12;2019;0,328800;376.386.863;13.494.075.804
Jan;11;2019;0,332904;501.054.509;13.662.512.032
Jan;10;2019;0,332652;839.535.352;13.652.158.155
Jan;09;2019;0,370890;455.908.708;15.130.140.419
Jan;08;2019;0,365315;499.493.490;14.902.699.115
Jan;07;2019;0,364347;499.028.522;14.863.201.414
Jan;06;2019;0,368395;492.558.794;15.028.369.642
Jan;05;2019;0,355275;452.090.239;14.493.133.457
Jan;04;2019;0,356747;450.633.876;14.553.198.221
Jan;03;2019;0,360224;438.873.803;14.695.011.676
Jan;02;2019;0,375243;543.216.669;15.307.691.624
Jan;01;2019;0,364771;449.347.622;14.880.496.658
Dec;31;2018;0,352706;501.793.515;14.388.351.241
Dec;30;2018;0,369581;486.955.034;15.076.740.856
Dec;29;2018;0,367252;617.892.297;14.981.716.068
Dec;28;2018;0,376852;765.420.103;15.373.342.678
Dec;27;2018;0,341162;575.821.047;13.917.404.309
Dec;26;2018;0,378693;690.588.635;15.448.432.552
Dec;25;2018;0,380872;955.306.080;15.537.325.695
Dec;24;2018;0,406799;1.688.430.313;16.594.994.618
Dec;23;2018;0,371270;634.162.707;15.145.652.799
Dec;22;2018;0,362308;487.175.830;14.780.047.340
Dec;21;2018;0,358570;724.747.471;14.627.554.926
Dec;20;2018;0,378199;1.006.287.680;15.416.266.366
Dec;19;2018;0,351956;1.041.279.272;14.346.541.679
Dec;18;2018;0,350162;753.758.217;14.273.429.559
Dec;17;2018;0,328453;639.336.585;13.388.520.904
Dec;16;2018;0,287929;316.135.928;11.784.050.729
Dec;15;2018;0,285883;277.696.890;11.700.328.892
Dec;14;2018;0,288790;320.266.797;11.819.314.866
Dec;13;2018;0,300026;303.413.883;12.279.148.093
Dec;12;2018;0,307323;370.325.300;12.577.803.841
Dec;11;2018;0,301345;394.872.461;12.333.147.092
Dec;10;2018;0,303766;386.627.711;12.432.208.489
Dec;09;2018;0,313370;430.122.747;12.825.284.624
Dec;08;2018;0,307269;463.529.471;12.575.595.451
Dec;07;2018;0,301997;667.331.347;12.359.838.916
Dec;06;2018;0,310936;517.551.018;12.539.238.458
Dec;05;2018;0,338242;400.526.135;13.640.400.736
Dec;04;2018;0,352231;445.334.425;14.204.552.399
Dec;03;2018;0,348754;392.651.603;14.064.337.569
Dec;02;2018;0,367627;335.732.170;14.825.428.858
Dec;01;2018;0,372906;397.266.566;15.038.289.184
Nov;30;2018;0,362455;512.041.152;14.616.841.112
Nov;29;2018;0,379562;629.900.577;15.306.739.230
Nov;28;2018;0,390557;774.818.000;15.750.125.594
Nov;27;2018;0,360163;600.169.000;14.524.416.370
Nov;26;2018;0,355451;1.032.000.000;14.334.393.936
Nov;25;2018;0,374551;1.296.590.000;15.104.646.163
Nov;24;2018;0,375336;626.279.000;15.136.303.126
Nov;23;2018;0,407428;774.083.000;16.430.488.176
Nov;22;2018;0,426080;480.044.000;17.182.673.753
Nov;21;2018;0,447651;858.303.000;18.052.574.841
Nov;20;2018;0,434726;1.538.310.000;17.531.343.950
Nov;19;2018;0,478166;1.297.340.000;19.283.163.673
Nov;18;2018;0,510473;884.280.000;20.557.640.500
Nov;17;2018;0,491654;607.453.000;19.799.766.457
Nov;16;2018;0,471609;593.572.000;18.992.519.249
Nov;15;2018;0,481708;965.997.000;19.399.223.642
Nov;14;2018;0,474372;980.604.000;19.103.790.092
Nov;13;2018;0,510112;521.675.000;20.509.312.471
Nov;12;2018;0,517165;605.042.000;20.792.881.924
Nov;11;2018;0,505913;292.675.000;20.340.489.540
Nov;10;2018;0,506698;328.038.000;20.372.050.864
Nov;09;2018;0,500668;509.865.000;20.129.611.646
Nov;08;2018;0,493508;686.221.000;19.841.740.204
Nov;07;2018;0,535707;631.230.000;21.538.372.467
Nov;06;2018;0,549080;1.333.160.000;21.639.288.294
Nov;05;2018;0,497412;556.519.000;19.998.705.113
Nov;04;2018;0,462691;429.629.000;18.602.729.463
Nov;03;2018;0,455667;275.311.000;18.320.325.933
Nov;02;2018;0,458685;401.300.000;18.441.666.174
Nov;01;2018;0,455722;346.501.000;18.322.537.236
Oct;31;2018;0,448382;367.008.000;18.027.428.764
Oct;30;2018;0,444759;245.858.000;17.881.764.186
Oct;29;2018;0,441514;341.648.000;17.751.297.294
Oct;28;2018;0,462406;280.005.000;18.591.270.891
Oct;27;2018;0,456348;211.006.000;18.347.705.888
Oct;26;2018;0,459288;235.514.000;18.465.910.099
Oct;25;2018;0,458052;273.380.000;18.416.216.084
Oct;24;2018;0,457237;295.115.000;18.288.398.359
Oct;23;2018;0,462058;445.238.000;18.481.226.954
Oct;22;2018;0,453109;249.302.000;18.123.288.124
Oct;21;2018;0,456694;262.867.000;18.266.679.643
Oct;20;2018;0,459151;277.061.000;18.364.953.831
Oct;19;2018;0,454178;303.401.000;18.166.045.595
Oct;18;2018;0,457725;476.876.000;18.307.917.204
Oct;17;2018;0,468197;526.538.000;18.726.772.432
Oct;16;2018;0,470253;605.102.000;18.809.007.568
Oct;15;2018;0,447316;1.041.470.000;17.891.581.828
Oct;14;2018;0,403286;289.195.000;16.130.485.985
Oct;13;2018;0,418878;373.875.000;16.754.129.101
Oct;12;2018;0,419115;820.154.000;16.763.608.540
Oct;11;2018;0,383130;791.202.000;15.324.293.667
Oct;10;2018;0,462387;412.207.000;18.494.386.176
Oct;09;2018;0,479857;416.867.000;19.163.286.273
Oct;08;2018;0,489751;540.832.000;19.558.407.224
Oct;07;2018;0,482039;548.645.000;19.250.425.338
Oct;06;2018;0,488082;672.167.000;19.491.755.024
Oct;05;2018;0,519026;589.636.000;20.727.516.366
Oct;04;2018;0,526606;621.615.000;21.030.226.778
Oct;03;2018;0,528162;789.229.000;21.092.366.276
Oct;02;2018;0,520837;743.705.000;20.799.839.394
Oct;01;2018;0,576461;1.412.800.000;23.021.206.668
Sep;30;2018;0,581572;1.329.720.000;23.187.803.288
Sep;29;2018;0,571228;1.034.370.000;22.775.378.623
Sep;28;2018;0,539112;718.255.000;21.494.884.565
Sep;27;2018;0,541381;824.083.000;21.585.351.654
Sep;26;2018;0,516308;1.821.610.000;20.585.668.395
Sep;25;2018;0,526941;1.639.680.000;21.009.615.753
Sep;24;2018;0,494712;1.034.380.000;19.724.616.282
Sep;23;2018;0,570689;1.043.970.000;22.718.597.839
Sep;22;2018;0,570798;2.411.430.000;22.722.937.028
Sep;21;2018;0,561462;4.101.490.000;22.351.279.558
Sep;20;2018;0,449918;1.291.360.000;17.910.816.754
Sep;19;2018;0,326053;489.609.000;12.979.866.409
Sep;18;2018;0,321860;600.216.000;12.812.946.983
Sep;17;2018;0,272251;246.489.000;10.838.058.873
Sep;16;2018;0,281166;197.009.000;11.192.956.724
Sep;15;2018;0,282008;205.361.000;11.226.475.960
Sep;14;2018;0,277159;269.029.000;11.033.441.784
Sep;13;2018;0,280583;311.799.000;11.142.751.261
Sep;12;2018;0,270087;298.449.000;10.725.925.163
Sep;11;2018;0,263710;200.330.000;10.472.676.303
Sep;10;2018;0,270321;204.958.000;10.735.217.970
Sep;09;2018;0,278680;168.991.000;11.049.704.672
Sep;08;2018;0,279333;169.208.000;11.075.596.222
Sep;07;2018;0,291435;213.961.000;11.555.442.375
Sep;06;2018;0,302710;329.763.000;12.002.497.851
Sep;05;2018;0,283601;344.488.000;11.244.823.075
Sep;04;2018;0,331652;241.419.000;13.150.052.583
Sep;03;2018;0,335961;201.147.000;13.320.905.093
Sep;02;2018;0,342523;240.907.000;13.581.089.398
Sep;01;2018;0,347721;257.267.000;13.787.190.893
Aug;31;2018;0,335332;219.139.000;13.295.965.146
Aug;30;2018;0,335444;263.925.000;13.300.405.964
Aug;29;2018;0,344803;275.908.000;13.671.491.747
Aug;28;2018;0,351837;329.550.000;13.939.151.831
Aug;27;2018;0,336903;227.284.000;13.347.493.496
Aug;26;2018;0,323776;168.718.000;12.797.087.412
Aug;25;2018;0,328230;167.363.000;12.973.129.575
Aug;24;2018;0,327606;244.571.000;12.948.466.281
Aug;23;2018;0,327709;217.578.000;12.952.537.306
Aug;22;2018;0,319803;286.845.000;12.640.056.538
Aug;21;2018;0,335177;248.735.000;13.196.722.736
Aug;20;2018;0,319283;311.144.000;12.570.937.819
Aug;19;2018;0,343978;327.300.000;13.543.239.224
Aug;18;2018;0,327100;434.332.000;12.878.711.866
Aug;17;2018;0,366676;497.206.000;14.436.913.947
Aug;16;2018;0,292436;238.219.000;11.513.907.011
Aug;15;2018;0,282005;332.432.000;11.103.213.512
Aug;14;2018;0,274272;276.768.000;10.798.746.747
Aug;13;2018;0,277466;235.117.000;10.924.502.191
Aug;12;2018;0,297870;178.827.000;11.706.253.644
Aug;11;2018;0,301262;284.423.000;11.839.558.819
Aug;10;2018;0,320426;249.264.000;12.592.701.615
Aug;09;2018;0,346771;325.775.000;13.628.056.811
Aug;08;2018;0,331944;360.857.000;13.045.357.571
Aug;07;2018;0,381006;244.448.000;14.973.488.018
Aug;06;2018;0,414081;242.075.000;16.273.331.370
Aug;05;2018;0,433638;186.848.000;17.041.919.018
Aug;04;2018;0,428507;185.678.000;16.840.271.361
Aug;03;2018;0,440571;278.870.000;17.314.385.048
Aug;02;2018;0,430254;204.898.000;16.915.730.078
Aug;01;2018;0,445852;323.200.000;17.528.976.109
Jul;31;2018;0,435225;228.767.000;17.111.168.341
Jul;30;2018;0,446107;247.714.000;17.539.001.608
Jul;29;2018;0,453306;191.966.000;17.822.035.214
Jul;28;2018;0,453667;157.346.000;17.836.228.176
Jul;27;2018;0,453635;203.720.992;17.834.970.074
Jul;26;2018;0,449920;199.587.008;17.688.912.310
Jul;25;2018;0,459829;255.872.000;18.078.491.417
Jul;24;2018;0,457623;319.956.000;17.991.761.019
Jul;23;2018;0,445276;194.542.000;17.506.330.276
Jul;22;2018;0,449311;158.906.000;17.664.969.058
Jul;21;2018;0,455410;180.339.008;17.904.755.412
Jul;20;2018;0,446994;295.403.008;17.573.874.620
Jul;19;2018;0,476433;293.942.016;18.731.289.026
Jul;18;2018;0,486389;367.988.992;19.096.821.224
Jul;17;2018;0,505587;347.700.000;19.850.581.637
Jul;16;2018;0,483401;269.283.008;18.979.505.039
Jul;15;2018;0,445894;152.903.008;17.506.888.525
Jul;14;2018;0,439271;134.840.992;17.246.853.353
Jul;13;2018;0,438741;179.403.008;17.226.044.258
Jul;12;2018;0,435364;182.139.008;17.093.454.982
Jul;11;2018;0,450233;183.887.008;17.677.248.272
Jul;10;2018;0,445042;230.418.000;17.473.436.922
Jul;09;2018;0,474270;206.344.992;18.620.999.656
Jul;08;2018;0,477749;226.644.000;18.757.593.701
Jul;07;2018;0,492477;214.979.008;19.335.850.987
Jul;06;2018;0,479151;245.003.008;18.812.639.649
Jul;05;2018;0,481625;279.999.008;18.909.774.937
Jul;04;2018;0,490043;313.828.992;19.240.115.961
Jul;03;2018;0,485223;410.225.984;19.050.872.652
Jul;02;2018;0,486122;335.919.008;19.086.169.278
Jul;01;2018;0,461358;267.224.992;18.113.882.700
Jun;30;2018;0,466245;345.528.992;18.305.756.569
Jun;29;2018;0,453080;309.777.984;17.788.871.058
Jun;28;2018;0,448458;220.566.000;17.607.401.644
Jun;27;2018;0,470370;215.618.000;18.467.712.721
Jun;26;2018;0,456001;179.426.000;17.903.549.770
Jun;25;2018;0,481753;231.728.992;18.914.626.969
Jun;24;2018;0,477380;369.520.000;18.734.923.547
Jun;23;2018;0,491284;204.927.008;19.280.590.263
Jun;22;2018;0,486947;339.428.992;19.110.383.377
Jun;21;2018;0,534775;194.312.000;20.987.407.809
Jun;20;2018;0,539286;256.920.000;21.164.443.378
Jun;19;2018;0,549621;255.400.000;21.570.043.602
Jun;18;2018;0,537495;276.527.008;21.094.155.037
Jun;17;2018;0,528216;166.028.000;20.729.997.855
Jun;16;2018;0,534784;202.682.000;20.987.761.016
Jun;15;2018;0,537707;241.684.992;21.102.475.042
Jun;14;2018;0,561306;379.824.992;22.028.624.987
Jun;13;2018;0,534663;359.864.992;20.982.481.909
Jun;12;2018;0,562933;309.544.000;22.091.918.627
Jun;11;2018;0,604066;336.547.008;23.706.154.937
Jun;10;2018;0,588126;492.555.008;23.080.600.594
Jun;09;2018;0,659755;175.990.000;25.891.631.461
Jun;08;2018;0,674343;221.887.008;26.464.127.494
Jun;07;2018;0,678128;244.568.000;26.612.667.217
Jun;06;2018;0,674797;273.966.016;26.480.063.918
Jun;05;2018;0,677015;386.328.000;26.567.101.622
Jun;04;2018;0,661425;558.131.008;25.955.326.234
Jun;03;2018;0,671205;327.804.000;26.339.108.357
Jun;02;2018;0,643451;315.206.016;25.249.999.048
Jun;01;2018;0,623364;263.088.000;24.461.754.519
May;31;2018;0,612622;283.328.000;24.008.636.723
May;30;2018;0,605817;320.604.992;23.741.948.989
May;29;2018;0,601241;380.744.000;23.562.615.694
May;28;2018;0,552299;327.903.008;21.644.580.268
May;27;2018;0,607881;186.963.008;23.822.837.083
May;26;2018;0,612708;213.242.000;24.012.007.060
May;25;2018;0,611001;289.816.000;23.945.109.784
May;24;2018;0,631997;440.532.992;24.767.942.357
May;23;2018;0,599594;482.480.992;23.498.069.816
May;22;2018;0,645567;234.712.992;25.299.750.226
May;21;2018;0,681587;250.480.992;26.711.372.882
May;20;2018;0,700244;275.614.016;27.442.540.120
May;19;2018;0,676713;249.039.008;26.520.360.977
May;18;2018;0,680294;344.944.000;26.660.700.253
May;17;2018;0,667310;337.999.008;26.151.857.706
May;16;2018;0,714081;429.641.984;27.984.811.710
May;15;2018;0,698588;422.980.000;27.377.641.532
May;14;2018;0,740898;613.462.016;29.035.769.088
May;13;2018;0,745748;532.488.000;29.225.840.434
May;12;2018;0,696735;596.684.992;27.305.022.521
May;11;2018;0,684948;991.409.024;26.843.090.365
May;10;2018;0,758237;399.324.000;29.706.405.924
May;09;2018;0,802043;611.574.976;31.422.648.759
May;08;2018;0,813970;465.040.992;31.889.927.859
May;07;2018;0,832641;602.534.976;32.621.425.142
