Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,003118;4.343.538;125.441.667
Apr;10;2019;0,003450;2.669.102;138.743.214
Apr;9;2019;0,003463;2.332.025;139.252.383
Apr;8;2019;0,003586;4.963.164;144.138.454
Apr;7;2019;0,003681;7.873.844;147.914.391
Apr;6;2019;0,003456;3.067.355;138.796.022
Apr;5;2019;0,003431;2.171.819;137.750.114
Apr;4;2019;0,003266;2.751.265;131.104.332
Apr;3;2019;0,003297;4.719.960;132.288.297
Apr;2;2019;0,003210;6.094.827;128.734.365
Apr;1;2019;0,002916;4.190.259;116.921.882
Mar;31;2019;0,002739;1.942.823;109.796.135
Mar;30;2019;0,002729;1.522.401;109.346.241
Mar;29;2019;0,002713;2.380.368;108.679.721
Mar;28;2019;0,002732;2.417.618;109.380.165
Mar;27;2019;0,002722;2.807.484;108.929.594
Mar;26;2019;0,002579;2.028.576;103.194.295
Mar;25;2019;0,002610;1.939.440;104.374.331
Mar;24;2019;0,002738;2.557.940;109.464.893
Mar;23;2019;0,002704;1.877.864;108.048.607
Mar;22;2019;0,002663;2.018.311;106.393.835
Mar;21;2019;0,002695;2.578.945;107.623.510
Mar;20;2019;0,002783;3.216.783;111.112.265
Mar;19;2019;0,002784;4.608.934;111.104.141
Mar;18;2019;0,002710;1.831.127;108.111.251
Mar;17;2019;0,002712;804.930;108.145.500
Mar;16;2019;0,002755;1.919.577;109.806.059
Mar;15;2019;0,002837;2.746.992;113.046.077
Mar;14;2019;0,002735;2.109.932;108.959.693
Mar;13;2019;0,002673;3.109.633;106.415.546
Mar;12;2019;0,002684;7.016.457;106.825.326
Mar;11;2019;0,002571;5.157.048;102.284.117
Mar;10;2019;0,002465;1.375.465;98.047.629
Mar;9;2019;0,002468;1.206.761;98.113.745
Mar;8;2019;0,002376;917.017;94.438.751
Mar;7;2019;0,002405;954.333;95.541.666
Mar;6;2019;0,002428;917.276;96.415.892
Mar;5;2019;0,002434;1.207.508;96.616.893
Mar;4;2019;0,002358;957.345;93.600.286
Mar;3;2019;0,002440;837.200;96.788.825
Mar;2;2019;0,002434;656.943;96.517.250
Mar;1;2019;0,002421;711.449;95.987.765
Feb;28;2019;0,002392;759.383;94.807.230
Feb;27;2019;0,002411;669.044;95.519.281
Feb;26;2019;0,002425;1.158.602;96.039.222
Feb;25;2019;0,002466;1.307.956;97.602.062
Feb;24;2019;0,002362;2.582.726;93.457.296
Feb;23;2019;0,002616;1.771.902;103.462.515
Feb;22;2019;0,002579;3.341.138;101.953.121
Feb;21;2019;0,002633;5.399.252;104.048.782
Feb;20;2019;0,002557;2.261.725;101.002.388
Feb;19;2019;0,002450;1.820.929;96.742.802
Feb;18;2019;0,002433;1.774.179;96.063.067
Feb;17;2019;0,002356;3.037.643;92.965.590
Feb;16;2019;0,002272;1.249.625;89.623.767
Feb;15;2019;0,002271;597.331;89.534.591
Feb;14;2019;0,002253;657.143;88.786.025
Feb;13;2019;0,002294;719.444;90.395.844
Feb;12;2019;0,002285;979.312;89.977.399
Feb;11;2019;0,002276;921.561;89.610.210
Feb;10;2019;0,002322;1.067.414;91.370.426
Feb;9;2019;0,002334;1.125.756;91.800.649
Feb;8;2019;0,002324;1.956.188;91.372.110
Feb;7;2019;0,002249;2.916.240;88.393.236
Feb;6;2019;0,002263;4.623.151;88.926.432
