Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,024864;24.890.648;86.291.038
Apr;10;2019;0,028020;16.679.608;97.244.625
Apr;09;2019;0,027659;17.171.423;95.989.929
Apr;08;2019;0,028697;20.292.988;99.592.369
Apr;07;2019;0,029137;23.828.663;101.117.968
Apr;06;2019;0,028861;14.512.979;100.160.180
Apr;05;2019;0,029253;12.301.651;101.521.889
Apr;04;2019;0,027869;14.100.371;96.718.287
Apr;03;2019;0,028573;29.331.332;99.161.762
Apr;02;2019;0,027301;14.327.682;94.746.985
Apr;01;2019;0,025400;14.390.252;88.148.590
Mar;31;2019;0,025125;21.225.274;87.195.588
Mar;30;2019;0,025189;17.322.020;87.418.238
Mar;29;2019;0,024686;20.575.897;85.672.940
Mar;28;2019;0,023922;14.333.282;83.019.272
Mar;27;2019;0,023017;11.867.422;79.879.019
Mar;26;2019;0,022468;11.592.640;77.974.984
Mar;25;2019;0,022183;7.916.002;76.986.784
Mar;24;2019;0,023079;6.523.275;80.096.364
Mar;23;2019;0,023320;7.497.400;80.931.344
Mar;22;2019;0,022492;12.037.261;78.057.322
Mar;21;2019;0,022087;4.883.128;76.651.301
Mar;20;2019;0,023091;7.470.252;80.135.816
Mar;19;2019;0,022594;2.522.649;78.410.833
Mar;18;2019;0,022484;4.302.787;78.029.311
Mar;17;2019;0,022658;7.507.211;78.634.328
Mar;16;2019;0,023057;12.707.498;80.017.725
Mar;15;2019;0,023318;6.275.939;80.925.843
Mar;14;2019;0,022551;10.401.060;78.264.334
Mar;13;2019;0,022372;7.676.593;77.642.755
Mar;12;2019;0,022892;8.265.493;79.445.449
Mar;11;2019;0,021740;12.637.201;75.448.280
Mar;10;2019;0,021361;4.138.242;74.133.379
Mar;09;2019;0,021475;5.440.599;74.528.622
Mar;08;2019;0,019920;3.510.657;69.130.827
Mar;07;2019;0,020245;2.988.786;70.258.902
Mar;06;2019;0,020010;2.609.412;69.446.115
Mar;05;2019;0,020230;10.325.407;70.209.571
Mar;04;2019;0,018722;102.018.022;64.972.923
Mar;03;2019;0,020191;15.218.678;70.072.497
Mar;02;2019;0,019996;4.524.018;69.396.952
Mar;01;2019;0,020292;6.598.738;70.423.277
Feb;28;2019;0,020227;10.350.256;70.199.104
Feb;27;2019;0,020324;6.989.936;70.535.778
Feb;26;2019;0,020566;13.066.553;71.372.596
Feb;25;2019;0,020483;14.388.639;71.085.991
Feb;24;2019;0,019766;16.906.303;68.597.386
Feb;23;2019;0,022605;17.274.646;78.448.762
Feb;22;2019;0,022264;27.235.973;77.268.011
Feb;21;2019;0,022361;10.940.531;77.602.423
Feb;20;2019;0,020938;13.906.044;72.666.055
Feb;19;2019;0,020732;10.963.129;71.948.781
Feb;18;2019;0,020675;13.405.616;71.753.427
Feb;17;2019;0,019629;15.520.681;68.123.108
Feb;16;2019;0,019161;28.044.860;66.497.021
Feb;15;2019;0,019150;22.266.539;66.460.982
Feb;14;2019;0,019001;14.702.064;65.943.164
Feb;13;2019;0,018559;13.243.987;64.409.974
Feb;12;2019;0,018576;15.681.097;64.466.421
Feb;11;2019;0,018554;7.241.962;64.390.576
Feb;10;2019;0,018930;11.965.429;65.695.717
Feb;09;2019;0,018988;20.393.475;65.899.252
Feb;08;2019;0,019309;6.817.924;67.011.188
Feb;07;2019;0,017998;21.534.327;62.462.621
Feb;06;2019;0,017566;10.610.119;60.961.952
Feb;05;2019;0,018035;12.655.893;62.589.456
Feb;04;2019;0,018564;10.596.667;64.426.219
Feb;03;2019;0,018508;12.734.501;64.231.078
Feb;02;2019;0,019343;18.179.368;67.128.888
Feb;01;2019;0,018432;17.400.367;63.967.890
Jan;31;2019;0,018441;5.725.506;63.999.725
Jan;30;2019;0,019366;19.122.119;67.210.395
Jan;29;2019;0,019110;8.847.400;66.319.308
Jan;28;2019;0,019008;13.576.761;65.966.542
Jan;27;2019;0,020340;12.963.394;70.590.799
Jan;26;2019;0,021599;14.698.333;74.959.789
Jan;25;2019;0,020943;12.537.195;72.684.032
Jan;24;2019;0,021815;6.587.168;75.709.350
Jan;23;2019;0,021946;9.960.793;76.162.874
Jan;22;2019;0,022472;21.461.141;77.987.586
Jan;21;2019;0,023211;11.424.666;80.554.752
Jan;20;2019;0,023279;17.278.733;80.788.021
Jan;19;2019;0,024801;25.559.530;86.069.942
Jan;18;2019;0,023167;26.636.468;80.400.793
Jan;17;2019;0,025070;34.830.505;87.005.674
Jan;16;2019;0,022761;25.785.509;78.990.032
Jan;15;2019;0,018618;24.358.705;64.614.687
Jan;14;2019;0,019208;19.925.637;66.659.856
Jan;13;2019;0,017918;13.680.258;62.184.054
Jan;12;2019;0,019974;13.310.230;69.317.906
Jan;11;2019;0,020692;24.878.884;71.812.538
Jan;10;2019;0,021387;32.135.792;74.222.091
Jan;09;2019;0,020637;9.843.769;71.620.661
Jan;08;2019;0,019402;19.151.174;67.333.259
Jan;07;2019;0,019214;7.785.724;66.680.315
Jan;06;2019;0,019718;17.034.229;68.429.820
Jan;05;2019;0,019082;14.350.376;66.222.857
Jan;04;2019;0,018075;29.087.786;62.730.262
Jan;03;2019;0,017457;32.840.402;60.582.620
Jan;02;2019;0,018733;2.005.262;65.011.758
Jan;01;2019;0,018204;1.478.173;63.176.625
Dec;31;2018;0,017244;32.706.924;59.845.731
Dec;30;2018;0,018071;38.949.832;62.714.039
Dec;29;2018;0,017711;21.362.507;61.466.334
Dec;28;2018;0,018532;3.211.020;64.316.237
Dec;27;2018;0,016803;1.268.803;58.316.252
Dec;26;2018;0,018117;2.030.248;62.876.456
Dec;25;2018;0,018170;2.648.948;63.059.693
Dec;24;2018;0,019896;5.861.826;69.047.662
Dec;23;2018;0,020038;11.383.741;69.541.603
Dec;22;2018;0,017924;2.845.735;62.204.421
Dec;21;2018;0,017604;5.678.331;61.095.876
Dec;20;2018;0,018035;4.640.170;62.589.861
Dec;19;2018;0,016244;3.356.532;56.374.314
Dec;18;2018;0,016157;2.576.242;56.073.961
Dec;17;2018;0,015475;1.756.379;53.706.580
Dec;16;2018;0,014098;2.924.966;48.926.978
Dec;15;2018;0,013865;2.469.905;48.116.672
Dec;14;2018;0,013547;2.280.855;47.014.353
Dec;13;2018;0,014147;1.803.930;49.096.054
Dec;12;2018;0,014729;1.769.453;51.116.735
Dec;11;2018;0,014322;1.892.173;49.706.001
Dec;10;2018;0,014768;2.350.668;51.253.228
Dec;09;2018;0,015672;1.538.576;54.389.064
Dec;08;2018;0,015157;1.766.627;52.602.170
Dec;07;2018;0,015358;2.098.959;53.299.106
