Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,425723;2.553.158;131.347.327
Apr;10;2019;0,476552;1.617.052;146.937.394
Apr;9;2019;0,485601;2.002.865;149.363.706
Apr;8;2019;0,496924;3.979.570;152.755.588
Apr;7;2019;0,508628;2.054.190;156.351.340
Apr;6;2019;0,507722;4.089.712;156.145.409
Apr;5;2019;0,524344;6.384.522;161.556.107
Apr;4;2019;0,474169;2.629.475;146.290.015
Apr;3;2019;0,469397;5.365.589;144.880.033
Apr;2;2019;0,478666;4.711.642;147.974.200
Apr;1;2019;0,451910;2.744.249;139.790.878
Mar;31;2019;0,458589;4.938.877;141.864.299
Mar;30;2019;0,436979;1.645.210;135.186.398
Mar;29;2019;0,441747;1.705.347;136.627.961
Mar;28;2019;0,449799;2.500.905;139.063.389
Mar;27;2019;0,450267;1.885.899;139.132.038
Mar;26;2019;0,440009;3.491.090;135.582.154
Mar;25;2019;0,454127;2.937.303;139.878.812
Mar;24;2019;0,479964;4.410.329;147.820.892
Mar;23;2019;0,470530;1.405.316;144.859.928
Mar;22;2019;0,466789;1.652.380;143.653.240
Mar;21;2019;0,465146;4.919.059;143.112.562
Mar;20;2019;0,487982;3.518.039;150.101.608
Mar;19;2019;0,465046;4.299.161;143.011.652
Mar;18;2019;0,466649;1.984.934;143.354.527
Mar;17;2019;0,478914;2.803.355;147.105.601
Mar;16;2019;0,468448;3.778.691;143.817.540
Mar;15;2019;0,471791;2.221.155;144.444.315
Mar;14;2019;0,475264;5.595.001;145.350.255
Mar;13;2019;0,502062;6.641.291;153.347.223
Mar;12;2019;0,514274;5.330.540;157.074.954
Mar;11;2019;0,523379;6.762.030;159.929.502
Mar;10;2019;0,548479;20.575.128;168.406.206
Mar;9;2019;0,460332;4.531.419;141.509.957
Mar;8;2019;0,446596;6.687.431;137.928.221
Mar;7;2019;0,453246;12.676.375;140.525.509
Mar;6;2019;0,417669;2.322.213;129.562.518
Mar;5;2019;0,406268;2.666.590;126.093.902
Mar;4;2019;0,384499;3.981.864;119.307.564
Mar;3;2019;0,388974;3.967.409;120.523.811
Mar;2;2019;0,388541;2.280.323;120.551.321
Mar;1;2019;0,395252;8.358.036;123.387.975
Feb;28;2019;0,401737;10.568.939;125.719.604
Feb;27;2019;0,350721;2.342.294;109.955.330
Feb;26;2019;0,353616;5.095.556;110.865.153
Feb;25;2019;0,339219;4.940.695;106.440.595
Feb;24;2019;0,305230;2.481.778;95.751.936
Feb;23;2019;0,349355;1.876.057;109.567.157
Feb;22;2019;0,334227;712.776;104.826.138
Feb;21;2019;0,330919;1.256.401;103.792.261
Feb;20;2019;0,344040;1.408.066;107.973.138
Feb;19;2019;0,329818;1.756.138;103.666.747
Feb;18;2019;0,333556;2.036.317;104.879.217
Feb;17;2019;0,320950;2.276.555;101.144.064
Feb;16;2019;0,330522;7.469.728;104.481.411
Feb;15;2019;0,308936;2.177.820;97.693.694
Feb;14;2019;0,296669;1.441.094;93.742.690
Feb;13;2019;0,291551;717.541;92.058.333
Feb;12;2019;0,289375;562.352;91.333.631
Feb;11;2019;0,291751;625.185;92.021.634
Feb;10;2019;0,297785;1.380.390;93.872.652
Feb;9;2019;0,290541;876.649;91.532.190
Feb;8;2019;0,291944;2.909.560;91.928.831
Feb;7;2019;0,274851;1.345.030;86.495.708
Feb;6;2019;0,265175;797.643;83.406.495
Feb;5;2019;0,273705;974.036;86.046.746
Feb;4;2019;0,289549;1.484.963;90.987.435
Feb;3;2019;0,298706;3.962.262;93.817.014
Feb;2;2019;0,284052;1.323.705;89.168.352
Feb;1;2019;0,273954;853.018;85.951.060
Jan;31;2019;0,278459;725.456;87.328.256
Jan;30;2019;0,296055;932.856;92.784.885
Jan;29;2019;0,291966;804.734;91.460.499
Jan;28;2019;0,298166;1.537.848;93.009.023
Jan;27;2019;0,319995;1.564.546;99.155.144
Jan;26;2019;0,339531;1.554.871;104.659.607
