Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,116685;367.545.646;2.252.360.292
Apr;10;2019;0,125462;315.278.613;2.419.058.098
Apr;9;2019;0,125384;317.403.406;2.417.571.722
Apr;8;2019;0,131996;356.932.080;2.543.519.036
Apr;7;2019;0,130303;349.981.246;2.510.903.306
Apr;6;2019;0,124729;309.328.452;2.403.482.699
Apr;5;2019;0,126367;443.759.813;2.435.044.538
Apr;4;2019;0,118788;335.300.168;2.288.060.355
Apr;3;2019;0,121339;342.896.672;2.337.195.331
Apr;2;2019;0,121901;574.669.736;2.348.012.332
Apr;1;2019;0,109615;301.225.293;2.109.892.793
Mar;31;2019;0,107651;268.624.667;2.072.087.795
Mar;30;2019;0,107359;328.747.048;2.065.394.970
Mar;29;2019;0,107572;289.766.754;2.069.480.528
Mar;28;2019;0,107440;215.643.532;2.066.947.561
Mar;27;2019;0,108062;306.202.676;2.078.913.498
Mar;26;2019;0,103379;243.408.090;1.987.584.043
Mar;25;2019;0,102469;213.883.511;1.970.002.362
Mar;24;2019;0,106012;207.117.072;2.038.105.870
Mar;23;2019;0,108281;214.433.790;2.081.725.941
Mar;22;2019;0,108693;242.127.250;2.089.652.578
Mar;21;2019;0,107947;314.783.767;2.075.146.107
Mar;20;2019;0,111403;285.900.109;2.141.592.762
Mar;19;2019;0,113248;263.893.228;2.177.056.208
Mar;18;2019;0,115914;234.881.352;2.228.242.946
Mar;17;2019;0,109385;149.591.732;2.102.469.254
Mar;16;2019;0,109619;146.002.756;2.106.961.473
Mar;15;2019;0,107773;128.011.254;2.071.262.936
Mar;14;2019;0,107272;167.089.004;2.061.500.299
Mar;13;2019;0,108199;158.665.263;2.079.100.229
Mar;12;2019;0,104598;155.318.737;2.009.920.392
Mar;11;2019;0,102263;233.084.341;1.964.980.779
Mar;10;2019;0,100039;206.273.829;1.922.235.862
Mar;9;2019;0,089744;138.039.148;1.724.417.960
Mar;8;2019;0,087246;142.744.836;1.676.423.779
Mar;7;2019;0,085541;121.504.120;1.643.487.603
Mar;6;2019;0,085566;139.934.665;1.643.977.703
Mar;5;2019;0,086299;162.905.354;1.658.060.295
Mar;4;2019;0,083539;133.895.180;1.604.965.816
Mar;3;2019;0,087235;121.355.279;1.675.990.127
Mar;2;2019;0,084460;103.522.009;1.622.676.880
Mar;1;2019;0,085833;115.886.661;1.649.050.087
Feb;28;2019;0,085503;112.773.498;1.642.455.833
Feb;27;2019;0,086195;116.962.261;1.655.423.442
Feb;26;2019;0,086800;123.369.778;1.667.040.511
Feb;25;2019;0,087305;129.415.111;1.674.383.207
Feb;24;2019;0,084234;167.217.216;1.615.486.768
Feb;23;2019;0,094257;120.783.643;1.807.716.546
Feb;22;2019;0,090668;89.852.657;1.738.881.773
Feb;21;2019;0,089091;142.797.864;1.708.357.389
Feb;20;2019;0,091735;154.754.814;1.759.064.804
Feb;19;2019;0,089982;183.733.552;1.725.456.253
Feb;18;2019;0,083691;131.352.903;1.604.766.870
Feb;17;2019;0,079608;123.466.543;1.526.481.083
Feb;16;2019;0,078421;158.123.867;1.503.716.356
Feb;15;2019;0,079276;188.673.144;1.520.112.631
Feb;14;2019;0,076635;230.125.007;1.469.162.191
Feb;13;2019;0,076990;151.128.267;1.475.973.016
Feb;12;2019;0,077616;181.940.100;1.487.833.186
Feb;11;2019;0,077595;193.770.299;1.487.377.204
Feb;10;2019;0,080393;133.339.149;1.541.020.269
Feb;9;2019;0,080808;128.687.271;1.548.982.176
Feb;8;2019;0,081224;137.845.934;1.556.948.077
Feb;7;2019;0,074688;121.452.716;1.431.663.849
Feb;6;2019;0,074387;153.042.575;1.425.898.894
Feb;5;2019;0,077882;93.209.184;1.492.883.826
Feb;4;2019;0,079730;83.103.229;1.528.223.880
Feb;3;2019;0,081347;106.729.578;1.559.217.083
Feb;2;2019;0,083090;142.365.606;1.592.632.515
Feb;1;2019;0,083580;143.454.405;1.602.022.106
Jan;31;2019;0,082631;148.616.345;1.583.825.650
Jan;30;2019;0,085634;174.265.317;1.641.391.038
Jan;29;2019;0,083923;155.745.244;1.608.586.311
Jan;28;2019;0,087904;135.847.055;1.684.840.922
Jan;27;2019;0,096316;134.988.476;1.846.070.963
Jan;26;2019;0,100014;142.586.255;1.916.958.809
Jan;25;2019;0,101741;102.773.915;1.950.045.412
Jan;24;2019;0,102210;109.073.513;1.955.266.764
Jan;23;2019;0,102576;97.605.045;1.962.267.842
Jan;22;2019;0,104103;129.057.418;1.991.464.324
Jan;21;2019;0,103380;111.143.574;1.977.567.464
Jan;20;2019;0,104702;123.424.390;2.002.863.078
Jan;19;2019;0,108304;111.942.030;2.071.773.680
Jan;18;2019;0,106821;84.272.978;2.043.394.276
Jan;17;2019;0,108461;110.024.544;2.074.534.041
Jan;16;2019;0,106891;92.258.083;2.044.510.226
Jan;15;2019;0,105685;89.555.967;2.021.440.021
Jan;14;2019;0,109649;110.842.789;2.097.196.130
Jan;13;2019;0,103609;119.389.904;1.981.659.222
Jan;12;2019;0,106764;103.509.557;2.042.010.171
Jan;11;2019;0,107332;102.731.220;2.052.863.209
Jan;10;2019;0,109879;128.623.288;2.101.578.736
Jan;9;2019;0,123774;94.733.730;2.371.931.755
Jan;8;2019;0,123119;104.584.394;2.359.368.084
Jan;7;2019;0,123220;95.010.988;2.361.236.045
Jan;6;2019;0,120384;93.094.440;2.306.881.891
Jan;5;2019;0,114046;88.463.994;2.185.438.333
Jan;4;2019;0,115361;80.564.462;2.210.639.452
Jan;3;2019;0,113825;90.192.344;2.181.193.935
Jan;2;2019;0,119331;106.949.561;2.286.718.690
Jan;1;2019;0,115930;91.630.088;2.221.377.985
Dec;31;2018;0,112813;101.118.303;2.161.590.359
Dec;30;2018;0,117430;87.412.670;2.250.048.215
Dec;29;2018;0,118036;99.849.382;2.261.665.627
Dec;28;2018;0,121383;122.279.839;2.325.792.456
Dec;27;2018;0,110486;84.397.745;2.116.993.848
Dec;26;2018;0,120607;105.367.076;2.310.919.892
Dec;25;2018;0,121682;111.648.903;2.331.526.162
Dec;24;2018;0,132520;169.588.599;2.539.102.176
Dec;23;2018;0,126585;128.331.036;2.425.398.421
Dec;22;2018;0,122750;131.136.807;2.351.910.374
Dec;21;2018;0,119916;140.455.598;2.297.618.728
Dec;20;2018;0,126550;125.348.361;2.423.401.333
Dec;19;2018;0,114245;113.320.280;2.190.204.823
Dec;18;2018;0,114330;96.486.763;2.191.827.994
Dec;17;2018;0,109693;103.169.894;2.102.859.435
Dec;16;2018;0,096278;64.490.415;1.844.147.765
Dec;15;2018;0,095439;80.164.249;1.828.089.362
Dec;14;2018;0,097740;75.210.407;1.872.152.898
Dec;13;2018;0,105800;51.964.279;2.028.016.987
Dec;12;2018;0,113690;90.782.295;2.178.919.202
Dec;11;2018;0,112835;198.352.456;2.162.527.149
Dec;10;2018;0,118253;92.973.561;2.266.294.963
Dec;9;2018;0,124328;184.624.488;2.382.715.091
Dec;8;2018;0,118993;157.281.952;2.280.468.669
Dec;7;2018;0,115263;174.082.644;2.208.988.598
Dec;6;2018;0,119594;152.806.952;2.292.004.338
Dec;5;2018;0,135936;68.043.241;2.605.185.368
Dec;4;2018;0,147653;71.173.373;2.829.537.833
Dec;3;2018;0,149536;76.449.399;2.864.296.545
Dec;2;2018;0,160301;75.295.614;3.070.486.824
Dec;1;2018;0,166332;83.084.025;3.185.998.397
Nov;30;2018;0,158630;95.843.387;3.038.484.778
Nov;29;2018;0,165080;88.862.064;3.162.026.099
Nov;28;2018;0,162237;101.285.000;3.107.568.323
Nov;27;2018;0,144374;81.742.500;2.765.411.485
Nov;26;2018;0,144795;105.913.000;2.772.932.682
Nov;25;2018;0,159607;137.467.000;3.056.464.074
Nov;24;2018;0,154205;98.670.200;2.953.016.073
Nov;23;2018;0,181211;101.304.000;3.470.179.115
Nov;22;2018;0,187797;81.440.600;3.596.300.586
Nov;21;2018;0,203688;108.181.000;3.900.612.265
Nov;20;2018;0,193193;154.290.000;3.699.633.565
Nov;19;2018;0,224412;130.056.000;4.323.161.021
Nov;18;2018;0,249758;101.810.000;4.811.436.295
Nov;17;2018;0,244927;95.893.400;4.718.369.988
Nov;16;2018;0,238850;116.280.000;4.601.300.200
Nov;15;2018;0,241944;97.300.800;4.581.023.601
Nov;14;2018;0,233043;100.039.000;4.412.490.010
Nov;13;2018;0,257787;71.147.400;4.880.998.520
Nov;12;2018;0,267326;98.560.700;5.061.814.744
Nov;11;2018;0,273605;109.488.000;5.181.328.059
Nov;10;2018;0,261230;53.086.500;4.946.979.510
Nov;9;2018;0,255542;71.764.800;4.841.888.301
Nov;8;2018;0,256043;88.138.000;4.853.730.545
Nov;7;2018;0,256718;78.967.900;4.866.526.126
Nov;6;2018;0,265596;101.099.000;5.051.846.626
Nov;5;2018;0,246529;54.187.000;4.668.795.349
Nov;4;2018;0,241638;57.585.400;4.570.235.952
Nov;3;2018;0,235706;50.502.800;4.458.040.686
Nov;2;2018;0,234244;50.452.100;4.430.389.054
Nov;1;2018;0,222945;38.696.300;4.216.672.630
Oct;31;2018;0,223471;42.791.700;4.226.621.136
Oct;30;2018;0,225093;43.111.300;4.257.296.595
Oct;29;2018;0,222357;45.544.800;4.205.428.747
Oct;28;2018;0,232871;39.381.600;4.400.041.270
Oct;27;2018;0,228760;38.499.600;4.322.364.918
Oct;26;2018;0,234011;35.741.700;4.421.581.294
Oct;25;2018;0,235646;39.745.700;4.452.474.224
Oct;24;2018;0,237760;39.973.400;4.492.417.744
Oct;23;2018;0,242215;39.384.600;4.576.593.892
Oct;22;2018;0,242361;40.765.500;4.579.024.962
Oct;21;2018;0,241724;46.623.600;4.566.989.754
Oct;20;2018;0,244182;60.012.800;4.613.429.868
Oct;19;2018;0,242853;45.872.300;4.588.320.240
Oct;18;2018;0,239452;59.461.700;4.523.608.150
Oct;17;2018;0,240403;74.599.800;4.541.492.208
Oct;16;2018;0,227978;42.468.100;4.306.769.442
Oct;15;2018;0,223001;71.749.600;4.212.626.857
Oct;14;2018;0,210144;36.498.700;3.969.750.132
Oct;13;2018;0,214810;46.116.600;4.057.893.683
Oct;12;2018;0,216032;48.988.300;4.080.977.824
Oct;11;2018;0,207037;75.872.400;3.911.056.722
Oct;10;2018;0,241593;40.184.400;4.563.840.783
Oct;9;2018;0,243915;40.657.100;4.607.377.217
Oct;8;2018;0,249009;41.913.600;4.703.438.163
Oct;7;2018;0,245138;33.460.000;4.610.267.780
Oct;6;2018;0,239771;34.392.600;4.509.331.544
Oct;5;2018;0,245192;38.001.100;4.608.341.045
Oct;4;2018;0,244278;36.170.200;4.590.500.914
Oct;3;2018;0,241136;47.661.800;4.531.062.317
Oct;2;2018;0,248286;50.886.900;4.665.414.407
Oct;1;2018;0,258404;67.813.900;4.855.400.373
Sep;30;2018;0,259599;64.864.600;4.877.853.750
Sep;29;2018;0,253908;54.822.100;4.770.919.197
Sep;28;2018;0,254127;63.003.000;4.775.034.070
Sep;27;2018;0,259216;99.370.800;4.870.655.434
Sep;26;2018;0,244767;89.889.500;4.599.159.265
Sep;25;2018;0,252306;118.361.000;4.740.816.230
Sep;24;2018;0,259048;135.616.000;4.867.361.157
Sep;23;2018;0,281478;317.587.000;5.288.807.424
