Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;1,01;17.391.967.979;2.318.990.462
Apr;10;2019;1,00;15.995.091.262;2.271.407.886
Apr;9;2019;1,01;14.315.304.510;2.212.375.022
Apr;8;2019;1,01;17.972.924.418;2.158.728.024
Apr;7;2019;1,00;16.782.653.244;2.090.015.279
Apr;6;2019;1,00;16.693.450.474;2.086.940.761
Apr;5;2019;1,01;16.216.708.300;2.091.887.834
Apr;4;2019;1,01;19.847.220.123;2.086.183.477
Apr;3;2019;1,01;26.557.549.335;2.083.736.155
Apr;2;2019;1,01;21.843.762.437;2.058.622.343
Apr;1;2019;1,00;9.569.263.475;2.044.790.317
Mar;31;2019;1,00;8.108.743.211;2.029.986.705
Mar;30;2019;1,00;9.083.798.415;2.029.560.141
Mar;29;2019;0,998496;9.802.241.562;2.025.447.734
Mar;28;2019;1,01;8.064.353.737;2.050.152.763
Mar;27;2019;1,01;10.893.307.729;2.052.994.600
Mar;26;2019;1,01;9.075.098.633;2.041.600.212
Mar;25;2019;1,01;9.042.276.853;2.035.968.594
Mar;24;2019;1,01;7.789.146.127;2.032.100.364
Mar;23;2019;1,01;8.252.465.265;2.035.564.495
Mar;22;2019;1,01;8.043.069.056;2.026.517.620
Mar;21;2019;1,01;10.022.422.933;2.034.791.375
Mar;20;2019;1,01;9.474.331.302;2.032.419.228
Mar;19;2019;1,01;8.243.478.388;2.039.364.772
Mar;18;2019;1,01;8.604.028.178;2.023.596.102
Mar;17;2019;1,01;7.070.867.589;2.020.136.779
Mar;16;2019;1,01;9.333.467.997;2.023.624.450
Mar;15;2019;1,01;8.024.364.516;2.019.386.958
Mar;14;2019;1,01;8.089.597.848;2.021.198.680
Mar;13;2019;1,01;7.861.726.433;2.016.486.636
Mar;12;2019;1,01;8.193.056.943;2.009.529.080
Mar;11;2019;1,01;8.754.662.156;2.013.884.109
Mar;10;2019;1,01;7.993.146.408;2.011.853.490
Mar;9;2019;1,01;9.012.563.866;2.006.176.237
Mar;8;2019;1,01;9.170.949.582;2.013.254.636
Mar;7;2019;1,01;8.964.016.754;2.011.160.434
Mar;6;2019;1,01;8.754.632.122;2.015.364.290
Mar;5;2019;1,01;9.791.470.887;2.045.218.544
Mar;4;2019;1,01;8.129.567.032;2.046.154.638
Mar;3;2019;1,01;6.148.316.202;2.043.328.705
Mar;2;2019;1,01;6.623.334.103;2.046.557.763
Mar;1;2019;1,01;6.628.411.253;2.035.341.543
Feb;28;2019;1,01;7.911.756.336;2.041.809.695
Feb;27;2019;1,01;7.569.906.987;2.039.742.726
Feb;26;2019;1,01;7.159.288.173;2.043.385.025
Feb;25;2019;1,02;9.138.604.588;2.051.885.482
Feb;24;2019;1,01;11.405.442.806;2.045.808.840
Feb;23;2019;1,01;8.122.320.488;2.038.700.777
Feb;22;2019;1,01;6.931.449.681;2.038.722.002
Feb;21;2019;1,00;6.765.318.432;2.030.389.249
Feb;20;2019;1,01;8.091.720.630;2.035.565.492
Feb;19;2019;1,01;9.304.885.086;2.036.854.533
Feb;18;2019;1,01;9.082.574.152;2.032.482.156
Feb;17;2019;1,00;5.746.888.553;2.023.392.364
Feb;16;2019;1,00;4.506.743.621;2.028.056.761
Feb;15;2019;1,00;5.016.161.093;2.028.414.752
Feb;14;2019;1,01;4.761.618.448;2.034.561.938
Feb;13;2019;1,00;5.228.665.975;2.029.480.830
Feb;12;2019;1,00;5.105.059.634;2.029.502.697
Feb;11;2019;1,00;5.144.064.149;2.027.856.142
Feb;10;2019;1,00;4.965.113.768;2.029.926.999
Feb;9;2019;1,00;4.749.715.865;2.021.998.987
Feb;8;2019;1,00;6.153.689.552;2.025.330.851
Feb;7;2019;1,00;3.569.921.563;2.023.283.054
Feb;6;2019;1,00;4.271.302.713;2.023.129.504
Feb;5;2019;0,999532;3.691.717.612;2.019.910.268
Feb;4;2019;0,999826;3.770.858.317;2.020.505.215
Feb;3;2019;1,00;3.756.996.124;2.020.950.151
Feb;2;2019;1,00;3.806.913.471;2.026.311.240
Feb;1;2019;1,01;3.949.396.927;2.033.605.783
Jan;31;2019;1,01;4.110.696.174;2.033.970.566
