Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,112510;6.412.443;97.939.875
Apr;10;2019;0,126035;8.938.766;109.713.613
Apr;9;2019;0,127356;18.175.117;110.864.043
Apr;8;2019;0,119613;6.603.169;104.123.134
Apr;7;2019;0,125265;7.072.374;109.043.203
Apr;6;2019;0,117782;4.549.137;102.529.811
Apr;5;2019;0,124488;11.257.430;108.366.987
Apr;4;2019;0,121751;10.298.858;105.984.287
Apr;3;2019;0,110702;9.797.807;96.366.311
Apr;2;2019;0,113649;10.337.819;98.931.511
Apr;1;2019;0,109195;4.904.841;95.054.939
Mar;31;2019;0,111869;4.416.810;97.381.953
Mar;30;2019;0,108768;3.289.997;94.683.225
Mar;29;2019;0,110921;4.619.870;96.556.735
Mar;28;2019;0,114188;7.364.730;99.401.278
Mar;27;2019;0,112424;7.297.215;97.865.699
Mar;26;2019;0,111337;8.287.209;96.919.487
Mar;25;2019;0,108315;8.402.037;94.288.204
Mar;24;2019;0,117231;6.396.370;102.050.195
Mar;23;2019;0,120291;5.943.476;104.713.286
Mar;22;2019;0,120780;29.837.379;105.138.999
Mar;21;2019;0,119015;8.217.759;103.602.558
Mar;20;2019;0,126524;6.158.550;126.523.952
Mar;19;2019;0,127840;6.840.492;127.839.607
Mar;18;2019;0,129203;7.902.063;129.203.132
Mar;17;2019;0,130726;6.487.686;130.725.985
Mar;16;2019;0,130417;6.825.181;130.417.038
Mar;15;2019;0,131056;10.001.752;131.056.233
Mar;14;2019;0,131400;18.242.412;131.400.285
Mar;13;2019;0,129237;17.192.074;129.237.016
Mar;12;2019;0,128475;48.527.696;128.475.332
Mar;11;2019;0,150983;46.636.325;150.982.683
Mar;10;2019;0,185440;124.772.616;185.440.266
Mar;9;2019;0,137212;10.987.149;137.211.677
Mar;8;2019;0,126109;9.319.853;126.108.618
Mar;7;2019;0,132255;11.227.370;132.255.061
Mar;6;2019;0,138636;24.319.565;138.636.284
Mar;5;2019;0,127450;8.683.272;127.450.071
Mar;4;2019;0,123305;14.757.338;123.304.658
Mar;3;2019;0,130959;7.868.970;130.958.792
Mar;2;2019;0,140663;6.879.155;140.662.562
Mar;1;2019;0,140232;13.294.404;140.232.113
