Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;732,97;72.667;63.537.966
Apr;10;2019;770,57;103.194;66.797.621
Apr;9;2019;753,37;100.139;65.307.058
Apr;8;2019;765,81;113.279;66.384.703
Apr;7;2019;753,11;123.917;65.283.837
Apr;6;2019;732,94;130.417;63.535.287
Apr;5;2019;730,35;146.201;63.311.040
Apr;4;2019;712,56;192.560;61.768.679
Apr;3;2019;719,95;251.024;62.409.309
Apr;2;2019;706,59;218.982;61.251.443
Apr;1;2019;601,75;107.156;52.163.212
Mar;31;2019;591,62;113.868;51.284.969
Mar;30;2019;597,32;138.717;51.779.242
Mar;29;2019;595,43;93.980;51.615.546
Mar;28;2019;591,78;105.771;51.299.407
Mar;27;2019;594,69;105.614;51.551.684
Mar;26;2019;548,94;106.046;47.585.362
Mar;25;2019;540,52;99.166;46.855.646
Mar;24;2019;553,90;113.186;48.015.367
Mar;23;2019;555,48;81.368;48.152.522
Mar;22;2019;554,60;89.225;48.076.463
Mar;21;2019;555,56;103.918;48.159.473
Mar;20;2019;562,37;107.975;48.749.832
Mar;19;2019;562,05;103.303;48.721.556
Mar;18;2019;553,15;118.758;47.950.058
Mar;17;2019;483,06;98.784;41.874.277
Mar;16;2019;558,08;101.872;48.377.804
Mar;15;2019;514,46;64.953;44.596.256
Mar;14;2019;497,09;62.854;43.090.880
Mar;13;2019;491,75;57.552;42.628.112
Mar;12;2019;469,24;39.541;40.291.619
Mar;11;2019;454,99;70.473;39.068.401
Mar;10;2019;472,71;58.076;40.590.070
Mar;9;2019;449,32;33.612;38.581.134
Mar;8;2019;389,84;30.860;33.474.162
Mar;7;2019;351,56;31.944;30.186.741
Mar;6;2019;355,05;20.542;30.486.584
Mar;5;2019;309,51;22.920;26.576.241
Mar;4;2019;258,50;19.746;22.195.987
Mar;3;2019;249,64;17.521;21.435.700
Mar;2;2019;220,05;18.933;18.894.774
Mar;1;2019;226,87;13.586;19.480.601
Feb;28;2019;231,00;14.787;19.835.303
Feb;27;2019;237,55;16.711;20.397.787
Feb;26;2019;223,57;15.206;19.196.800
Feb;25;2019;218,02;1.114;18.720.173
Feb;24;2019;113,71;508;9.764.071
Feb;23;2019;113,98;663;9.787.317
Feb;22;2019;141,37;1.037;12.138.699
Feb;21;2019;71,21;638;6.114.387
Feb;20;2019;1,20;245;102.616
Feb;19;2019;0,790193;45;67.851
Feb;18;2019;0,326980;-;28.076
Feb;17;2019;0,326980;-;28.076
Feb;16;2019;0,326980;-;28.076
Feb;15;2019;0,326980;-;28.076
Feb;14;2019;0,326980;-;28.076
Feb;13;2019;0,326545;0;28.039
Feb;12;2019;0,328198;20;28.181
Feb;11;2019;0,327653;0;28.134
Feb;10;2019;0,332966;0;28.590
Feb;9;2019;0,329865;0;28.324
