Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,026714;523.780.926;1.781.357.041
Apr;10;2019;0,030101;451.232.025;2.007.197.680
Apr;9;2019;0,029954;612.987.560;1.997.375.720
Apr;8;2019;0,030732;769.629.475;2.049.252.856
Apr;7;2019;0,028895;552.496.053;1.926.752.662
Apr;6;2019;0,026860;396.057.876;1.791.049.253
Apr;5;2019;0,027239;453.160.618;1.816.364.487
Apr;4;2019;0,025982;432.565.534;1.732.543.687
Apr;3;2019;0,025944;641.811.998;1.730.000.859
Apr;2;2019;0,026884;671.204.433;1.792.687.603
Apr;1;2019;0,024340;331.600.220;1.623.063.140
Mar;31;2019;0,023523;190.106.148;1.568.590.127
Mar;30;2019;0,023292;227.044.995;1.553.191.324
Mar;29;2019;0,023319;273.806.472;1.554.941.129
Mar;28;2019;0,023382;214.311.281;1.559.182.527
Mar;27;2019;0,023623;241.360.970;1.575.225.029
Mar;26;2019;0,022629;226.574.961;1.508.973.698
Mar;25;2019;0,022747;259.384.297;1.516.833.586
Mar;24;2019;0,023366;270.254.346;1.558.089.825
Mar;23;2019;0,024404;364.384.766;1.627.297.280
Mar;22;2019;0,022749;174.571.200;1.516.929.048
Mar;21;2019;0,022472;185.021.970;1.498.485.737
Mar;20;2019;0,023081;166.565.928;1.539.101.398
Mar;19;2019;0,023091;164.337.837;1.539.758.937
Mar;18;2019;0,023003;180.460.923;1.533.913.326
Mar;17;2019;0,023140;155.662.772;1.543.003.579
Mar;16;2019;0,023374;195.407.917;1.558.635.015
Mar;15;2019;0,023171;141.062.816;1.545.078.398
Mar;14;2019;0,022648;150.611.750;1.510.224.735
Mar;13;2019;0,022441;102.721.071;1.496.433.014
Mar;12;2019;0,022399;103.129.813;1.493.623.463
Mar;11;2019;0,022245;150.553.430;1.483.373.739
Mar;10;2019;0,023071;148.100.619;1.538.405.289
Mar;9;2019;0,022875;156.377.581;1.525.374.702
Mar;8;2019;0,022564;157.215.771;1.504.581.580
Mar;7;2019;0,023188;140.664.451;1.546.220.905
Mar;6;2019;0,023431;161.164.628;1.562.431.006
Mar;5;2019;0,023997;233.979.257;1.600.176.054
Mar;4;2019;0,022937;230.202.985;1.529.482.001
Mar;3;2019;0,022723;114.553.316;1.515.198.953
Mar;2;2019;0,022937;201.484.006;1.529.503.689
Mar;1;2019;0,023726;128.326.437;1.582.095.415
Feb;28;2019;0,023867;150.484.768;1.591.516.789
Feb;27;2019;0,024131;152.193.562;1.609.080.601
Feb;26;2019;0,024412;159.243.421;1.627.874.617
Feb;25;2019;0,024450;193.452.748;1.630.393.923
Feb;24;2019;0,023809;352.101.654;1.587.629.390
Feb;23;2019;0,025455;152.106.379;1.697.403.394
Feb;22;2019;0,025158;127.494.150;1.677.564.639
Feb;21;2019;0,024804;148.824.564;1.653.985.090
Feb;20;2019;0,025228;144.523.656;1.682.227.079
Feb;19;2019;0,024993;200.614.927;1.666.581.876
Feb;18;2019;0,024984;218.788.420;1.665.955.032
Feb;17;2019;0,023818;129.569.495;1.588.228.527
Feb;16;2019;0,023954;123.247.151;1.597.288.741
Feb;15;2019;0,024056;131.747.206;1.604.077.571
