Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,789652;83.029.848;51.919.610
Apr;10;2019;0,873531;98.445.353;57.434.664
Apr;9;2019;1,06;115.794.067;69.995.585
Apr;8;2019;0,652179;37.043.994;42.880.780
Apr;7;2019;0,617687;37.172.866;40.612.891
Apr;6;2019;0,601211;30.595.393;39.529.651
Apr;5;2019;0,590404;32.679.054;38.819.081
Apr;4;2019;0,577300;32.325.226;37.957.481
Apr;3;2019;0,584365;46.162.920;38.421.967
Apr;2;2019;0,624489;48.646.599;41.060.143
Apr;1;2019;0,493710;25.349.334;32.461.459
Mar;31;2019;0,497045;25.388.180;32.680.688
Mar;30;2019;0,511601;27.256.762;33.637.783
Mar;29;2019;0,501852;23.359.677;32.996.744
Mar;28;2019;0,513722;25.133.410;33.777.203
Mar;27;2019;0,520177;30.818.780;34.201.648
Mar;26;2019;0,491323;30.353.265;32.304.469
Mar;25;2019;0,519063;33.009.275;34.128.379
Mar;24;2019;0,501334;26.736.226;32.765.690
Mar;23;2019;0,503545;31.706.083;32.910.188
Mar;22;2019;0,487421;34.315.188;31.856.335
Mar;21;2019;0,501783;39.414.699;32.795.021
Mar;20;2019;0,563684;63.466.391;36.840.685
Mar;19;2019;0,440308;31.803.578;28.777.222
Mar;18;2019;0,347807;19.252.799;22.731.642
Mar;17;2019;0,351092;18.820.512;22.946.342
Mar;16;2019;0,357201;21.869.113;23.345.561
Mar;15;2019;0,373631;26.267.673;24.419.378
Mar;14;2019;0,321201;16.343.696;20.992.723
Mar;13;2019;0,311900;11.182.170;20.384.844
Mar;12;2019;0,318266;13.470.521;19.531.011
Mar;11;2019;0,316116;25.130.940;19.399.108
Mar;10;2019;0,313375;30.667.405;19.230.896
Mar;9;2019;0,304224;19.268.677;18.669.317
Mar;8;2019;0,289910;21.754.675;17.790.922
Mar;7;2019;0,301816;19.193.447;18.521.523
Mar;6;2019;0,293437;17.085.716;18.007.329
Mar;5;2019;0,293962;17.948.828;18.039.561
Mar;4;2019;0,280585;18.358.482;17.218.676
Mar;3;2019;0,285892;19.249.452;17.544.322
Mar;2;2019;0,274218;14.135.302;16.827.930
Mar;1;2019;0,279614;14.860.368;17.159.072
Feb;28;2019;0,272542;13.972.050;16.725.054
Feb;27;2019;0,269015;14.408.381;16.508.630
Feb;26;2019;0,277452;15.647.619;17.026.404
Feb;25;2019;0,275334;17.439.256;16.896.397
Feb;24;2019;0,264579;19.646.037;16.236.403
Feb;23;2019;0,310567;22.033.389;19.058.581
Feb;22;2019;0,280469;16.577.379;17.211.555
Feb;21;2019;0,268231;16.764.859;16.460.553
Feb;20;2019;0,260835;15.995.445;16.006.657
Feb;19;2019;0,257671;19.648.380;15.812.499
Feb;18;2019;0,242612;12.462.341;14.888.383
Feb;17;2019;0,238034;11.964.714;14.450.329
Feb;16;2019;0,233058;11.851.391;14.148.263
Feb;15;2019;0,224762;12.156.193;13.644.643
Feb;14;2019;0,232096;11.882.143;14.089.867
Feb;13;2019;0,235001;12.512.620;14.266.190
Feb;12;2019;0,233554;10.662.618;14.178.368
Feb;11;2019;0,235033;12.536.365;14.268.145
Feb;10;2019;0,236268;12.781.191;14.343.088
Feb;9;2019;0,235396;12.604.599;14.290.157
Feb;8;2019;0,236631;15.152.770;14.365.175
Feb;7;2019;0,221071;11.478.249;13.420.539
Feb;6;2019;0,214660;12.127.465;13.031.350
Feb;5;2019;0,220492;11.531.877;13.385.395
Feb;4;2019;0,214943;11.726.378;13.048.521
Feb;3;2019;0,217366;11.251.120;13.195.649
Feb;2;2019;0,223170;11.855.978;13.547.972
Feb;1;2019;0,215882;11.748.260;13.105.525
Jan;31;2019;0,216260;11.262.779;13.128.510
Jan;30;2019;0,218880;11.511.049;13.287.526
Jan;29;2019;0,216502;11.928.216;13.143.159
Jan;28;2019;0,217838;12.581.753;13.224.316
Jan;27;2019;0,228901;12.432.388;13.895.885
Jan;26;2019;0,230395;12.261.826;13.986.570
Jan;25;2019;0,228716;12.574.718;13.884.643
Jan;24;2019;0,233095;11.837.567;14.150.487
Jan;23;2019;0,236070;14.376.572;14.331.092
Jan;22;2019;0,244998;14.437.608;14.873.082
Jan;21;2019;0,223044;12.613.200;13.540.337
Jan;20;2019;0,222375;11.654.801;13.499.694
Jan;19;2019;0,230651;11.928.160;14.002.118
Jan;18;2019;0,228616;12.296.758;13.878.590
Jan;17;2019;0,227220;11.991.980;13.793.821
Jan;16;2019;0,230476;11.708.454;13.991.509
Jan;15;2019;0,223270;12.158.470;13.554.074
Jan;14;2019;0,230987;12.479.762;14.022.501
Jan;13;2019;0,226052;12.692.415;13.722.961
Jan;12;2019;0,240805;12.747.345;14.618.521
Jan;11;2019;0,242369;12.751.669;14.713.500
Jan;10;2019;0,230358;13.970.251;13.984.355
Jan;9;2019;0,267392;13.122.069;16.232.543
Jan;8;2019;0,265094;13.153.541;15.855.205
Jan;7;2019;0,268861;14.379.684;16.080.548
Jan;6;2019;0,274806;13.754.869;16.436.112
Jan;5;2019;0,267978;14.170.843;16.027.693
Jan;4;2019;0,268687;14.954.243;16.070.130
Jan;3;2019;0,264886;15.734.083;15.842.769
Jan;2;2019;0,268856;14.371.868;16.080.209
Jan;1;2019;0,255623;14.216.064;15.288.773
Dec;31;2018;0,261082;16.264.993;15.615.292
Dec;30;2018;0,255613;15.659.756;15.288.151
Dec;29;2018;0,247485;13.730.888;14.802.011
Dec;28;2018;0,249573;14.325.954;14.926.893
Dec;27;2018;0,220352;12.159.119;13.179.244
Dec;26;2018;0,254452;14.707.277;15.218.726
Dec;25;2018;0,241146;15.973.671;14.422.906
Dec;24;2018;0,284039;18.794.910;16.988.348
Dec;23;2018;0,287979;18.780.201;17.223.949
Dec;22;2018;0,271454;16.227.102;16.235.614
Dec;21;2018;0,260321;18.478.328;15.569.770
Dec;20;2018;0,283528;20.475.395;16.957.752
Dec;19;2018;0,247202;16.171.214;14.785.099
Dec;18;2018;0,250797;13.751.567;11.649.192
Dec;17;2018;0,241528;14.283.699;11.218.647
Dec;16;2018;0,222736;11.912.017;10.345.786
Dec;15;2018;0,221841;12.583.265;10.304.250
Dec;14;2018;0,220723;14.240.024;10.252.322
Dec;13;2018;0,215835;13.062.706;10.025.266
Dec;12;2018;0,231502;14.134.541;10.752.986
Dec;11;2018;0,211225;12.313.018;9.811.149
Dec;10;2018;0,219809;12.625.152;10.209.862
Dec;9;2018;0,226755;13.686.694;10.532.494
Dec;8;2018;0,222603;14.942.991;10.339.645
Dec;7;2018;0,257330;17.712.078;11.952.664
Dec;6;2018;0,217213;13.206.080;10.089.266
Dec;5;2018;0,249321;16.109.010;11.580.654
Dec;4;2018;0,252187;14.332.473;11.713.757
Dec;3;2018;0,256534;14.395.304;11.915.685
Dec;2;2018;0,281254;17.467.221;13.063.872
Dec;1;2018;0,275914;20.065.569;12.815.875
Nov;30;2018;0,249764;15.939.348;11.601.236
Nov;29;2018;0,292418;20.445.479;13.582.441
Nov;28;2018;0,356734;43.528.800;16.569.843
Nov;27;2018;0,170092;10.172.100;7.900.558
Nov;26;2018;0,167599;11.108.400;7.784.762
Nov;25;2018;0,184458;11.867.300;8.567.841
Nov;24;2018;0,192642;11.425.300;8.947.977
Nov;23;2018;0,210369;13.040.000;9.771.374
Nov;22;2018;0,230244;13.421.800;10.694.543
Nov;21;2018;0,240751;14.537.700;11.182.579
Nov;20;2018;0,221990;14.586.200;10.311.155
Nov;19;2018;0,263088;17.488.800;12.220.105
Nov;18;2018;0,306883;16.908.200;14.254.327
Nov;17;2018;0,299538;17.592.000;13.913.161
Nov;16;2018;0,303399;15.827.300;14.092.500
Nov;15;2018;0,309000;19.359.000;14.352.659
Nov;14;2018;0,312326;19.220.700;14.507.148
Nov;13;2018;0,372051;20.151.700;17.281.298
Nov;12;2018;0,391738;20.358.800;18.195.735
Nov;11;2018;0,392032;19.213.700;18.209.390
Nov;10;2018;0,399902;19.591.800;18.574.942
Nov;9;2018;0,393089;19.040.100;18.258.487
Nov;8;2018;0,403017;19.189.700;18.719.630
Nov;7;2018;0,414270;23.265.400;19.242.317
Nov;6;2018;0,410476;19.706.800;19.082.069
Nov;5;2018;0,404367;19.983.700;18.782.336
Nov;4;2018;0,411375;21.053.600;19.107.848
Nov;3;2018;0,413832;20.383.700;19.221.973
Nov;2;2018;0,418807;21.137.200;19.453.055
Nov;1;2018;0,416055;21.289.500;19.325.228
Oct;31;2018;0,417346;22.510.400;19.385.194
Oct;30;2018;0,412541;21.004.300;19.162.008
Oct;29;2018;0,417701;23.813.400;19.401.683
Oct;28;2018;0,436394;26.588.000;20.269.949
Oct;27;2018;0,419664;25.744.300;19.492.862
Oct;26;2018;0,429490;25.676.500;19.949.267
Oct;25;2018;0,431876;23.943.700;20.060.094
Oct;24;2018;0,436177;1.153.850;20.259.870
Oct;23;2018;0,442936;484.162;20.573.817
Oct;22;2018;0,431958;506.212;20.063.903
Oct;21;2018;0,445368;568.399;20.686.780
Oct;20;2018;0,453350;817.573;21.057.534
Oct;19;2018;0,421551;392.303;19.580.511
Oct;18;2018;0,427249;499.885;19.845.176
Oct;17;2018;0,437191;842.244;20.306.969
Oct;16;2018;0,460674;5.731.640;21.397.725
Oct;15;2018;0,460422;7.586.290;21.386.019
Oct;14;2018;0,456310;3.456.200;21.195.022
Oct;13;2018;0,457899;222.422;21.268.829
Oct;12;2018;0,498442;3.703.030;23.152.000
Oct;11;2018;0,489563;11.101.800;22.739.582
Oct;10;2018;0,511234;10.576.800;23.746.173
Oct;9;2018;0,564530;13.117.200;26.221.704
Oct;8;2018;0,560607;12.342.400;26.039.486
Oct;7;2018;0,550496;10.546.300;25.569.843
Oct;6;2018;0,559768;11.796.000;26.000.515
Oct;5;2018;0,564889;13.842.100;26.238.379
Oct;4;2018;0,571743;12.890.200;26.556.739
Oct;3;2018;0,559715;24.409.400;25.998.054
Oct;2;2018;0,561235;22.422.300;26.068.656
Oct;1;2018;0,569436;24.125.700;26.449.582
Sep;30;2018;0,574544;24.922.800;26.686.842
Sep;29;2018;0,566399;25.489.600;26.308.517
Sep;28;2018;0,583250;28.949.100;27.091.225
Sep;27;2018;0,550761;20.307.700;25.582.152
Sep;26;2018;0,543587;27.720.800;25.248.929
Sep;25;2018;0,510887;14.899.600;23.730.055
Sep;24;2018;0,559152;19.186.600;25.971.903
Sep;23;2018;0,574301;16.226.600;26.675.555
Sep;22;2018;0,587198;17.035.600;27.274.604
Sep;21;2018;0,542293;15.568.400;25.188.824
Sep;20;2018;0,532523;14.728.400;24.735.020
Sep;19;2018;0,525880;14.860.700;24.426.461
Sep;18;2018;0,547716;19.097.300;25.440.715
Sep;17;2018;0,511445;25.277.800;23.755.973
Sep;16;2018;0,518045;35.012.300;24.062.535
Sep;15;2018;0,517907;37.655.400;24.056.125
Sep;14;2018;0,527311;43.596.700;24.492.929
Sep;13;2018;0,601851;58.058.000;27.955.218
Sep;12;2018;0,478826;40.253.100;22.240.862
Sep;11;2018;0,492473;39.979.300;22.874.748
Sep;10;2018;0,509087;39.442.700;23.646.447
Sep;9;2018;0,533905;42.579.300;24.799.212
Sep;8;2018;0,524495;49.327.000;24.362.129
Sep;7;2018;0,589056;84.222.300;27.360.906
Sep;6;2018;0,473151;28.111.600;21.977.265
Sep;5;2018;0,476559;47.646.100;22.135.563
Sep;4;2018;0,557990;27.770.800;25.917.930
Sep;3;2018;0,556759;47.878.400;25.860.751
Sep;2;2018;0,554853;36.584.300;25.772.220
Sep;1;2018;0,578063;37.751.800;26.850.295
Aug;31;2018;0,548341;35.427.100;25.469.746
Aug;30;2018;0,540597;29.527.300;25.110.047
Aug;29;2018;0,537458;44.242.200;24.964.244
Aug;28;2018;0,564900;38.578.400;26.238.890
Aug;27;2018;0,500411;27.815.700;23.243.458
Aug;26;2018;0,477173;32.520.300;22.164.082
Aug;25;2018;0,483679;34.789.700;22.466.278
Aug;24;2018;0,463875;31.709.700;21.546.407
Aug;23;2018;0,456429;31.133.400;21.200.550
Aug;22;2018;0,495676;35.349.500;23.023.523
Aug;21;2018;0,523973;35.680.100;24.337.883
Aug;20;2018;0,525909;33.525.600;24.427.808
Aug;19;2018;0,591940;44.491.700;27.494.864
Aug;18;2018;0,550752;42.719.600;25.581.734
Aug;17;2018;0,543720;37.933.800;25.255.106
Aug;16;2018;0,371632;19.986.000;17.261.836
Aug;15;2018;0,364318;22.696.900;16.922.110
Aug;14;2018;0,346288;20.280.600;16.084.640
Aug;13;2018;0,363303;23.719.000;16.874.965
Aug;12;2018;0,402343;24.568.700;18.688.323
Aug;11;2018;0,411056;24.371.600;19.093.031
Aug;10;2018;0,446692;26.114.100;20.748.278
Aug;9;2018;0,489284;30.557.300;22.726.623
Aug;8;2018;0,444724;31.956.600;20.656.867
Aug;7;2018;0,551032;28.628.200;25.594.739
Aug;6;2018;0,552583;29.334.600;25.666.781
Aug;5;2018;0,566366;29.284.700;26.306.984
Aug;4;2018;0,542313;28.800.200;25.189.753
Aug;3;2018;0,616429;41.692.900;28.632.347
Aug;2;2018;0,640731;43.830.900;29.761.144
Aug;1;2018;0,695475;43.529.800;32.303.934
Jul;31;2018;0,698491;48.335.700;32.444.023
Jul;30;2018;0,771368;52.333.100;35.829.068
Jul;29;2018;0,823991;67.124.496;38.273.340
Jul;28;2018;0,828226;61.170.900;38.470.050
Jul;27;2018;0,843821;73.014.800;39.194.418
Jul;26;2018;0,827621;46.373.400;38.441.949
Jul;25;2018;0,861688;60.777.800;40.024.318
Jul;24;2018;0,874824;65.192.400;40.634.468
Jul;23;2018;0,848734;59.586.100;39.422.621
Jul;22;2018;0,871163;67.650.496;40.464.419
Jul;21;2018;0,882432;55.231.700;40.987.850
Jul;20;2018;0,877997;68.644.096;40.781.850
Jul;19;2018;0,918699;62.426.400;42.672.406
Jul;18;2018;0,965648;65.048.100;44.853.128
Jul;17;2018;0,999790;75.156.200;46.438.981
Jul;16;2018;0,930304;59.738.000;43.211.444
Jul;15;2018;0,865350;43.682.800;40.194.413
Jul;14;2018;0,828851;37.096.600;38.499.080
Jul;13;2018;0,856525;52.770.500;39.784.503
Jul;12;2018;0,828133;60.639.900;38.465.730
Jul;11;2018;0,852288;75.505.400;39.587.699
Jul;10;2018;0,900316;55.659.300;41.818.539
Jul;9;2018;1,05;60.543.100;48.894.725
Jul;8;2018;1,08;63.914.000;50.042.474
Jul;7;2018;1,11;66.778.200;51.549.735
Jul;6;2018;1,11;68.730.704;51.737.852
Jul;5;2018;1,14;74.258.600;52.942.733
Jul;4;2018;1,15;69.098.600;53.419.761
Jul;3;2018;1,12;82.661.296;52.216.274
Jul;2;2018;1,04;70.688.600;48.093.949
Jul;1;2018;0,970121;65.260.800;45.060.893
Jun;30;2018;0,973385;59.394.400;45.212.502
Jun;29;2018;0,912538;59.154.900;42.386.236
Jun;28;2018;0,896725;50.685.800;41.651.742
Jun;27;2018;0,936994;56.825.400;43.522.186
Jun;26;2018;0,936789;59.095.000;43.512.664
Jun;25;2018;0,990082;66.540.100;45.988.056
Jun;24;2018;0,920656;66.104.400;42.763.307
Jun;23;2018;1,06;58.353.500;49.078.198
Jun;22;2018;1,02;71.255.104;47.551.892
Jun;21;2018;1,20;70.263.904;55.562.441
Jun;20;2018;1,26;72.006.896;58.382.344
Jun;19;2018;1,39;76.676.600;64.577.676
Jun;18;2018;1,43;76.489.104;66.417.046
Jun;17;2018;1,41;70.390.000;65.285.091
Jun;16;2018;1,49;74.895.200;69.219.298
Jun;15;2018;1,47;87.986.304;68.309.832
Jun;14;2018;1,55;93.329.200;72.045.704
Jun;13;2018;1,44;88.844.304;66.734.291
Jun;12;2018;1,53;100.615.000;70.940.224
Jun;11;2018;1,75;132.017.000;81.168.235
Jun;10;2018;1,50;101.145.000;69.670.316
Jun;9;2018;2,18;139.424.992;101.162.558
Jun;8;2018;2,18;141.451.008;101.368.790
Jun;7;2018;2,27;141.778.000;105.255.620
Jun;6;2018;2,37;154.612.992;110.176.864
Jun;5;2018;2,40;161.279.008;111.369.667
Jun;4;2018;2,41;177.546.000;111.715.246
Jun;3;2018;2,45;179.020.992;113.827.734
Jun;2;2018;2,36;144.346.000;109.651.064
Jun;1;2018;2,40;157.280.992;111.703.634
May;31;2018;2,45;153.123.008;113.713.006
May;30;2018;2,52;172.132.992;117.199.913
May;29;2018;2,63;201.439.008;122.100.719
May;28;2018;2,48;182.367.008;115.260.678
May;27;2018;2,78;209.116.992;129.244.999
May;26;2018;2,71;231.978.000;125.685.632
May;25;2018;2,39;162.592.000;111.144.391
May;24;2018;2,46;206.634.000;114.290.364
May;23;2018;2,01;174.084.992;93.385.182
May;22;2018;2,38;177.972.992;110.372.878
May;21;2018;2,74;214.916.000;127.420.492
May;20;2018;2,95;224.546.000;136.916.472
May;19;2018;2,97;219.463.008;138.034.957
May;18;2018;3,08;246.687.008;143.061.639
May;17;2018;2,88;214.287.008;133.855.036
May;16;2018;3,23;280.430.016;149.867.308
May;15;2018;3,17;287.604.992;147.084.100
May;14;2018;3,35;294.991.008;155.533.589
May;13;2018;3,10;244.864.992;144.119.277
May;12;2018;2,40;202.272.992;111.315.787
May;11;2018;1,93;148.914.000;89.668.818
May;10;2018;2,22;173.991.008;103.208.160
May;9;2018;2,48;239.427.008;115.267.181
May;8;2018;2,53;259.243.008;63.174.500
May;7;2018;2,40;237.666.000;60.059.750
May;6;2018;2,48;256.476.000;61.887.250
May;5;2018;2,72;255.176.992;68.115.750
May;4;2018;2,42;279.884.992;60.519.750
May;3;2018;2,38;194.288.000;59.425.500
May;2;2018;1,55;60.932.700;38.751.750
May;1;2018;1,49;83.999.600;37.153.250
Apr;30;2018;1,40;82.084.304;35.079.500
Apr;29;2018;1,82;115.939.000;45.513.250
Apr;28;2018;1,28;74.924.400;31.944.500
Apr;27;2018;0,968318;49.522.100;24.207.950
Apr;26;2018;0,863194;40.626.700;21.579.850
Apr;25;2018;0,691836;33.821.500;17.295.900
Apr;24;2018;0,792744;44.700.200;19.818.600
Apr;23;2018;0,625001;26.861.000;15.625.025
Apr;22;2018;0,618359;29.215.800;15.458.975
Apr;21;2018;0,578584;28.315.200;14.464.600
Apr;20;2018;0,589451;25.361.700;14.736.275
Apr;19;2018;0,523493;14.952.400;13.087.325
Apr;18;2018;0,523944;17.356.100;13.098.600
Apr;17;2018;0,517671;13.998.800;12.941.775
Apr;16;2018;0,515102;12.992.800;12.877.550
Apr;15;2018;0,482798;9.546.290;12.069.950
Apr;14;2018;0,459230;6.743.540;11.480.750
Apr;13;2018;0,455453;12.102.400;11.386.325
Apr;12;2018;0,464726;12.470.100;11.618.150
Apr;11;2018;0,334382;8.450.540;8.359.550
Apr;10;2018;0,310751;10.272.600;7.768.775
Apr;9;2018;0,448470;14.741.700;11.211.750
Apr;8;2018;0,497742;12.464.900;12.443.550
Apr;7;2018;0,513420;6.639.670;12.835.500
Apr;6;2018;0,490161;12.165.200;12.254.025
Apr;5;2018;0,503312;12.998.500;12.582.800
Apr;4;2018;0,492478;11.905.100;12.311.950
Apr;3;2018;0,541102;11.912.600;13.527.550
Apr;2;2018;0,515953;12.604.100;12.898.825
Apr;1;2018;0,497572;3.685.810;12.439.300
Mar;31;2018;0,514465;8.395.370;12.861.625
Mar;30;2018;0,514623;8.225.100;12.865.575
