Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;1,00;139.274.930;201.834.564
Apr;10;2019;1,00;95.974.926;201.705.987
Apr;9;2019;1,00;86.443.327;201.183.234
Apr;8;2019;1,00;122.294.980;201.124.762
Apr;7;2019;1,01;84.150.485;201.583.557
Apr;6;2019;1,01;90.722.235;201.546.529
Apr;5;2019;1,01;77.936.897;201.599.168
Apr;4;2019;1,01;115.248.620;200.434.233
Apr;3;2019;1,00;245.566.993;199.665.070
Apr;2;2019;1,00;129.898.538;199.807.671
Apr;1;2019;1,01;44.202.880;197.643.453
Mar;31;2019;1,01;26.237.975;200.227.740
Mar;30;2019;1,01;25.700.398;200.210.868
Mar;29;2019;1,01;31.211.989;200.118.820
Mar;28;2019;1,02;30.938.907;202.214.907
Mar;27;2019;1,02;45.814.003;204.745.269
Mar;26;2019;1,02;35.965.120;205.416.403
Mar;25;2019;1,01;43.437.914;204.378.838
Mar;24;2019;1,01;41.716.373;205.852.481
Mar;23;2019;1,01;40.604.751;206.057.984
Mar;22;2019;1,01;36.555.780;205.111.257
Mar;21;2019;1,01;66.111.485;205.977.243
Mar;20;2019;1,02;45.233.340;206.037.662
Mar;19;2019;1,02;42.057.797;205.070.769
Mar;18;2019;1,02;38.295.485;204.423.086
Mar;17;2019;1,02;44.561.288;202.416.054
Mar;16;2019;1,02;60.256.093;203.249.766
Mar;15;2019;1,02;63.534.466;202.334.456
Mar;14;2019;1,02;92.125.212;201.738.662
Mar;13;2019;1,01;28.147.476;200.821.400
Mar;12;2019;1,01;35.322.363;204.962.624
Mar;11;2019;1,01;42.945.777;205.269.543
Mar;10;2019;1,01;32.979.282;205.226.757
Mar;9;2019;1,01;42.810.439;204.950.859
Mar;8;2019;1,02;50.426.833;205.706.510
Mar;7;2019;1,01;47.685.713;205.392.619
Mar;6;2019;1,01;52.181.215;205.645.705
Mar;5;2019;1,01;70.013.842;205.456.538
Mar;4;2019;0,994800;257.869.415;201.566.144
Mar;3;2019;1,01;32.047.004;205.452.509
Mar;2;2019;1,01;36.939.444;205.516.927
Mar;1;2019;1,01;43.945.459;205.386.014
Feb;28;2019;1,02;51.770.611;206.060.682
