Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;1,00;63.695.457;259.775.723
Apr;10;2019;1,00;48.590.445;263.097.191
Apr;9;2019;1,00;40.372.954;266.472.461
Apr;8;2019;1,00;49.978.405;261.528.845
Apr;7;2019;1,01;43.184.042;262.035.385
Apr;6;2019;1,00;43.756.481;260.706.591
Apr;5;2019;1,00;43.799.308;261.161.960
Apr;4;2019;1,00;52.686.902;257.700.787
Apr;3;2019;1,00;87.987.040;256.492.829
Apr;2;2019;1,00;75.355.543;257.154.541
Apr;1;2019;1,00;30.912.903;253.290.031
Mar;31;2019;1,00;24.262.615;246.270.111
Mar;30;2019;1,00;26.227.081;246.478.130
Mar;29;2019;1,00;37.377.861;246.925.871
Mar;28;2019;1,01;28.392.576;249.534.401
Mar;27;2019;1,02;37.698.423;249.648.527
Mar;26;2019;1,01;33.876.854;248.448.913
Mar;25;2019;1,01;34.431.703;249.298.995
Mar;24;2019;1,01;17.336.324;247.226.412
Mar;23;2019;1,01;23.348.602;247.863.704
Mar;22;2019;1,01;33.465.329;246.609.280
Mar;21;2019;1,01;43.135.935;247.007.932
Mar;20;2019;1,01;43.164.011;243.880.396
Mar;19;2019;1,02;34.394.867;243.793.849
Mar;18;2019;1,02;41.889.761;243.412.427
Mar;17;2019;1,02;38.655.614;243.982.005
Mar;16;2019;1,02;35.637.112;243.037.195
Mar;15;2019;1,02;30.356.979;242.997.571
Mar;14;2019;1,02;30.654.411;244.623.975
Mar;13;2019;1,01;32.955.078;243.618.142
Mar;12;2019;1,01;25.249.458;239.478.825
Mar;11;2019;1,01;25.473.881;239.824.828
Mar;10;2019;1,02;21.622.742;241.217.070
Mar;9;2019;1,01;24.550.954;239.526.386
Mar;8;2019;1,01;27.535.813;240.037.668
Mar;7;2019;1,01;24.225.454;239.792.871
Mar;6;2019;1,01;24.347.412;239.891.927
Mar;5;2019;1,02;32.016.571;240.587.907
Mar;4;2019;1,02;23.960.578;240.265.683
Mar;3;2019;1,01;17.429.846;239.435.727
Mar;2;2019;1,01;18.482.080;238.964.776
Mar;1;2019;1,01;21.097.111;233.704.707
Feb;28;2019;1,01;31.630.079;234.118.357
Feb;27;2019;1,02;38.328.217;234.332.690
Feb;26;2019;1,01;42.569.527;232.919.408
