Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,008722;5.891.835;138.510.862
Apr;10;2019;0,010087;4.676.299;160.170.049
Apr;09;2019;0,009875;12.030.274;156.787.855
Apr;08;2019;0,010828;29.168.077;171.904.368
Apr;07;2019;0,009603;5.385.628;152.431.870
Apr;06;2019;0,008899;2.849.234;141.240.100
Apr;05;2019;0,008997;2.957.407;142.790.261
Apr;04;2019;0,008634;4.938.351;137.001.775
Apr;03;2019;0,008540;11.622.477;135.503.906
Apr;02;2019;0,008337;10.730.078;132.256.033
Apr;01;2019;0,007409;6.326.265;117.521.177
Mar;31;2019;0,007479;13.237.024;118.625.350
Mar;30;2019;0,007128;5.458.907;112.705.316
Mar;29;2019;0,007186;5.139.382;113.614.042
Mar;28;2019;0,007641;5.826.822;120.781.298
Mar;27;2019;0,007531;8.450.842;119.029.526
Mar;26;2019;0,006752;1.659.272;106.707.324
Mar;25;2019;0,007198;5.331.444;113.748.017
Mar;24;2019;0,007434;4.158.805;117.456.254
Mar;23;2019;0,007561;4.710.002;119.442.667
Mar;22;2019;0,007421;4.170.145;117.225.992
Mar;21;2019;0,007342;5.713.614;115.963.323
Mar;20;2019;0,007513;3.854.831;118.645.129
Mar;19;2019;0,006961;1.417.759;109.924.438
Mar;18;2019;0,006850;1.934.667;108.159.374
Mar;17;2019;0,007159;1.504.420;112.976.328
Mar;16;2019;0,007041;2.610.178;111.114.491
Mar;15;2019;0,007172;10.311.526;113.185.278
Mar;14;2019;0,006937;3.985.461;109.468.495
Mar;13;2019;0,006527;2.763.317;99.025.377
Mar;12;2019;0,006600;5.118.431;100.140.093
Mar;11;2019;0,006308;1.450.257;95.712.862
Mar;10;2019;0,006427;1.589.021;97.511.714
Mar;09;2019;0,006464;1.825.022;98.076.048
Mar;08;2019;0,006312;3.458.444;95.768.479
Mar;07;2019;0,006288;1.351.686;95.398.806
Mar;06;2019;0,006279;1.400.715;95.263.542
Mar;05;2019;0,006352;3.094.373;96.373.258
Mar;04;2019;0,006204;6.036.750;94.122.575
Mar;03;2019;0,007000;13.610.860;106.211.931
Mar;02;2019;0,006056;665.637;91.882.217
Mar;01;2019;0,006085;703.426;92.315.711
Feb;28;2019;0,005970;606.580;90.577.418
Feb;27;2019;0,005997;643.417;90.989.381
Feb;26;2019;0,006119;896.125;92.843.564
Feb;25;2019;0,006043;1.211.863;91.680.207
Feb;24;2019;0,005985;1.498.308;90.801.594
Feb;23;2019;0,006734;1.030.591;102.173.424
Feb;22;2019;0,006525;1.565.431;99.002.100
Feb;21;2019;0,006327;874.102;95.996.244
Feb;20;2019;0,006474;730.205;98.218.823
Feb;19;2019;0,006437;1.258.715;97.669.219
Feb;18;2019;0,006365;1.151.952;96.576.242
Feb;17;2019;0,006003;904.141;91.080.077
Feb;16;2019;0,005979;501.886;90.707.524
Feb;15;2019;0,005985;413.892;90.809.897
Feb;14;2019;0,005900;432.985;89.516.397
Feb;13;2019;0,005982;720.094;90.756.737
Feb;12;2019;0,006048;585.297;91.764.743
Feb;11;2019;0,005994;638.807;90.947.687
Feb;10;2019;0,006171;630.489;93.633.470
Feb;09;2019;0,006130;1.165.363;93.003.862
Feb;08;2019;0,006052;1.101.647;91.815.822
Feb;07;2019;0,005644;583.188;85.625.248
Feb;06;2019;0,005606;892.505;85.049.985
Feb;05;2019;0,005745;1.023.719;87.166.520
Feb;04;2019;0,005880;765.823;89.214.187
Feb;03;2019;0,005829;654.249;88.441.513
Feb;02;2019;0,006042;861.237;91.667.092
Feb;01;2019;0,005964;665.380;90.488.088
Jan;31;2019;0,005931;1.123.903;89.987.540
Jan;30;2019;0,006195;1.039.160;93.988.748
Jan;29;2019;0,006062;929.371;91.975.250
Jan;28;2019;0,006088;1.599.027;92.366.300
Jan;27;2019;0,006444;1.648.039;97.773.106
Jan;26;2019;0,006627;1.106.371;100.546.930
Jan;25;2019;0,006657;989.411;100.995.442
Jan;24;2019;0,006735;1.752.166;102.181.085
Jan;23;2019;0,006733;3.316.743;102.146.763
Jan;22;2019;0,006708;1.037.158;101.772.946
Jan;21;2019;0,006626;852.963;100.535.226
Jan;20;2019;0,006608;1.343.695;100.249.813
Jan;19;2019;0,006942;1.333.383;105.322.682
Jan;18;2019;0,006685;1.198.018;101.418.509
Jan;17;2019;0,006832;1.570.729;103.654.995
Jan;16;2019;0,006900;1.726.461;104.680.050
Jan;15;2019;0,006817;3.538.645;103.428.113
Jan;14;2019;0,006959;2.370.739;105.575.519
Jan;13;2019;0,006407;2.233.111;97.214.611
Jan;12;2019;0,006876;4.941.191;104.330.547
Jan;11;2019;0,007178;13.998.095;108.901.482
Jan;10;2019;0,007598;15.502.014;115.273.795
Jan;09;2019;0,007247;1.110.492;109.956.102
Jan;08;2019;0,007174;1.321.298;108.841.307
Jan;07;2019;0,007203;1.100.628;109.287.791
Jan;06;2019;0,007415;987.879;112.500.384
Jan;05;2019;0,006987;1.095.757;106.003.150
Jan;04;2019;0,006908;886.854;104.810.663
Jan;03;2019;0,006981;789.514;105.921.776
Jan;02;2019;0,007183;1.124.705;108.987.948
Jan;01;2019;0,007053;996.430;107.007.719
Dec;31;2018;0,006864;858.561;104.143.592
Dec;30;2018;0,007270;875.154;110.307.808
Dec;29;2018;0,007231;1.061.793;109.709.876
Dec;28;2018;0,007509;1.548.838;113.929.108
Dec;27;2018;0,006700;1.375.075;101.654.574
Dec;26;2018;0,007517;1.386.916;114.054.160
Dec;25;2018;0,007478;1.935.752;113.460.365
Dec;24;2018;0,008388;3.304.692;127.261.773
Dec;23;2018;0,008133;1.967.809;123.390.489
Dec;22;2018;0,008021;2.500.876;121.695.936
Dec;21;2018;0,007662;3.419.193;116.241.670
Dec;20;2018;0,008293;4.337.233;125.827.798
Dec;19;2018;0,006965;4.537.152;105.669.412
Dec;18;2018;0,006607;1.399.821;100.247.535
Dec;17;2018;0,006287;1.472.757;95.381.798
Dec;16;2018;0,005625;694.022;85.344.312
Dec;15;2018;0,005643;1.094.160;85.621.383
Dec;14;2018;0,005703;1.509.376;86.531.393
Dec;13;2018;0,005561;909.928;84.374.587
Dec;12;2018;0,005903;750.449;89.558.064
Dec;11;2018;0,005717;1.095.036;86.745.954
Dec;10;2018;0,005922;1.338.039;89.856.306
Dec;09;2018;0,006303;1.141.578;95.629.749
Dec;08;2018;0,006055;1.257.537;91.871.947
Dec;07;2018;0,006075;3.843.625;92.169.219
Dec;06;2018;0,005716;1.957.707;86.724.437
Dec;05;2018;0,006611;1.631.085;100.299.843
Dec;04;2018;0,007187;2.133.619;109.036.748
Dec;03;2018;0,007097;1.942.270;107.674.198
Dec;02;2018;0,007839;2.826.021;118.929.036
Dec;01;2018;0,007873;4.488.136;119.444.520
Nov;30;2018;0,007484;7.197.040;113.552.269
Nov;29;2018;0,008128;30.615.924;123.323.657
Nov;28;2018;0,008203;13.874.100;124.451.615
Nov;27;2018;0,006062;1.819.700;91.980.013
Nov;26;2018;0,005546;1.390.100;84.143.631
Nov;25;2018;0,005921;1.664.670;89.834.680
Nov;24;2018;0,005686;1.378.340;86.273.033
Nov;23;2018;0,006400;1.735.890;97.101.806
Nov;22;2018;0,006634;1.251.190;100.644.943
Nov;21;2018;0,007240;2.958.620;109.844.841
Nov;20;2018;0,006736;4.587.580;102.195.834
Nov;19;2018;0,007630;3.933.020;115.761.651
Nov;18;2018;0,009650;1.441.410;146.412.148
Nov;17;2018;0,009580;1.948.760;145.347.219
Nov;16;2018;0,009746;2.409.710;147.864.875
Nov;15;2018;0,009976;4.735.260;151.355.365
Nov;14;2018;0,010559;6.445.980;160.205.091
Nov;13;2018;0,012358;2.688.050;187.496.639
Nov;12;2018;0,012808;2.166.430;194.328.630
Nov;11;2018;0,012930;2.106.120;196.169.004
Nov;10;2018;0,013190;2.030.790;200.125.884
Nov;09;2018;0,013155;1.964.220;199.581.206
Nov;08;2018;0,013504;2.301.220;204.885.367
Nov;07;2018;0,013848;2.651.390;210.107.599
Nov;06;2018;0,013886;5.466.020;209.612.989
Nov;05;2018;0,013491;4.488.720;204.689.647
Nov;04;2018;0,013993;3.817.900;212.299.966
Nov;03;2018;0,014006;2.310.290;212.501.754
Nov;02;2018;0,013817;1.693.910;209.634.230
Nov;01;2018;0,013750;1.666.510;208.620.735
Oct;31;2018;0,013699;2.601.620;207.836.338
Oct;30;2018;0,013602;3.342.920;206.367.680
Oct;29;2018;0,013788;4.087.500;209.198.791
Oct;28;2018;0,014720;3.524.600;223.325.521
Oct;27;2018;0,014524;5.609.770;220.363.929
Oct;26;2018;0,014607;2.591.870;221.611.075
Oct;25;2018;0,014490;3.107.020;219.843.527
Oct;24;2018;0,014668;4.596.650;222.538.089
Oct;23;2018;0,014527;4.066.750;220.400.342
Oct;22;2018;0,014135;2.232.080;214.458.954
Oct;21;2018;0,014437;2.114.050;219.031.820
Oct;20;2018;0,014295;1.521.050;216.877.384
Oct;19;2018;0,014200;2.213.570;215.448.174
Oct;18;2018;0,013972;2.584.620;211.978.317
Oct;17;2018;0,014437;3.142.830;219.036.372
Oct;16;2018;0,014313;2.903.410;217.156.550
Oct;15;2018;0,014574;5.169.250;221.121.017
Oct;14;2018;0,013946;2.663.160;211.595.981
Oct;13;2018;0,014084;2.741.460;213.680.626
Oct;12;2018;0,014124;3.518.700;214.287.509
Oct;11;2018;0,014129;6.686.300;214.363.369
Oct;10;2018;0,016603;6.282.590;251.903.662
Oct;09;2018;0,016015;4.990.210;242.979.441
Oct;08;2018;0,016101;7.310.280;244.278.171
Oct;07;2018;0,015582;4.743.380;236.411.445
Oct;06;2018;0,015440;5.322.480;234.253.974
Oct;05;2018;0,015588;5.696.590;236.507.029
Oct;04;2018;0,015631;5.987.130;237.154.877
Oct;03;2018;0,014849;5.744.720;225.290.306
Oct;02;2018;0,015093;8.992.230;228.998.364
Oct;01;2018;0,016330;21.053.500;247.761.682
Sep;30;2018;0,015184;6.396.750;230.375.989
Sep;29;2018;0,014766;3.607.070;224.027.988
Sep;28;2018;0,014279;3.857.770;216.648.286
Sep;27;2018;0,014798;3.969.010;224.519.564
Sep;26;2018;0,013887;2.898.530;210.697.793
Sep;25;2018;0,013910;4.977.330;211.037.648
Sep;24;2018;0,014471;8.525.730;219.550.706
Sep;23;2018;0,015285;8.271.190;231.899.266
Sep;22;2018;0,014860;5.970.970;225.461.750
Sep;21;2018;0,015974;14.835.600;242.354.351
Sep;20;2018;0,014594;8.954.780;221.424.458
Sep;19;2018;0,013507;5.110.320;204.935.435
Sep;18;2018;0,013332;4.333.810;202.274.251
Sep;17;2018;0,012813;4.359.410;194.401.456
Sep;16;2018;0,013734;2.619.640;208.367.361
Sep;15;2018;0,013527;3.103.130;205.238.877
Sep;14;2018;0,013296;4.096.760;201.734.125
Sep;13;2018;0,013497;5.712.850;204.782.197
Sep;12;2018;0,012901;4.603.010;195.736.599
Sep;11;2018;0,012277;3.077.060;186.263.149
Sep;10;2018;0,012730;3.802.690;193.139.138
Sep;09;2018;0,012948;3.568.540;196.440.584
Sep;08;2018;0,012974;3.563.370;196.841.127
Sep;07;2018;0,013880;4.215.430;210.580.968
Sep;06;2018;0,014619;6.765.300;221.793.140
Sep;05;2018;0,014492;9.212.150;219.872.354
Sep;04;2018;0,018127;11.088.100;275.021.369
Sep;03;2018;0,018058;12.701.400;273.972.978
Sep;02;2018;0,018664;27.466.500;283.170.297
Sep;01;2018;0,017637;27.444.500;267.584.013
Aug;31;2018;0,014560;5.210.540;220.905.573
Aug;30;2018;0,014184;6.769.240;215.196.317
Aug;29;2018;0,014735;7.122.540;223.563.722
Aug;28;2018;0,015700;7.334.940;238.195.682
Aug;27;2018;0,014477;5.540.860;219.638.704
Aug;26;2018;0,013682;6.484.900;207.589.033
Aug;25;2018;0,013824;5.785.740;209.737.400
Aug;24;2018;0,013681;6.343.810;207.573.861
Aug;23;2018;0,012819;4.710.900;194.497.040
Aug;22;2018;0,012554;3.451.880;190.465.817
Aug;21;2018;0,013165;2.510.650;199.745.064
Aug;20;2018;0,013111;2.473.100;198.915.151
Aug;19;2018;0,014311;2.369.440;217.127.723
Aug;18;2018;0,013800;4.838.240;209.377.822
Aug;17;2018;0,015363;12.511.600;233.085.724
Aug;16;2018;0,011844;2.320.200;179.702.739
Aug;15;2018;0,011414;2.783.880;173.172.673
Aug;14;2018;0,011412;3.998.980;173.137.777
Aug;13;2018;0,011774;2.942.210;178.631.590
Aug;12;2018;0,013321;1.488.040;202.102.807
Aug;11;2018;0,013334;3.716.930;202.304.595
Aug;10;2018;0,013991;2.725.310;212.271.139
Aug;09;2018;0,015692;3.254.390;238.084.926
Aug;08;2018;0,015037;5.225.260;228.144.175
Aug;07;2018;0,017368;3.262.520;263.511.825
Aug;06;2018;0,018084;3.230.320;274.370.487
Aug;05;2018;0,018952;2.499.550;287.539.858
Aug;04;2018;0,018493;3.904.040;280.569.801
Aug;03;2018;0,019618;7.237.140;297.639.915
Aug;02;2018;0,021002;8.593.990;318.638.082
Aug;01;2018;0,022790;13.411.300;345.764.255
Jul;31;2018;0,023892;39.419.900;362.494.514
Jul;30;2018;0,024374;9.278.390;369.810.494
Jul;29;2018;0,023591;3.825.190;357.926.199
Jul;28;2018;0,023500;4.243.460;356.537.953
Jul;27;2018;0,023657;6.051.300;358.929.074
Jul;26;2018;0,023063;7.360.590;349.910.786
Jul;25;2018;0,024364;11.981.300;369.646.636
Jul;24;2018;0,023847;10.406.600;361.811.770
Jul;23;2018;0,022511;6.544.630;338.892.213
Jul;22;2018;0,022775;3.964.510;342.869.564
Jul;21;2018;0,023361;4.305.530;351.680.854
Jul;20;2018;0,022688;7.367.000;341.552.311
Jul;19;2018;0,025244;7.655.320;380.028.131
Jul;18;2018;0,026133;11.763.000;393.417.439
Jul;17;2018;0,026164;7.766.240;393.875.090
Jul;16;2018;0,024888;6.458.420;374.676.321
Jul;15;2018;0,023052;3.730.570;347.029.071
Jul;14;2018;0,021951;3.551.400;330.452.764
Jul;13;2018;0,022005;5.274.760;331.270.213
Jul;12;2018;0,021428;3.658.220;322.585.379
Jul;11;2018;0,022228;4.724.330;334.633.348
Jul;10;2018;0,021774;6.760.060;327.791.161
Jul;09;2018;0,024688;6.390.870;371.657.931
Jul;08;2018;0,025643;7.153.060;386.042.330
Jul;07;2018;0,026220;6.795.860;394.727.164
Jul;06;2018;0,024350;7.089.820;366.580.111
Jul;05;2018;0,024613;8.712.510;370.530.363
Jul;04;2018;0,026186;8.528.380;394.219.834
Jul;03;2018;0,026005;12.443.000;391.479.948
Jul;02;2018;0,027018;17.659.100;406.742.014
Jul;01;2018;0,025141;10.032.200;378.488.074
Jun;30;2018;0,023423;8.354.180;352.623.255
Jun;29;2018;0,022557;4.902.530;339.583.206
Jun;28;2018;0,020991;5.099.100;316.003.632
Jun;27;2018;0,022765;5.282.920;342.709.988
Jun;26;2018;0,022614;4.009.870;340.445.819
Jun;25;2018;0,023864;5.262.410;359.250.164
Jun;24;2018;0,023767;7.703.380;357.794.412
Jun;23;2018;0,024439;4.535.120;367.918.439
Jun;22;2018;0,024493;9.018.820;368.719.329
Jun;21;2018;0,027995;6.846.660;421.450.080
Jun;20;2018;0,029093;8.240.570;437.973.697
Jun;19;2018;0,029955;9.082.550;450.949.011
Jun;18;2018;0,029234;6.278.990;440.094.850
Jun;17;2018;0,028109;4.197.790;423.161.755
Jun;16;2018;0,028047;4.848.570;422.229.893
Jun;15;2018;0,028131;6.587.000;423.491.445
Jun;14;2018;0,030124;19.476.100;453.500.718
Jun;13;2018;0,027198;10.678.800;409.453.296
Jun;12;2018;0,027775;12.015.900;418.136.625
Jun;11;2018;0,032398;10.648.900;487.737.242
Jun;10;2018;0,031429;13.819.500;473.146.599
Jun;09;2018;0,036886;7.558.500;555.293.483
Jun;08;2018;0,039070;11.956.000;588.170.603
Jun;07;2018;0,038203;8.071.150;575.126.038
Jun;06;2018;0,038798;9.307.450;584.069.807
Jun;05;2018;0,039530;11.141.500;595.100.104
Jun;04;2018;0,039458;12.829.200;594.011.677
Jun;03;2018;0,042645;16.802.700;641.985.264
Jun;02;2018;0,040747;12.775.300;613.413.679
Jun;01;2018;0,038598;8.226.310;581.067.977
May;31;2018;0,039027;13.037.400;587.529.289
May;30;2018;0,037986;12.066.100;569.703.053
May;29;2018;0,038644;17.419.600;579.570.151
May;28;2018;0,035084;21.407.200;526.188.236
May;27;2018;0,040007;7.324.240;600.025.745
May;26;2018;0,039921;8.345.600;598.734.428
May;25;2018;0,041348;12.210.400;620.139.387
May;24;2018;0,043863;23.068.500;657.854.528
May;23;2018;0,040812;27.259.800;612.094.530
May;22;2018;0,047009;28.075.500;705.031.825
May;21;2018;0,053976;15.323.400;809.524.978
May;20;2018;0,056600;17.384.900;848.882.386
May;19;2018;0,053115;10.290.900;796.510.512
May;18;2018;0,053546;17.086.500;802.872.125
May;17;2018;0,051586;19.058.800;773.392.829
May;16;2018;0,056080;24.775.500;840.654.785
May;15;2018;0,056543;25.425.700;847.495.773
May;14;2018;0,059589;34.654.500;893.036.350
May;13;2018;0,062113;30.804.200;930.746.936
May;12;2018;0,058450;35.868.300;875.749.012
May;11;2018;0,058600;81.002.704;877.877.802
May;10;2018;0,068880;54.551.700;1.031.757.732
May;09;2018;0,076098;138.487.008;1.139.724.287
May;08;2018;0,074241;64.021.300;1.111.686.425
May;07;2018;0,075688;46.108.800;1.133.037.053
May;06;2018;0,075361;53.322.000;1.127.842.703
May;05;2018;0,079136;56.057.800;1.184.016.796
May;04;2018;0,079788;97.722.000;1.193.449.109
May;03;2018;0,079351;221.063.008;1.186.579.672
May;02;2018;0,081137;155.715.008;1.212.954.252
May;01;2018;0,079578;341.939.008;1.189.319.811
Apr;30;2018;0,077202;210.778.000;1.153.495.825
Apr;29;2018;0,070492;70.503.400;1.052.950.906
Apr;28;2018;0,072482;70.320.896;1.082.380.584
Apr;27;2018;0,067597;135.394.000;1.009.161.791
Apr;26;2018;0,070743;150.792.992;1.055.844.501
Apr;25;2018;0,061044;121.052.000;910.838.882
Apr;24;2018;0,068623;129.563.000;1.023.648.087
Apr;23;2018;0,068823;53.435.700;1.026.344.848
Apr;22;2018;0,068507;70.515.904;1.021.354.954
Apr;21;2018;0,068577;97.885.800;1.022.113.812
Apr;20;2018;0,069369;157.170.000;1.033.644.734
Apr;19;2018;0,073157;429.110.016;1.089.783.230
Apr;18;2018;0,064996;324.102.016;967.948.847
Apr;17;2018;0,073001;1.358.310.016;1.086.871.776
Apr;16;2018;0,094058;243.408.992;1.400.001.084
Apr;15;2018;0,090828;131.901.000;1.351.550.246
Apr;14;2018;0,086951;143.996.992;1.293.509.137
Apr;13;2018;0,091562;157.946.000;1.361.727.478
Apr;12;2018;0,090361;180.372.000;1.343.492.304
Apr;11;2018;0,082343;156.412.000;1.223.957.621
Apr;10;2018;0,084130;445.879.008;1.250.173.967
Apr;09;2018;0,078112;193.835.008;1.160.423.158
Apr;08;2018;0,067757;64.043.900;1.006.316.907
Apr;07;2018;0,064449;120.038.000;956.928.956
Apr;06;2018;0,058483;75.422.496;868.099.827
Apr;05;2018;0,054932;174.590.000;814.388.505
