Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;2,65;71.821.693;265.291.178
Apr;10;2019;2,79;30.332.391;278.710.220
Apr;09;2019;2,82;46.408.539;281.523.326
Apr;08;2019;2,89;20.787.941;288.911.978
Apr;07;2019;2,97;19.284.171;297.116.666
Apr;06;2019;2,99;13.812.131;298.767.668
Apr;05;2019;2,90;11.731.630;290.223.385
Apr;04;2019;2,80;12.009.639;279.768.953
Apr;03;2019;2,89;19.500.194;289.474.103
Apr;02;2019;3,09;25.124.077;308.911.184
Apr;01;2019;2,89;13.674.082;288.638.978
Mar;31;2019;2,79;12.244.900;278.810.013
Mar;30;2019;2,79;12.018.260;278.792.060
Mar;29;2019;2,82;13.402.666;282.154.741
Mar;28;2019;2,84;10.366.513;284.168.679
Mar;27;2019;2,78;9.616.242;278.228.883
Mar;26;2019;2,71;11.211.854;270.927.454
Mar;25;2019;2,71;7.986.305;271.252.378
Mar;24;2019;2,76;6.684.865;276.246.659
Mar;23;2019;2,80;6.052.883;280.041.065
Mar;22;2019;2,77;7.549.928;277.200.600
Mar;21;2019;2,75;12.695.287;274.618.901
Mar;20;2019;2,82;12.953.839;282.090.663
Mar;19;2019;2,78;9.283.690;277.738.339
Mar;18;2019;2,76;8.927.919;276.409.209
Mar;17;2019;2,76;10.785.649;275.990.673
Mar;16;2019;2,81;12.150.603;281.277.486
Mar;15;2019;2,79;14.874.930;279.482.351
Mar;14;2019;2,75;17.062.424;274.556.509
Mar;13;2019;2,71;17.059.925;271.245.740
Mar;12;2019;2,79;13.167.001;279.444.923
Mar;11;2019;2,66;9.823.091;265.872.423
Mar;10;2019;2,75;13.423.308;275.455.272
Mar;09;2019;2,77;18.506.463;276.666.781
Mar;08;2019;2,67;22.440.247;267.067.032
Mar;07;2019;2,60;10.889.838;260.402.856
Mar;06;2019;2,59;10.637.366;258.900.261
Mar;05;2019;2,66;12.707.936;266.393.616
Mar;04;2019;2,62;15.448.910;262.352.545
Mar;03;2019;2,67;8.944.567;266.850.834
Mar;02;2019;2,68;11.882.420;268.120.448
Mar;01;2019;2,71;14.110.188;270.731.425
Feb;28;2019;2,67;17.122.119;266.840.116
Feb;27;2019;2,68;12.646.994;267.576.599
Feb;26;2019;2,68;8.621.190;268.045.262
Feb;25;2019;2,72;12.436.207;271.554.120
Feb;24;2019;2,68;15.522.367;268.014.336
Feb;23;2019;2,91;12.724.681;290.934.748
Feb;22;2019;2,92;14.610.269;292.198.388
Feb;21;2019;2,85;20.603.393;285.219.708
Feb;20;2019;2,81;11.907.010;280.817.361
Feb;19;2019;2,81;21.888.111;280.590.711
Feb;18;2019;2,75;16.406.242;274.615.798
Feb;17;2019;2,62;11.476.779;261.816.699
Feb;16;2019;2,62;8.729.043;262.089.658
Feb;15;2019;2,67;8.507.962;266.749.498
Feb;14;2019;2,66;9.811.327;266.297.644
Feb;13;2019;2,75;11.806.421;275.170.677
Feb;12;2019;2,85;22.185.782;285.105.763
Feb;11;2019;2,87;22.215.354;287.170.515
Feb;10;2019;2,72;21.019.191;272.423.327
Feb;09;2019;2,60;14.827.125;260.153.433
Feb;08;2019;2,65;19.771.103;264.956.620
Feb;07;2019;2,50;15.360.419;250.033.114
Feb;06;2019;2,51;13.535.405;250.876.227
Feb;05;2019;2,66;17.756.141;266.251.794
Feb;04;2019;2,72;18.231.233;272.230.580
Feb;03;2019;2,82;23.050.834;281.634.096
Feb;02;2019;2,72;8.901.578;272.119.726
Feb;01;2019;2,73;9.983.975;273.246.037
Jan;31;2019;2,80;13.912.694;279.507.838
Jan;30;2019;2,89;36.132.989;289.318.779
Jan;29;2019;2,96;35.586.250;296.095.868
Jan;28;2019;2,89;30.872.060;288.711.031
Jan;27;2019;2,70;31.886.645;269.951.442
Jan;26;2019;2,70;13.128.785;270.449.804
Jan;25;2019;2,81;31.324.116;281.077.805
Jan;24;2019;2,75;41.182.271;274.615.973
Jan;23;2019;3,05;69.909.033;305.181.910
Jan;22;2019;2,79;23.594.560;278.576.803
Jan;21;2019;2,54;9.053.180;253.699.883
Jan;20;2019;2,54;9.885.648;254.092.959
Jan;19;2019;2,60;10.639.690;260.332.857
Jan;18;2019;2,55;13.659.258;255.251.678
Jan;17;2019;2,62;19.423.848;261.640.112
Jan;16;2019;2,60;14.102.644;259.532.432
Jan;15;2019;2,60;16.600.031;259.940.316
Jan;14;2019;2,75;33.323.810;274.597.636
Jan;13;2019;2,67;17.509.923;266.951.497
Jan;12;2019;2,60;8.891.122;259.551.884
Jan;11;2019;2,60;11.321.681;259.589.751
Jan;10;2019;2,62;21.314.704;261.775.074
Jan;09;2019;2,86;13.767.604;286.408.182
Jan;08;2019;2,89;15.761.841;288.740.924
Jan;07;2019;2,95;15.409.171;295.198.715
Jan;06;2019;3,21;12.685.025;321.019.720
Jan;05;2019;3,07;11.661.695;307.353.576
Jan;04;2019;3,09;12.094.372;308.681.937
Jan;03;2019;3,10;10.588.626;310.390.043
Jan;02;2019;3,15;14.176.192;315.316.390
Jan;01;2019;3,16;17.751.534;316.252.391
Dec;31;2018;3,23;21.489.862;322.688.482
Dec;30;2018;3,09;10.808.232;309.381.633
Dec;29;2018;3,05;11.224.855;305.198.611
Dec;28;2018;3,26;15.155.621;326.327.860
Dec;27;2018;3,05;15.730.608;304.879.716
Dec;26;2018;3,28;26.629.242;327.696.455
Dec;25;2018;3,35;33.534.700;334.688.158
Dec;24;2018;3,73;42.907.700;372.671.278
Dec;23;2018;3,76;53.378.646;376.324.397
Dec;22;2018;3,92;84.265.834;391.626.969
Dec;21;2018;3,25;45.208.768;325.089.174
Dec;20;2018;4,19;139.958.633;418.561.417
Dec;19;2018;3,87;118.216.512;386.705.648
Dec;18;2018;3,47;77.425.528;347.342.564
Dec;17;2018;2,57;24.743.333;257.100.691
Dec;16;2018;2,43;29.908.881;242.979.579
Dec;15;2018;2,45;31.121.529;245.447.647
Dec;14;2018;2,33;39.252.386;232.531.510
Dec;13;2018;2,09;35.026.459;209.091.290
Dec;12;2018;1,99;17.138.334;199.238.741
Dec;11;2018;1,66;5.045.677;165.843.447
Dec;10;2018;1,57;4.123.543;157.157.178
Dec;09;2018;1,70;9.027.674;169.571.865
Dec;08;2018;1,58;5.357.524;157.942.696
Dec;07;2018;1,50;6.509.154;150.272.558
Dec;06;2018;1,49;9.763.196;149.364.546
Dec;05;2018;1,84;29.357.165;183.679.344
Dec;04;2018;2,17;61.068.743;216.559.669
Dec;03;2018;1,48;11.208.827;147.595.736
Dec;02;2018;1,58;12.830.836;157.592.921
Dec;01;2018;1,40;8.968.716;140.435.946
Nov;30;2018;1,21;6.119.033;121.115.902
Nov;29;2018;1,20;4.737.887;119.673.417
Nov;28;2018;1,15;5.416.170;114.874.000
Nov;27;2018;0,999947;2.692.660;99.994.700
Nov;26;2018;0,985389;3.336.280;98.538.900
Nov;25;2018;1,04;3.879.810;104.436.000
Nov;24;2018;0,992579;2.638.930;99.257.900
Nov;23;2018;1,10;3.961.920;110.369.000
Nov;22;2018;1,11;3.731.090;110.834.000
Nov;21;2018;1,16;3.733.990;115.532.000
Nov;20;2018;1,07;6.182.380;107.351.000
Nov;19;2018;1,29;9.561.620;128.556.000
Nov;18;2018;1,52;3.374.240;152.217.000
Nov;17;2018;1,49;5.479.690;149.170.000
Nov;16;2018;1,49;4.387.120;149.414.000
Nov;15;2018;1,52;4.515.360;151.636.000
Nov;14;2018;1,50;5.488.710;150.324.000
Nov;13;2018;1,72;4.073.700;171.661.000
Nov;12;2018;1,74;4.773.620;173.613.000
Nov;11;2018;1,73;4.139.880;172.718.000
Nov;10;2018;1,76;3.344.670;176.275.000
Nov;09;2018;1,76;3.821.640;175.783.000
Nov;08;2018;1,82;4.520.230;182.063.000
Nov;07;2018;1,83;4.760.070;183.399.000
Nov;06;2018;1,84;5.065.320;183.585.000
Nov;05;2018;1,81;5.095.370;181.377.000
Nov;04;2018;1,82;4.184.830;182.138.000
Nov;03;2018;1,86;4.234.550;186.020.000
Nov;02;2018;1,85;4.998.820;185.264.000
Nov;01;2018;1,85;6.467.550;185.122.000
Oct;31;2018;1,81;6.702.810;181.378.000
Oct;30;2018;1,76;5.319.870;176.220.000
Oct;29;2018;1,78;6.265.960;178.288.000
Oct;28;2018;1,90;4.978.870;189.698.000
Oct;27;2018;1,90;4.990.250;190.093.000
Oct;26;2018;1,91;6.261.370;191.214.000
Oct;25;2018;1,95;5.823.140;194.599.000
Oct;24;2018;1,96;8.344.590;196.294.000
Oct;23;2018;1,97;8.374.640;197.170.000
Oct;22;2018;1,94;5.408.590;194.331.000
Oct;21;2018;1,98;7.447.430;197.686.000
Oct;20;2018;1,96;5.905.280;196.000.000
Oct;19;2018;1,94;5.348.150;194.292.000
Oct;18;2018;1,99;6.483.520;198.922.000
Oct;17;2018;2,03;6.972.010;202.715.000
Oct;16;2018;2,01;6.364.950;200.615.000
Oct;15;2018;2,01;7.021.190;200.802.000
Oct;14;2018;1,89;4.084.220;188.654.000
Oct;13;2018;1,89;3.346.790;189.131.000
Oct;12;2018;1,88;5.017.790;187.899.000
Oct;11;2018;1,87;8.808.830;187.196.000
Oct;10;2018;2,12;7.758.380;212.403.000
Oct;09;2018;2,13;12.126.800;212.865.000
Oct;08;2018;2,14;6.329.040;214.381.000
Oct;07;2018;2,12;4.451.390;212.038.000
Oct;06;2018;2,12;7.078.420;212.498.000
Oct;05;2018;2,20;7.130.810;219.801.000
Oct;04;2018;2,14;4.940.890;214.249.000
Oct;03;2018;2,14;7.051.150;213.857.000
Oct;02;2018;2,12;4.353.180;212.465.000
Oct;01;2018;2,15;6.515.430;215.122.000
Sep;30;2018;2,20;4.126.900;220.107.000
