Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,084325;2.276.270;79.492.588
Apr;10;2019;0,080687;280.100;76.063.539
Apr;9;2019;0,078578;334.138;74.075.013
Apr;8;2019;0,079387;834.943;74.837.630
Apr;7;2019;0,080925;1.047.576;76.287.422
Apr;6;2019;0,073468;677.973;69.257.728
Apr;5;2019;0,070146;390.710;66.125.935
Apr;4;2019;0,066986;542.151;63.147.470
Apr;3;2019;0,066495;1.062.762;62.684.657
Apr;2;2019;0,066099;1.119.793;62.311.299
Apr;1;2019;0,063086;808.367;59.471.144
Mar;31;2019;0,061470;922.328;57.947.197
Mar;30;2019;0,059851;402.040;56.421.202
Mar;29;2019;0,060313;353.045;56.857.120
Mar;28;2019;0,060481;1.513.639;57.014.713
Mar;27;2019;0,059803;317.239;56.375.740
Mar;26;2019;0,059081;459.404;55.695.342
Mar;25;2019;0,057591;508.999;54.290.533
Mar;24;2019;0,060984;348.566;57.488.869
Mar;23;2019;0,061765;266.161;58.225.537
Mar;22;2019;0,061715;346.292;58.178.559
Mar;21;2019;0,060976;827.735;57.481.826
Mar;20;2019;0,064722;498.372;61.013.284
Mar;19;2019;0,065069;484.825;61.337.029
Mar;18;2019;0,064199;1.089.109;60.516.574
Mar;17;2019;0,067666;1.609.721;63.784.328
Mar;16;2019;0,061537;541.068;58.007.129
Mar;15;2019;0,064700;849.461;60.988.828
Mar;14;2019;0,062095;9.791.085;58.533.627
Mar;13;2019;0,058704;5.569.681;55.043.032
Mar;12;2019;0,051139;1.496.325;47.950.211
Mar;11;2019;0,049201;2.600.276;46.132.219
Mar;10;2019;0,047230;484.184;44.284.409
Mar;9;2019;0,047345;794.631;44.392.553
Mar;8;2019;0,045270;829.248;42.446.510
Mar;7;2019;0,049252;1.890.753;46.180.423
Mar;6;2019;0,041719;146.310;39.117.273
Mar;5;2019;0,042177;164.760;39.546.490
Mar;4;2019;0,039927;237.480;37.436.962
Mar;3;2019;0,041600;103.350;39.005.635
Mar;2;2019;0,042481;236.879;39.831.911
Mar;1;2019;0,043070;315.326;40.383.977
Feb;28;2019;0,041380;208.475;38.799.539
Feb;27;2019;0,042348;410.422;39.707.107
Feb;26;2019;0,042164;635.765;39.534.279
Feb;25;2019;0,041440;304.394;38.856.078
Feb;24;2019;0,039950;508.636;37.458.940
Feb;23;2019;0,045238;303.721;42.417.146
Feb;22;2019;0,044869;411.887;42.070.673
Feb;21;2019;0,045280;744.620;42.455.821
Feb;20;2019;0,046779;2.857.985;43.861.609
Feb;19;2019;0,044501;2.709.907;41.725.487
Feb;18;2019;0,044807;22.344.756;42.012.724
Feb;17;2019;0,036618;883.585;34.334.260
Feb;16;2019;0,035960;377.484;33.717.675
