Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;0,327123;9.678.272;61.826.167
Apr;10;2019;0,343814;6.582.791;64.980.878
Apr;09;2019;0,349258;6.916.820;66.009.758
Apr;08;2019;0,309641;5.404.392;58.522.178
Apr;07;2019;0,283431;2.836.222;53.568.492
Apr;06;2019;0,284323;3.595.926;53.736.963
Apr;05;2019;0,281871;3.877.893;53.273.663
Apr;04;2019;0,285631;5.361.987;53.984.298
Apr;03;2019;0,271761;4.317.841;51.362.837
Apr;02;2019;0,268492;4.733.429;50.744.907
Apr;01;2019;0,250764;3.407.325;47.394.361
Mar;31;2019;0,263845;4.236.202;49.866.685
Mar;30;2019;0,256840;3.881.733;48.542.722
Mar;29;2019;0,257375;5.092.982;48.643.839
Mar;28;2019;0,279643;4.871.131;52.852.499
Mar;27;2019;0,298403;4.169.941;56.398.201
Mar;26;2019;0,266803;3.643.859;50.425.860
Mar;25;2019;0,235459;3.164.628;44.501.736
Mar;24;2019;0,204705;1.781.570;38.689.293
Mar;23;2019;0,205691;2.750.273;38.875.654
Mar;22;2019;0,207571;3.769.659;39.230.875
Mar;21;2019;0,172315;1.922.271;32.567.509
Mar;20;2019;0,175178;1.901.309;33.108.577
Mar;19;2019;0,166669;1.079.375;31.500.395
Mar;18;2019;0,166438;1.356.431;31.456.814
Mar;17;2019;0,163007;1.009.023;30.808.408
Mar;16;2019;0,161390;1.066.406;30.502.714
Mar;15;2019;0,161473;1.002.939;30.518.464
Mar;14;2019;0,157440;1.267.500;29.756.196
Mar;13;2019;0,152538;719.319;28.829.656
Mar;12;2019;0,151695;1.041.655;28.670.289
Mar;11;2019;0,153416;1.063.968;28.995.664
Mar;10;2019;0,159316;1.393.283;30.110.675
Mar;09;2019;0,160862;1.412.855;30.403.011
Mar;08;2019;0,146260;853.891;27.643.120
Mar;07;2019;0,145855;988.289;27.566.560
Mar;06;2019;0,142184;597.971;26.872.708
Mar;05;2019;0,139526;706.823;26.370.343
Mar;04;2019;0,133950;643.046;25.316.620
Mar;03;2019;0,139411;584.350;26.348.733
Mar;02;2019;0,140459;579.872;26.546.770
Mar;01;2019;0,139715;623.791;26.406.224
Feb;28;2019;0,141291;581.526;26.703.968
Feb;27;2019;0,145434;917.834;27.487.020
Feb;26;2019;0,137547;596.758;25.996.348
Feb;25;2019;0,144687;628.348;27.345.788
Feb;24;2019;0,136665;1.014.167;25.829.740
Feb;23;2019;0,160762;813.209;30.383.933
Feb;22;2019;0,152950;745.499;28.907.471
Feb;21;2019;0,150454;946.694;28.435.751
Feb;20;2019;0,158677;830.667;29.989.915
Feb;19;2019;0,151795;1.410.995;28.689.219
Feb;18;2019;0,154467;2.113.759;29.194.223
Feb;17;2019;0,138357;1.088.760;26.149.404
Feb;16;2019;0,137383;903.052;25.965.303
Feb;15;2019;0,137410;1.100.627;25.970.439
Feb;14;2019;0,135554;1.096.063;25.619.709
Feb;13;2019;0,142034;1.914.738;26.844.492
Feb;12;2019;0,136625;1.192.994;25.822.033
Feb;11;2019;0,130914;943.271;24.742.832
Feb;10;2019;0,126482;677.767;23.905.019
Feb;09;2019;0,124320;616.678;23.496.459
Feb;08;2019;0,123081;746.242;23.262.292
Feb;07;2019;0,115607;527.503;21.849.805
Feb;06;2019;0,112404;585.612;21.244.347
Feb;05;2019;0,120317;745.099;22.739.835
Feb;04;2019;0,123454;615.896;23.332.836
Feb;03;2019;0,120880;765.987;22.846.333
Feb;02;2019;0,123404;1.106.598;23.323.289
Feb;01;2019;0,119534;716.823;22.591.908
Jan;31;2019;0,114993;606.491;21.733.721
Jan;30;2019;0,119099;714.305;22.509.747
Jan;29;2019;0,115468;1.650.188;21.823.379
Jan;28;2019;0,115760;468.752;21.878.655
Jan;27;2019;0,122558;651.045;23.163.436
Jan;26;2019;0,131196;768.654;24.796.127
Jan;25;2019;0,133320;964.177;25.197.520
Jan;24;2019;0,141777;1.803.419;26.795.900
Jan;23;2019;0,138412;1.450.653;26.159.889
Jan;22;2019;0,131164;877.039;24.789.916
Jan;21;2019;0,122243;376.366;23.104.017
Jan;20;2019;0,121408;469.377;22.946.184
Jan;19;2019;0,123119;651.612;23.269.498
Jan;18;2019;0,117813;326.747;22.266.705
Jan;17;2019;0,117940;299.162;22.290.646
Jan;16;2019;0,120506;467.226;22.775.700
Jan;15;2019;0,129184;1.066.654;24.415.820
Jan;14;2019;0,118535;300.038;22.403.075
Jan;13;2019;0,111180;129.599;23.347.851
Jan;12;2019;0,117965;348.846;24.772.567
Jan;11;2019;0,116438;330.832;24.452.010
Jan;10;2019;0,112431;638.465;23.610.457
Jan;09;2019;0,124843;425.091;26.217.043
Jan;08;2019;0,122621;313.691;25.750.503
Jan;07;2019;0,122986;872.553;25.827.025
Jan;06;2019;0,122535;772.712;25.732.348
Jan;05;2019;0,118367;1.534.424;24.857.017
Jan;04;2019;0,112199;600.050;23.561.727
Jan;03;2019;0,111478;736.407;23.410.337
Jan;02;2019;0,116437;945.130;24.451.864
Jan;01;2019;0,112713;540.568;23.669.749
Dec;31;2018;0,111998;384.208;23.519.526
Dec;30;2018;0,112380;318.919;23.599.731
Dec;29;2018;0,113523;529.471;23.839.917
Dec;28;2018;0,122932;153.234;25.815.647
Dec;27;2018;0,110570;150.917;23.219.654
Dec;26;2018;0,116480;200.834;24.460.890
Dec;25;2018;0,114229;246.934;23.988.078
Dec;24;2018;0,132607;395.868;27.847.533
Dec;23;2018;0,132233;213.439;27.768.827
Dec;22;2018;0,131449;208.820;27.604.236
Dec;21;2018;0,129487;398.991;27.192.205
Dec;20;2018;0,129856;262.082;27.269.774
Dec;19;2018;0,122237;288.203;25.669.861
Dec;18;2018;0,121017;157.121;25.413.551
Dec;17;2018;0,118784;128.760;24.944.641
Dec;16;2018;0,108871;137.337;22.862.891
Dec;15;2018;0,108706;71.088;22.828.319
Dec;14;2018;0,108590;150.373;22.803.979
Dec;13;2018;0,109219;180.723;22.935.885
Dec;12;2018;0,113180;539.854;23.767.720
Dec;11;2018;0,113486;561.771;23.832.137
Dec;10;2018;0,115058;490.852;24.162.170
Dec;09;2018;0,115532;599.386;24.261.633
Dec;08;2018;0,116440;637.790;24.452.360
Dec;07;2018;0,111199;1.036.342;23.351.731
Dec;06;2018;0,100450;1.109.530;21.094.433
Dec;05;2018;0,108890;499.700;22.866.882
Dec;04;2018;0,115112;1.112.688;24.173.517
Dec;03;2018;0,116984;2.145.870;24.566.695
Dec;02;2018;0,120686;1.778.192;25.344.106
Dec;01;2018;0,125682;1.388.047;26.393.232
Nov;30;2018;0,120426;1.334.946;25.289.471
Nov;29;2018;0,126802;1.407.690;26.628.362
Nov;28;2018;0,130672;1.151.370;27.441.120
Nov;27;2018;0,113124;1.044.570;23.756.040
Nov;26;2018;0,111572;620.006;23.430.120
Nov;25;2018;0,120488;1.881.470;25.302.480
Nov;24;2018;0,124780;1.761.360;26.203.800
Nov;23;2018;0,134838;1.323.130;28.315.980
Nov;22;2018;0,136690;1.755.180;28.704.900
Nov;21;2018;0,149489;1.074.050;31.392.690
Nov;20;2018;0,135724;1.137.130;28.502.040
Nov;19;2018;0,157347;2.492.260;33.042.870
Nov;18;2018;0,190692;2.677.330;40.045.320
Nov;17;2018;0,191314;687.238;40.175.940
Nov;16;2018;0,190799;1.840.860;40.067.790
Nov;15;2018;0,198550;1.624.300;33.731.108
Nov;14;2018;0,199629;2.723.100;33.914.416
Nov;13;2018;0,224416;3.169.450;38.125.411
Nov;12;2018;0,231880;3.348.920;39.393.449
Nov;11;2018;0,221445;3.193.260;37.620.676
Nov;10;2018;0,221930;4.693.630;37.703.071
Nov;09;2018;0,218331;3.088.630;37.091.647
Nov;08;2018;0,220380;948.224;37.439.746
Nov;07;2018;0,220818;2.217.250;37.514.157
Nov;06;2018;0,222006;1.645.630;37.839.831
Nov;05;2018;0,224036;793.138;38.060.854
Nov;04;2018;0,221518;795.401;37.633.078
Nov;03;2018;0,220800;1.055.390;37.511.099
Nov;02;2018;0,229744;2.432.650;39.030.570
Nov;01;2018;0,228237;1.583.570;38.774.550
Oct;31;2018;0,219844;1.187.100;37.348.687
Oct;30;2018;0,217154;1.194.310;36.891.690
Oct;29;2018;0,211112;1.287.970;35.865.231
Oct;28;2018;0,221873;4.431.380;37.693.388
Oct;27;2018;0,224402;3.169.330;38.123.033
Oct;26;2018;0,224502;2.155.950;38.140.021
Oct;25;2018;0,219995;1.803.900;37.374.340
Oct;24;2018;0,221621;1.115.870;37.650.576
Oct;23;2018;0,225228;1.030.500;38.263.359
Oct;22;2018;0,227865;1.118.740;38.711.352
Oct;21;2018;0,225666;978.123;38.337.770
Oct;20;2018;0,224432;1.087.580;38.128.129
Oct;19;2018;0,218702;1.633.640;37.154.675
Oct;18;2018;0,226618;2.373.430;38.499.503
Oct;17;2018;0,224109;2.209.540;38.073.256
Oct;16;2018;0,220674;1.400.900;37.489.693
Oct;15;2018;0,220867;2.040.600;37.522.481
Oct;14;2018;0,205540;1.266.770;34.918.620
Oct;13;2018;0,211760;1.276.530;35.975.318
Oct;12;2018;0,206050;1.989.480;35.005.262
Oct;11;2018;0,201496;1.108.010;34.231.596
Oct;10;2018;0,241628;1.979.180;41.049.510
Oct;09;2018;0,230526;1.603.650;39.163.422
Oct;08;2018;0,233427;4.612.860;39.656.265
Oct;07;2018;0,240133;2.743.260;40.795.529
Oct;06;2018;0,251704;2.386.770;42.761.294
Oct;05;2018;0,258949;9.759.370;43.992.126
Oct;04;2018;0,254166;2.257.470;43.179.556
Oct;03;2018;0,250031;6.527.900;42.477.072
Oct;02;2018;0,267866;7.141.380;45.507.011
Oct;01;2018;0,254337;4.660.920;43.208.607
Sep;30;2018;0,231860;2.525.140;39.390.052
Sep;29;2018;0,217535;2.662.550;36.956.417
Sep;28;2018;0,217681;4.407.920;36.981.221
Sep;27;2018;0,217351;3.154.030;36.925.158
Sep;26;2018;0,209263;3.005.990;35.551.110
Sep;25;2018;0,215627;7.979.680;36.632.272
Sep;24;2018;0,231127;2.869.190;39.265.524
Sep;23;2018;0,242908;3.422.380;41.266.966
Sep;22;2018;0,232578;8.420.480;39.512.031
Sep;21;2018;0,244272;8.463.730;41.498.692
Sep;20;2018;0,241670;5.516.620;41.056.645
Sep;19;2018;0,213652;1.842.280;36.296.745
Sep;18;2018;0,206877;3.807.430;35.145.759
Sep;17;2018;0,202325;4.972.870;34.372.432
Sep;16;2018;0,211472;3.353.820;35.926.391
Sep;15;2018;0,212882;3.167.400;36.165.932
Sep;14;2018;0,196255;3.254.010;33.341.217
Sep;13;2018;0,200274;3.380.760;34.023.994
Sep;12;2018;0,195323;2.415.890;33.182.882
Sep;11;2018;0,193774;2.314.910;32.919.727
Sep;10;2018;0,191946;2.088.040;32.609.173
Sep;09;2018;0,192336;1.096.290;32.675.429
Sep;08;2018;0,189159;1.757.760;32.135.697
Sep;07;2018;0,209783;6.612.650;35.639.451
Sep;06;2018;0,207210;1.930.070;35.202.331
Sep;05;2018;0,207383;5.246.150;35.231.722
Sep;04;2018;0,240152;4.809.340;40.798.756
