Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;69,82;359.320.471;439.650.247
Apr;10;2019;71,89;336.436.787;452.142.881
Apr;09;2019;70,86;271.243.208;445.147.453
Apr;08;2019;72,78;471.900.437;456.740.982
Apr;07;2019;74,50;332.819.865;466.990.237
Apr;06;2019;71,27;312.034.237;446.222.245
Apr;05;2019;72,11;332.793.050;450.941.549
Apr;04;2019;67,29;352.768.448;420.338.925
Apr;03;2019;69,03;585.104.104;430.686.375
Apr;02;2019;69,94;466.924.123;435.909.266
Apr;01;2019;62,42;189.443.569;388.598.258
Mar;31;2019;58,51;130.692.825;363.794.627
Mar;30;2019;56,85;167.775.201;353.054.999
Mar;29;2019;56,94;201.610.736;353.227.893
Mar;28;2019;56,84;161.710.601;352.235.698
Mar;27;2019;57,63;231.094.651;356.666.045
Mar;26;2019;55,19;158.723.903;341.196.828
Mar;25;2019;55,73;195.671.885;344.127.514
Mar;24;2019;57,39;173.094.104;353.992.150
Mar;23;2019;57,25;158.538.389;352.696.343
Mar;22;2019;55,68;173.873.141;342.612.710
Mar;21;2019;56,21;223.886.073;345.497.011
Mar;20;2019;59,17;254.732.439;363.276.368
Mar;19;2019;57,27;196.520.217;351.164.044
Mar;18;2019;54,36;180.167.831;332.921.593
Mar;17;2019;54,65;74.814.769;334.358.330
Mar;16;2019;55,04;90.276.800;336.342.466
Mar;15;2019;53,65;89.393.206;327.457.148
Mar;14;2019;52,62;245.469.608;320.770.315
Mar;13;2019;51,52;239.471.768;313.730.584
Mar;12;2019;53,39;250.531.958;324.705.768
Mar;11;2019;50,02;253.458.981;303.861.520
Mar;10;2019;50,96;235.398.766;309.206.253
Mar;09;2019;51,69;217.808.359;313.271.786
Mar;08;2019;49,82;248.512.675;301.562.440
Mar;07;2019;50,71;202.037.189;306.593.409
Mar;06;2019;50,79;176.079.523;306.732.954
Mar;05;2019;51,08;187.521.332;308.108.800
Mar;04;2019;49,26;187.017.919;296.775.875
Mar;03;2019;51,06;172.669.308;307.232.240
Mar;02;2019;52,05;170.143.282;312.816.074
Mar;01;2019;52,29;153.637.298;313.866.581
Feb;28;2019;51,83;194.072.294;310.749.404
Feb;27;2019;52,33;166.688.560;313.353.608
Feb;26;2019;52,78;162.807.753;315.707.828
Feb;25;2019;53,14;166.945.706;317.459.959
Feb;24;2019;52,35;194.289.114;312.358.965
Feb;23;2019;56,84;201.463.515;338.777.954
Feb;22;2019;54,28;199.557.822;323.122.479
Feb;21;2019;53,65;206.962.996;318.985.117
Feb;20;2019;54,88;198.536.482;325.916.105
Feb;19;2019;55,14;308.697.897;327.043.293
Feb;18;2019;54,95;171.954.803;325.505.841
Feb;17;2019;51,98;177.905.993;307.575.942
Feb;16;2019;51,76;153.542.570;305.880.347
Feb;15;2019;51,34;220.295.863;303.017.751
Feb;14;2019;51,80;233.741.880;305.400.625
Feb;13;2019;52,77;204.342.146;310.740.216
Feb;12;2019;53,59;217.743.538;315.203.156
Feb;11;2019;51,28;198.712.081;301.235.155
Feb;10;2019;50,89;177.859.791;298.581.547
Feb;09;2019;50,33;163.211.031;294.905.597
Feb;08;2019;50,05;167.677.793;292.914.252
Feb;07;2019;46,82;147.434.597;273.691.082
Feb;06;2019;46,47;128.538.970;271.298.861
Feb;05;2019;48,33;156.054.445;281.784.008
Feb;04;2019;48,49;155.823.713;282.399.307
Feb;03;2019;48,35;144.845.130;281.236.962
Feb;02;2019;49,41;152.319.651;287.047.254
Feb;01;2019;48,75;159.341.775;282.886.028
Jan;31;2019;49,00;210.776.579;283.972.644
Jan;30;2019;49,73;149.296.769;287.864.129
Jan;29;2019;48,83;122.770.691;282.285.735
Jan;28;2019;49,36;506.461.982;285.019.527
Jan;27;2019;51,53;164.758.648;297.182.004
Jan;26;2019;52,34;169.396.557;301.440.836
Jan;25;2019;52,78;150.847.434;303.608.658
Jan;24;2019;53,49;166.711.625;307.284.070
Jan;23;2019;52,57;162.698.774;301.625.446
Jan;22;2019;52,76;126.552.054;302.346.786
Jan;21;2019;52,64;166.177.591;301.304.915
Jan;20;2019;53,11;615.956.056;303.596.293
Jan;19;2019;54,65;195.698.183;312.019.334
Jan;18;2019;53,49;166.877.877;305.008.550
Jan;17;2019;54,67;158.939.525;311.361.075
Jan;16;2019;53,28;175.718.264;303.024.377
Jan;15;2019;54,03;202.251.667;306.942.775
Jan;14;2019;56,27;157.517.101;319.245.245
Jan;13;2019;53,00;151.593.036;300.317.100
Jan;12;2019;56,17;160.209.732;317.865.487
Jan;11;2019;56,28;197.776.266;318.106.794
Jan;10;2019;54,96;134.487.356;310.238.477
Jan;09;2019;60,54;138.605.651;341.274.408
Jan;08;2019;60,86;111.887.547;342.680.358
Jan;07;2019;60,74;257.883.235;341.541.524
Jan;06;2019;61,62;255.070.882;346.091.701
Jan;05;2019;58,05;223.989.922;325.609.492
Jan;04;2019;58,41;156.017.985;327.191.560
Jan;03;2019;58,31;97.767.990;326.191.639
Jan;02;2019;61,25;106.422.105;342.252.065
Jan;01;2019;59,75;117.318.415;333.412.878
Dec;31;2018;56,54;110.422.244;315.126.763
Dec;30;2018;59,66;100.754.025;332.048.193
Dec;29;2018;60,32;120.228.181;335.322.452
Dec;28;2018;63,17;126.963.805;350.692.789
Dec;27;2018;56,35;115.439.227;312.408.523
Dec;26;2018;61,51;121.013.186;340.619.447
Dec;25;2018;61,25;106.099.893;338.703.095
Dec;24;2018;68,34;171.486.194;377.423.512
Dec;23;2018;64,99;117.480.667;358.483.164
Dec;22;2018;63,41;99.333.080;349.289.876
Dec;21;2018;61,68;106.561.647;339.307.018
Dec;20;2018;66,16;123.989.787;363.522.694
Dec;19;2018;57,54;131.784.903;315.761.264
Dec;18;2018;58,57;118.425.224;320.950.050
Dec;17;2018;56,42;134.445.281;308.778.689
Dec;16;2018;51,41;106.891.750;280.970.055
Dec;15;2018;50,21;100.792.417;274.060.515
Dec;14;2018;49,22;102.714.635;268.330.847
Dec;13;2018;51,68;109.403.691;281.333.791
Dec;12;2018;55,51;127.269.001;301.807.499
Dec;11;2018;54,31;157.076.776;294.873.751
Dec;10;2018;56,68;122.237.317;307.337.235
Dec;09;2018;61,09;154.260.599;330.811.401
Dec;08;2018;57,58;135.081.233;311.393.090
Dec;07;2018;59,33;180.603.693;320.461.055
Dec;06;2018;58,81;223.829.065;317.225.651
Dec;05;2018;66,42;154.298.622;357.789.062
Dec;04;2018;74,69;139.136.110;401.810.272
Dec;03;2018;70,80;158.281.198;380.351.710
Dec;02;2018;79,16;184.371.750;424.699.693
Dec;01;2018;80,33;207.842.018;430.406.463
Nov;30;2018;80,95;151.698.983;433.150.271
Nov;29;2018;87,96;176.426.953;470.026.829
Nov;28;2018;79,95;188.765.000;426.650.473
Nov;27;2018;73,32;155.518.000;390.756.096
Nov;26;2018;66,25;98.142.400;352.606.574
Nov;25;2018;70,28;107.979.000;373.542.131
Nov;24;2018;67,75;128.204.000;359.620.632
Nov;23;2018;77,60;124.773.000;411.334.783
Nov;22;2018;78,86;111.280.000;417.437.306
Nov;21;2018;85,81;122.448.000;453.605.827
Nov;20;2018;84,50;123.150.000;446.067.058
Nov;19;2018;98,89;126.629.000;521.367.150
Nov;18;2018;113,03;179.765.000;595.096.979
Nov;17;2018;111,36;167.133.000;585.513.941
Nov;16;2018;109,65;134.646.000;575.722.354
Nov;15;2018;109,91;141.197.000;576.310.772
Nov;14;2018;111,06;161.584.000;581.533.066
Nov;13;2018;126,98;135.567.000;663.999.195
Nov;12;2018;133,07;153.442.000;694.860.072
Nov;11;2018;129,34;136.586.000;674.479.442
Nov;10;2018;130,41;120.109.000;679.142.814
Nov;09;2018;134,18;124.923.000;697.785.141
Nov;08;2018;135,83;162.097.000;705.413.779
Nov;07;2018;129,83;119.754.000;673.303.743
Nov;06;2018;130,77;117.486.000;672.152.953
Nov;05;2018;121,75;109.497.000;629.670.751
Nov;04;2018;120,46;100.538.000;622.103.293
Nov;03;2018;117,68;85.513.200;606.960.379
Nov;02;2018;118,37;90.126.600;609.649.092
Nov;01;2018;117,07;106.367.000;601.941.093
Oct;31;2018;115,45;98.439.900;592.771.059
Oct;30;2018;115,91;105.116.000;594.457.532
Oct;29;2018;116,81;102.798.000;598.234.384
Oct;28;2018;123,42;82.785.700;631.218.561
Oct;27;2018;119,61;83.068.300;610.665.626
Oct;26;2018;121,38;100.690.000;619.040.696
Oct;25;2018;125,20;93.196.700;637.609.157
Oct;24;2018;126,34;95.361.200;642.523.738
Oct;23;2018;120,91;75.859.000;614.039.590
Oct;22;2018;122,66;84.498.700;622.022.601
Oct;21;2018;125,24;89.406.600;634.161.350
Oct;20;2018;125,67;94.854.900;635.503.861
Oct;19;2018;120,21;67.313.800;607.054.280
Oct;18;2018;118,80;65.867.900;599.051.847
Oct;17;2018;119,01;107.976.000;599.257.517
Oct;16;2018;115,42;128.564.000;580.390.149
Oct;15;2018;112,92;139.572.000;566.970.915
Oct;14;2018;108,54;100.116.000;544.214.281
Oct;13;2018;111,57;109.809.000;558.645.314
Oct;12;2018;109,02;115.512.000;545.078.886
Oct;11;2018;110,04;93.696.300;549.345.127
Oct;10;2018;123,66;175.638.000;616.509.945
Oct;09;2018;126,11;188.448.000;627.822.332
Oct;08;2018;126,50;159.355.000;628.843.359
Oct;07;2018;125,46;141.094.000;622.768.282
Oct;06;2018;125,81;147.108.000;623.606.359
Oct;05;2018;127,73;147.203.000;632.182.072
Oct;04;2018;124,03;169.554.000;613.013.431
Oct;03;2018;122,06;133.461.000;602.403.839
Oct;02;2018;126,83;133.792.000;625.038.401
Oct;01;2018;127,38;151.058.000;626.834.736
Sep;30;2018;131,99;151.008.000;648.584.729
Sep;29;2018;133,51;143.884.000;655.077.863
Sep;28;2018;136,35;165.087.000;668.053.640
Sep;27;2018;143,36;134.801.000;701.336.562
Sep;26;2018;133,04;127.405.000;649.911.210
Sep;25;2018;133,87;111.247.000;653.003.921
Sep;24;2018;137,66;154.700.000;670.487.102
Sep;23;2018;130,90;124.136.000;636.641.285
Sep;22;2018;123,39;99.206.300;599.249.392
Sep;21;2018;125,43;127.960.000;608.239.221
Sep;20;2018;119,65;107.159.000;579.352.030
Sep;19;2018;113,64;91.429.500;549.419.706
Sep;18;2018;112,12;104.004.000;541.267.942
Sep;17;2018;109,87;95.085.800;529.623.501
Sep;16;2018;118,08;94.970.600;568.319.328
Sep;15;2018;119,94;96.134.200;576.440.768
Sep;14;2018;117,74;96.404.100;565.025.398
Sep;13;2018;118,83;101.930.000;569.415.464
Sep;12;2018;110,42;96.953.500;528.332.693
Sep;11;2018;113,15;92.611.300;540.565.466
Sep;10;2018;118,92;95.923.500;567.255.022
Sep;09;2018;119,51;95.415.600;569.222.763
Sep;08;2018;121,91;87.398.300;579.770.275
Sep;07;2018;126,90;93.275.100;602.594.961
Sep;06;2018;131,60;108.919.000;623.979.126
Sep;05;2018;133,62;136.070.000;632.595.213
Sep;04;2018;156,45;116.901.000;739.561.963
Sep;03;2018;155,80;108.822.000;735.400.871
Sep;02;2018;155,68;119.554.000;733.689.160
Sep;01;2018;158,06;144.187.000;743.767.837
Aug;31;2018;150,36;115.392.000;706.472.099
Aug;30;2018;151,74;114.991.000;711.875.679
Aug;29;2018;153,60;85.594.300;719.503.217
Aug;28;2018;154,73;102.112.000;723.686.399
Aug;27;2018;149,78;137.472.000;699.444.527
Aug;26;2018;136,33;124.786.000;635.655.264
Aug;25;2018;139,22;95.632.300;648.116.347
Aug;24;2018;140,72;109.149.000;654.117.193
Aug;23;2018;133,65;93.644.000;620.309.468
Aug;22;2018;132,00;84.143.200;611.663.689
Aug;21;2018;135,90;71.913.500;628.807.512
Aug;20;2018;129,34;91.939.300;597.506.109
Aug;19;2018;143,98;93.628.600;664.092.226
Aug;18;2018;143,69;72.459.600;661.751.054
Aug;17;2018;154,66;90.914.200;711.126.653
Aug;16;2018;141,80;82.493.200;651.007.824
Aug;15;2018;136,83;84.434.000;627.208.503
Aug;14;2018;132,02;110.542.000;604.214.361
Aug;13;2018;143,46;100.641.000;655.550.678
Aug;12;2018;157,79;98.623.700;719.913.179
Aug;11;2018;158,71;92.390.800;722.949.657
Aug;10;2018;160,51;97.636.500;729.968.247
Aug;09;2018;175,98;99.718.400;799.104.565
Aug;08;2018;161,18;112.907.000;730.720.609
Aug;07;2018;177,17;123.897.000;801.967.659
Aug;06;2018;182,91;117.804.000;826.599.137
Aug;05;2018;181,33;93.770.600;818.209.692
Aug;04;2018;176,05;92.356.800;793.086.234
Aug;03;2018;185,85;122.098.000;835.931.082
Aug;02;2018;187,18;122.037.000;840.577.415
Aug;01;2018;198,33;151.024.000;889.244.124
Jul;31;2018;209,57;144.526.000;938.117.075
Jul;30;2018;216,29;157.531.000;966.622.163
Jul;29;2018;217,20;152.800.992;969.156.682
Jul;28;2018;220,30;127.041.000;981.384.503
Jul;27;2018;221,03;118.509.000;983.052.253
Jul;26;2018;221,12;123.371.000;981.865.893
Jul;25;2018;222,54;114.760.000;986.605.185
Jul;24;2018;223,29;168.768.000;988.341.549
Jul;23;2018;193,84;93.810.304;856.616.517
Jul;22;2018;192,70;46.066.100;850.192.388
Jul;21;2018;194,94;39.662.800;858.668.618
Jul;20;2018;184,37;58.021.000;810.764.465
Jul;19;2018;199,66;101.966.000;876.594.797
Jul;18;2018;209,34;108.763.000;917.582.947
Jul;17;2018;210,43;102.171.000;920.875.397
Jul;16;2018;190,65;64.024.200;832.900.600
Jul;15;2018;178,09;51.919.300;776.754.186
Jul;14;2018;174,53;65.835.000;760.000.685
Jul;13;2018;175,59;87.204.000;763.371.911
Jul;12;2018;155,54;42.486.300;675.084.812
Jul;11;2018;160,29;41.382.400;694.542.882
Jul;10;2018;161,10;55.215.300;696.852.259
Jul;09;2018;167,57;40.715.700;723.670.685
Jul;08;2018;172,73;36.348.200;744.696.267
Jul;07;2018;177,39;41.225.500;763.551.451
Jul;06;2018;176,34;49.916.100;757.767.146
Jul;05;2018;177,03;43.696.600;759.459.671
Jul;04;2018;182,38;42.678.600;781.113.609
Jul;03;2018;179,05;44.685.100;765.588.821
Jul;02;2018;184,09;51.703.800;785.783.080
Jul;01;2018;167,62;41.191.400;714.294.536
Jun;30;2018;163,99;41.442.600;697.640.361
Jun;29;2018;163,28;37.554.300;693.415.989
Jun;28;2018;154,10;31.601.200;653.359.911
Jun;27;2018;166,13;37.729.200;703.160.720
Jun;26;2018;163,20;43.075.600;689.606.263
Jun;25;2018;176,02;49.277.800;742.520.757
Jun;24;2018;167,51;40.595.500;705.412.854
Jun;23;2018;171,02;40.087.600;718.988.031
Jun;22;2018;168,79;48.782.000;708.391.609
Jun;21;2018;192,73;43.987.900;807.501.359
Jun;20;2018;193,68;46.208.400;810.092.463
Jun;19;2018;198,23;45.700.900;827.685.045
Jun;18;2018;198,54;58.180.400;827.559.933
Jun;17;2018;191,45;48.691.500;796.605.609
Jun;16;2018;193,44;49.141.200;803.524.742
Jun;15;2018;194,60;55.652.200;806.941.739
Jun;14;2018;199,57;66.378.500;826.149.499
Jun;13;2018;185,28;55.781.200;765.653.047
Jun;12;2018;195,76;61.372.400;807.545.341
Jun;11;2018;206,48;58.327.500;850.267.371
Jun;10;2018;203,68;61.739.600;836.388.719
Jun;09;2018;232,67;54.753.100;954.818.058
Jun;08;2018;239,37;53.682.300;980.014.875
Jun;07;2018;237,30;55.284.400;970.399.026
Jun;06;2018;236,05;56.887.000;963.580.049
