Month;Day;Year;Close;Volume;Market Cap
Apr;11;2019;8,00;1.292.908;58.042.505
Apr;10;2019;8,42;1.142.036;60.977.365
Apr;09;2019;8,45;753.304;61.194.886
Apr;08;2019;8,79;1.385.124;63.590.619
Apr;07;2019;8,98;1.448.286;64.818.905
Apr;06;2019;8,58;1.106.530;61.793.104
Apr;05;2019;8,74;1.200.278;62.843.227
Apr;04;2019;8,40;1.589.357;60.220.092
Apr;03;2019;8,37;4.108.447;59.905.313
Apr;02;2019;8,27;2.235.720;59.112.948
Apr;01;2019;7,80;1.422.393;55.622.595
Mar;31;2019;7,97;2.836.805;56.784.060
Mar;30;2019;7,15;1.328.727;50.815.806
Mar;29;2019;7,14;1.411.947;50.740.861
Mar;28;2019;7,20;1.363.287;51.098.498
Mar;27;2019;7,47;1.886.328;52.953.303
Mar;26;2019;6,89;6.873.401;48.825.079
Mar;25;2019;6,58;784.795;46.518.620
Mar;24;2019;6,81;948.470;48.128.099
Mar;23;2019;6,85;1.052.766;48.341.950
Mar;22;2019;6,97;2.280.060;49.113.493
Mar;21;2019;6,53;945.280;45.986.039
Mar;20;2019;6,75;944.557;47.501.930
Mar;19;2019;6,75;946.555;47.426.338
Mar;18;2019;6,71;1.125.635;47.086.433
Mar;17;2019;6,81;955.496;47.720.070
Mar;16;2019;6,88;1.622.318;48.159.819
Mar;15;2019;6,86;1.911.102;47.945.935
Mar;14;2019;6,57;3.920.488;45.891.036
Mar;13;2019;6,81;12.042.853;47.586.455
Mar;12;2019;7,12;47.926.082;49.746.747
Mar;11;2019;5,76;633.654;40.211.787
Mar;10;2019;5,90;608.369;41.108.538
Mar;09;2019;5,79;620.192;40.299.243
Mar;08;2019;5,85;621.539;40.663.366
Mar;07;2019;5,81;743.880;40.337.678
Mar;06;2019;5,77;635.915;40.032.038
Mar;05;2019;5,64;677.408;39.145.422
Mar;04;2019;5,56;878.958;38.534.652
Mar;03;2019;5,44;521.365;37.630.260
